Threshold,ACCOF,GPSOF,ACCGPS
1,0.3364485981308411,0.9289719626168225,0.2822429906542056
2,0.14606741573033707,0.9101123595505618,0.27153558052434457
3,0.06941838649155722,0.8911819887429644,0.2607879924953096
4,0.03759398496240601,0.8740601503759399,0.25
5,0.018832391713747645,0.8606403013182674,0.2391713747645951
6,0.009433962264150943,0.8490566037735849,0.22830188679245284
7,0.00945179584120983,0.8374291115311909,0.21739130434782608
8,0.007575757575757576,0.8257575757575758,0.20643939393939395
9,0.007590132827324478,0.8140417457305503,0.1954459203036053
10,0.005703422053231939,0.8079847908745247,0.1844106463878327
11,0.005714285714285714,0.8019047619047619,0.17333333333333334
12,0.003816793893129771,0.7958015267175572,0.16221374045801526
13,0.0038240917782026767,0.7896749521988528,0.15296367112810708
14,0.0019157088122605363,0.7835249042145593,0.14559386973180077
15,0.0,0.7773512476007678,0.1381957773512476
16,0.0,0.7711538461538462,0.13076923076923078
17,0.0,0.7649325626204239,0.1233140655105973
18,0.0,0.7567567567567568,0.11583011583011583
19,0.0,0.7485493230174082,0.10831721470019343
20,0.0,0.7403100775193798,0.10077519379844961
21,0.0,0.7320388349514563,0.09320388349514563
22,0.0,0.7237354085603113,0.08560311284046693
23,0.0,0.7153996101364523,0.07797270955165692
24,0.0,0.70703125,0.0703125
25,0.0,0.6986301369863014,0.060665362035225046
26,0.0,0.6901960784313725,0.050980392156862744
27,0.0,0.6817288801571709,0.0412573673870334
28,0.0,0.6732283464566929,0.03346456692913386
29,0.0,0.6646942800788954,0.02564102564102564
