THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,535,0.2766355140186916,0.07850467289719626,0.013084112149532711
2,534,0.26591760299625467,0.06367041198501873,0.00749063670411985
3,533,0.2551594746716698,0.054409005628517824,0.00375234521575985
4,532,0.24436090225563908,0.045112781954887216,0.0
5,531,0.23540489642184556,0.035781544256120526,0.0
6,530,0.22830188679245284,0.03018867924528302,0.0
7,529,0.22117202268431002,0.024574669187145556,0.0
8,528,0.21401515151515152,0.020833333333333332,0.0
9,527,0.2049335863377609,0.017077798861480076,0.0
10,526,0.1958174904942966,0.015209125475285171,0.0
11,525,0.18666666666666668,0.013333333333333334,0.0
12,524,0.17748091603053434,0.011450381679389313,0.0
13,523,0.1682600382409178,0.009560229445506692,0.0
14,522,0.15900383141762453,0.007662835249042145,0.0
15,521,0.14971209213051823,0.005758157389635317,0.0
16,520,0.14038461538461539,0.0019230769230769232,0.0
17,519,0.13102119460500963,0.0,0.0
18,518,0.12162162162162163,0.0,0.0
19,517,0.11218568665377177,0.0,0.0
20,516,0.10271317829457365,0.0,0.0
21,515,0.09320388349514563,0.0,0.0
22,514,0.08365758754863813,0.0,0.0
23,513,0.07602339181286549,0.0,0.0
24,512,0.0703125,0.0,0.0
25,511,0.06457925636007827,0.0,0.0
26,510,0.058823529411764705,0.0,0.0
27,509,0.05304518664047151,0.0,0.0
28,508,0.047244094488188976,0.0,0.0
29,507,0.04142011834319527,0.0,0.0
