TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 8040949, 0.0520959, 0.02235744, 0.09744124, 0.04821576, 0, 0, 0, 0
 8220877, -0.006721187, 0.006224068, 0.09739291, 0.0481976, 0.0520959, 0.02235744, 0.09744124, 0.04821576
 8420797, -0.01126149, 0.0006362861, 0.09739411, 0.04819677, -0.006721187, 0.006224068, 0.09739291, 0.0481976
 8620717, -0.005920339, 0.007776857, 0.09739389, 0.04819603, -0.01126149, 0.0006362861, 0.09739411, 0.04819677
 8820637, -0.01243898, 0.005670806, 0.09739749, 0.04819215, -0.005920339, 0.007776857, 0.09739389, 0.04819603
 9020557, -0.01658351, 0.007092746, 0.09740217, 0.04818782, -0.01243898, 0.005670806, 0.09739749, 0.04819215
 9220477, -0.008723864, -0.0006700524, 0.09739846, 0.04818611, -0.01658351, 0.007092746, 0.09740217, 0.04818782
 9420397, -0.008124987, -0.002365679, 0.09739915, 0.04818454, -0.008723864, -0.0006700524, 0.09739846, 0.04818611
 9620317, -0.01796686, 0.00286632, 0.09740528, 0.04818174, -0.008124987, -0.002365679, 0.09739915, 0.04818454
 9820237, -0.006783155, 0.005891004, 0.0973995, 0.04818414, -0.01796686, 0.00286632, 0.09740528, 0.04818174
 10020157, -0.008364133, 0.004919015, 0.0973995, 0.04818467, -0.006783155, 0.005891004, 0.0973995, 0.04818414
 10220910, -0.003062827, 0.001808586, 0.09739831, 0.04818403, -0.008364133, 0.004919015, 0.0973995, 0.04818467
 10420830, -0.005609086, 0.01179122, 0.09740119, 0.04818406, -0.003062827, 0.001808586, 0.09739831, 0.04818403
 10620750, -0.01302395, 0.009705223, 0.09740428, 0.0481813, -0.005609086, 0.01179122, 0.09740119, 0.04818406
 10820670, -0.003687955, 0.008154191, 0.09739943, 0.04818428, -0.01302395, 0.009705223, 0.09740428, 0.0481813
 11020590, -0.005430784, -0.005542006, 0.09739769, 0.04818707, -0.003687955, 0.008154191, 0.09739943, 0.04818428
 11220510, -0.008022225, 0.005223715, 0.09739806, 0.04818749, -0.005430784, -0.005542006, 0.09739769, 0.04818707
 11420430, -0.01690005, 0.006909346, 0.09740311, 0.04818622, -0.008022225, 0.005223715, 0.09739806, 0.04818749
 11620350, -0.01436839, 0.0007294023, 0.09740018, 0.04818746, -0.01690005, 0.006909346, 0.09740311, 0.04818622
 11820270, -0.007041793, 0.003398508, 0.09739725, 0.04818798, -0.01436839, 0.0007294023, 0.09740018, 0.04818746
 12020190, -0.008663885, 0.008334644, 0.09739946, 0.0481866, -0.007041793, 0.003398508, 0.09739725, 0.04818798
 12220943, -0.007641596, 0.003990324, 0.09739871, 0.04818552, -0.008663885, 0.008334644, 0.09739946, 0.0481866
 12420863, -0.001724032, 0.00794655, 0.09739754, 0.04818759, -0.007641596, 0.003990324, 0.09739871, 0.04818552
 12620783, -0.006522664, 0.00965225, 0.09739836, 0.04818849, -0.001724032, 0.00794655, 0.09739754, 0.04818759
 12820703, -0.01381559, 0.001550979, 0.0973991, 0.04818913, -0.006522664, 0.00965225, 0.09739836, 0.04818849
 13020623, -0.01531006, 0.003906282, 0.09739944, 0.04819054, -0.01381559, 0.001550979, 0.0973991, 0.04818913
 13220543, -0.003541727, 0.002176628, 0.09739398, 0.04819296, -0.01531006, 0.003906282, 0.09739944, 0.04819054
