TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 8040949, 0.03694408, 0.02330383, 0.09741662, 0.0482171, 0, 0, 0, 0
 8220877, -0.005582885, 0.006759271, 0.09739261, 0.04819786, 0.03694408, 0.02330383, 0.09741662, 0.0482171
 8420797, -0.01012319, 0.001171487, 0.09739363, 0.04819679, -0.005582885, 0.006759271, 0.09739261, 0.04819786
 8620717, -0.004782027, 0.008312037, 0.09739364, 0.04819635, -0.01012319, 0.001171487, 0.09739363, 0.04819679
 8820637, -0.01130065, 0.006205959, 0.09739697, 0.04819239, -0.004782027, 0.008312037, 0.09739364, 0.04819635
 9020557, -0.01544516, 0.007627861, 0.09740147, 0.04818812, -0.01130065, 0.006205959, 0.09739697, 0.04819239
 9220477, -0.007585499, -0.0001349815, 0.09739809, 0.04818608, -0.01544516, 0.007627861, 0.09740147, 0.04818812
 9420397, -0.00698661, -0.00183063, 0.0973988, 0.04818444, -0.007585499, -0.0001349815, 0.09739809, 0.04818608
 9620317, -0.01682849, 0.003401363, 0.09740451, 0.04818187, -0.00698661, -0.00183063, 0.0973988, 0.04818444
 9820237, -0.00564478, 0.00642605, 0.0973992, 0.04818438, -0.01682849, 0.003401363, 0.09740451, 0.04818187
 10020157, -0.007225762, 0.005454072, 0.09739913, 0.04818487, -0.00564478, 0.00642605, 0.0973992, 0.04818438
 10220910, -0.001924451, 0.00234363, 0.09739818, 0.0481841, -0.007225762, 0.005454072, 0.09739913, 0.04818487
 10420830, -0.004470699, 0.01232624, 0.09740095, 0.04818454, -0.001924451, 0.00234363, 0.09739818, 0.0481841
 10620750, -0.01188556, 0.01024025, 0.09740372, 0.04818169, -0.004470699, 0.01232624, 0.09740095, 0.04818454
 10820670, -0.002549576, 0.008689227, 0.09739926, 0.04818461, -0.01188556, 0.01024025, 0.09740372, 0.04818169
 11020590, -0.004292417, -0.005006936, 0.09739745, 0.04818685, -0.002549576, 0.008689227, 0.09739926, 0.04818461
 11220510, -0.006883869, 0.005758804, 0.09739771, 0.0481877, -0.004292417, -0.005006936, 0.09739745, 0.04818685
 11420430, -0.01576169, 0.007444442, 0.09740239, 0.0481865, -0.006883869, 0.005758804, 0.09739771, 0.0481877
 11620350, -0.01323003, 0.0012645, 0.09739957, 0.04818749, -0.01576169, 0.007444442, 0.09740239, 0.0481865
 11820270, -0.00590344, 0.003933602, 0.09739695, 0.04818812, -0.01323003, 0.0012645, 0.09739957, 0.04818749
 12020190, -0.007525523, 0.008869719, 0.09739909, 0.04818693, -0.00590344, 0.003933602, 0.09739695, 0.04818812
 12220943, -0.006503228, 0.00452539, 0.09739839, 0.04818568, -0.007525523, 0.008869719, 0.09739909, 0.04818693
 12420863, -0.0005856694, 0.008481622, 0.09739746, 0.0481879, -0.006503228, 0.00452539, 0.09739839, 0.04818568
 12620783, -0.005384309, 0.01018734, 0.09739807, 0.04818888, -0.0005856694, 0.008481622, 0.09739746, 0.0481879
 12820703, -0.01267724, 0.002086096, 0.09739851, 0.04818919, -0.005384309, 0.01018734, 0.09739807, 0.04818888
 13020623, -0.01417172, 0.004441423, 0.09739879, 0.04819071, -0.01267724, 0.002086096, 0.09739851, 0.04818919
 13220543, -0.002403399, 0.002711776, 0.09739383, 0.04819304, -0.01417172, 0.004441423, 0.09739879, 0.04819071
 13420463, -0.009202846, 0.009701239, 0.0973974, 0.04819197, -0.002403399, 0.002711776, 0.09739383, 0.04819304
 13620383, -0.007136012, 0.00151688, 0.09739623, 0.04818967, -0.009202846, 0.009701239, 0.0973974, 0.04819197
 13820303, -0.01659436, 0.002659506, 0.09740146, 0.04818759, -0.007136012, 0.00151688, 0.09739623, 0.04818967
 14020223, -0.01229436, 0.007896382, 0.09739956, 0.0481889, -0.01659436, 0.002659506, 0.09740146, 0.04818759
 14220976, -0.008784535, 0.003594901, 0.09739718, 0.04818913, -0.01229436, 0.007896382, 0.09739956, 0.0481889
 14420896, -0.01507684, 0.01097454, 0.09740331, 0.04818629, -0.008784535, 0.003594901, 0.09739718, 0.04818913
 14620816, -0.00924453, 0.008757989, 0.09740134, 0.04818337, -0.01507684, 0.01097454, 0.09740331, 0.04818629
 14820736, -0.009844013, 0.005992197, 0.09740238, 0.0481802, -0.00924453, 0.008757989, 0.09740134, 0.04818337
 15020656, -0.005941712, 0.004384061, 0.09740061, 0.04818087, -0.009844013, 0.005992197, 0.09740238, 0.0481802
 15220576, -0.005611957, 0.01032117, 0.09740128, 0.04818261, -0.005941712, 0.004384061, 0.09740061, 0.04818087
 15420496, -0.006047481, 0.005782447, 0.09740075, 0.04818117, -0.005611957, 0.01032117, 0.09740128, 0.04818261
 15620416, -0.01586803, 0.006484564, 0.09740585, 0.04817913, -0.006047481, 0.005782447, 0.09740075, 0.04818117
 15820336, -0.009921988, 0.0115074, 0.09740315, 0.04818226, -0.01586803, 0.006484564, 0.09740585, 0.04817913
 16020256, -0.0110887, -0.0006907959, 0.0974012, 0.04818221, -0.009921988, 0.0115074, 0.09740315, 0.04818226
 16220176, -0.01005732, 0.005461568, 0.09740119, 0.04818253, -0.0110887, -0.0006907959, 0.0974012, 0.04818221
 16420929, -0.01554734, -0.00110634, 0.09740271, 0.04818361, -0.01005732, 0.005461568, 0.09740119, 0.04818253
 16620849, -0.0102023, 0.01373325, 0.09740217, 0.04818654, -0.01554734, -0.00110634, 0.09740271, 0.04818361
 16820769, -0.00936565, -0.001102624, 0.09739764, 0.04818815, -0.0102023, 0.01373325, 0.09740217, 0.04818654
 17020689, -0.008159797, 0.005490571, 0.09739804, 0.04818764, -0.00936565, -0.001102624, 0.09739764, 0.04818815
 17220609, -0.009448273, 0.008115616, 0.09739945, 0.04818693, -0.008159797, 0.005490571, 0.09739804, 0.04818764
 17420529, -0.01132272, 0.004324332, 0.09740061, 0.04818428, -0.009448273, 0.008115616, 0.09739945, 0.04818693
 17620449, -0.01303613, 0.006686782, 0.0974029, 0.04818216, -0.01132272, 0.004324332, 0.09740061, 0.04818428
 17820369, -0.005401566, 0.003393863, 0.097399, 0.04818361, -0.01303613, 0.006686782, 0.0974029, 0.04818216
 18020289, -0.006859787, 0.003786799, 0.09739894, 0.04818454, -0.005401566, 0.003393863, 0.097399, 0.04818361
 18220209, -0.01559808, 0.00524432, 0.09740329, 0.04818349, -0.006859787, 0.003786799, 0.09739894, 0.04818454
 18420962, -0.01454203, -0.0001227409, 0.09740205, 0.04818375, -0.01559808, 0.00524432, 0.09740329, 0.04818349
 18620882, -0.005260358, 0.01196188, 0.09740103, 0.04818431, -0.01454203, -0.0001227409, 0.09740205, 0.04818375
 18820802, -0.002702382, 0.006546989, 0.09740002, 0.0481819, -0.005260358, 0.01196188, 0.09740103, 0.04818431
 19020722, -0.01139159, 0.0131678, 0.09740476, 0.04818167, -0.002702382, 0.006546989, 0.09740002, 0.0481819
 19220642, -0.007539048, 0.002042531, 0.09740041, 0.04818153, -0.01139159, 0.0131678, 0.09740476, 0.04818167
 19420562, -0.005536755, -0.004295576, 0.09739965, 0.04818262, -0.007539048, 0.002042531, 0.09740041, 0.04818153
 19620482, 0.0003675558, 0.006501186, 0.09713887, 0.04870601, -0.005536755, -0.004295576, 0.09739965, 0.04818262
 19820402, -0.005769532, 0.009114442, 0.0966704, 0.04963199, 0.0003675558, 0.006501186, 0.09713887, 0.04870601
 20020322, -0.007423215, 0.007117337, 0.09599069, 0.05093378, -0.005769532, 0.009114442, 0.0966704, 0.04963199
 20220242, -0.01194676, 0.004530073, 0.09517698, 0.05244051, -0.007423215, 0.007117337, 0.09599069, 0.05093378
 20420162, -0.006598232, 0.006051112, 0.09429606, 0.05400577, -0.01194676, 0.004530073, 0.09517698, 0.05244051
 20620915, 9.709992E-05, 0.01013451, 0.09340752, 0.05552915, -0.006598232, 0.006051112, 0.09429606, 0.05400577
 20820835, -0.006372375, 0.00153004, 0.09254763, 0.05694887, 9.709992E-05, 0.01013451, 0.09340752, 0.05552915
 21020755, 0.05827603, -0.01179898, 0.09181128, 0.05823665, -0.006372375, 0.00153004, 0.09254763, 0.05694887
 21220675, 0.1669882, -0.03314243, 0.09162961, 0.05930994, 0.05827603, -0.01179898, 0.09181128, 0.05823665
 21420595, 0.3545471, -0.06071881, 0.09318085, 0.05998576, 0.1669882, -0.03314243, 0.09162961, 0.05930994
 21620515, 0.5849478, -0.1093784, 0.09736471, 0.06019972, 0.3545471, -0.06071881, 0.09318085, 0.05998576
 21820435, 0.8663242, -0.1512357, 0.1050405, 0.05999185, 0.5849478, -0.1093784, 0.09736471, 0.06019972
 22020355, 1.155158, -0.1832102, 0.1149448, 0.05981043, 0.8663242, -0.1512357, 0.1050405, 0.05999185
 22220275, 1.415941, -0.2066467, 0.1250064, 0.06011539, 1.155158, -0.1832102, 0.1149448, 0.05981043
 22420195, 1.646148, -0.2091495, 0.1345109, 0.06127178, 1.415941, -0.2066467, 0.1250064, 0.06011539
 22620948, 1.872141, -0.2178905, 0.1447666, 0.06393506, 1.646148, -0.2091495, 0.1345109, 0.06127178
 22820868, 2.057626, -0.2113866, 0.1528178, 0.06613871, 1.872141, -0.2178905, 0.1447666, 0.06393506
 23020788, 2.311612, -0.2101429, 0.1654135, 0.07417299, 2.057626, -0.2113866, 0.1528178, 0.06613871
 23220708, 2.479039, -0.1972566, 0.1798823, 0.09461917, 2.311612, -0.2101429, 0.1654135, 0.07417299
 23420628, 2.652141, -0.1758256, 0.205124, 0.1255299, 2.479039, -0.1972566, 0.1798823, 0.09461917
 23620548, 2.832609, -0.198053, 0.237385, 0.1605828, 2.652141, -0.1758256, 0.205124, 0.1255299
 23820468, 3.067365, -0.1962334, 0.2763836, 0.1982001, 2.832609, -0.198053, 0.237385, 0.1605828
 24020388, 3.222423, -0.1903711, 0.3190978, 0.2404791, 3.067365, -0.1962334, 0.2763836, 0.1982001
 24220308, 3.364331, -0.230147, 0.3701235, 0.28643, 3.222423, -0.1903711, 0.3190978, 0.2404791
 24420228, 3.512422, -0.2667908, 0.4265693, 0.3409261, 3.364331, -0.230147, 0.3701235, 0.28643
 24620148, 3.636437, -0.2011729, 0.4883932, 0.3969753, 3.512422, -0.2667908, 0.4265693, 0.3409261
 24820901, 3.610127, -0.2654783, 0.5527285, 0.4528435, 3.636437, -0.2011729, 0.4883932, 0.3969753
 25020821, 3.639397, -0.270856, 0.6208048, 0.5104775, 3.610127, -0.2654783, 0.5527285, 0.4528435
 25220741, 3.632315, -0.2486919, 0.6859825, 0.5702705, 3.639397, -0.270856, 0.6208048, 0.5104775
 25420661, 3.619144, -0.2640807, 0.7533892, 0.6269534, 3.632315, -0.2486919, 0.6859825, 0.5702705
 25620581, 3.594461, -0.2357731, 0.8194743, 0.680376, 3.619144, -0.2640807, 0.7533892, 0.6269534
 25820501, 3.66853, -0.1901369, 0.8868895, 0.7349837, 3.594461, -0.2357731, 0.8194743, 0.680376
 26020421, 3.56972, -0.3428327, 0.9490787, 0.7856857, 3.66853, -0.1901369, 0.8868895, 0.7349837
 26220341, 3.623939, -0.2918247, 1.010692, 0.8336374, 3.56972, -0.3428327, 0.9490787, 0.7856857
 26420261, 3.655382, -0.2796879, 1.070659, 0.8821725, 3.623939, -0.2918247, 1.010692, 0.8336374
 26620181, 3.503222, -0.2348541, 1.129232, 0.9280539, 3.655382, -0.2796879, 1.070659, 0.8821725
 26820934, 3.484334, -0.3465298, 1.187463, 0.9699396, 3.503222, -0.2348541, 1.129232, 0.9280539
 27020854, 3.249604, -0.2088707, 1.239226, 1.008814, 3.484334, -0.3465298, 1.187463, 0.9699396
 27220774, 3.113582, -0.1848369, 1.288451, 1.04235, 3.249604, -0.2088707, 1.239226, 1.008814
 27420694, 3.120156, -0.3577669, 1.337155, 1.07222, 3.113582, -0.1848369, 1.288451, 1.04235
 27620614, 3.014046, -0.275202, 1.385129, 1.100192, 3.120156, -0.3577669, 1.337155, 1.07222
 27820534, 3.116372, -0.2267596, 1.434081, 1.124702, 3.014046, -0.275202, 1.385129, 1.100192
 28020454, 2.957264, -0.1781098, 1.481864, 1.14692, 3.116372, -0.2267596, 1.434081, 1.124702
 28220374, 2.782302, -0.3171564, 1.529929, 1.168322, 2.957264, -0.1781098, 1.481864, 1.14692
 28420294, 2.847956, -0.2339601, 1.577599, 1.188687, 2.782302, -0.3171564, 1.529929, 1.168322
 28620214, 2.934172, -0.31178, 1.624944, 1.208682, 2.847956, -0.2339601, 1.577599, 1.188687
 28820967, 2.792419, -0.3104236, 1.670462, 1.227597, 2.934172, -0.31178, 1.624944, 1.208682
 29020887, 2.685392, -0.2539379, 1.715237, 1.247333, 2.792419, -0.3104236, 1.670462, 1.227597
 29220807, 2.8242, -0.5019065, 1.757909, 1.268327, 2.685392, -0.2539379, 1.715237, 1.247333
 29420727, 2.665731, -0.5085243, 1.798591, 1.289061, 2.8242, -0.5019065, 1.757909, 1.268327
 29620647, 2.536242, -0.5669093, 1.836417, 1.312194, 2.665731, -0.5085243, 1.798591, 1.289061
 29820567, 2.552346, -0.3430203, 1.87455, 1.331596, 2.536242, -0.5669093, 1.836417, 1.312194
 30020487, 2.553195, -0.5294191, 1.911466, 1.352175, 2.552346, -0.3430203, 1.87455, 1.331596
 30220407, 2.649975, -0.4269268, 1.947789, 1.372542, 2.553195, -0.5294191, 1.911466, 1.352175
 30420327, 2.572033, -0.2954271, 1.965969, 1.398298, 2.649975, -0.4269268, 1.947789, 1.372542
 30620247, 2.531048, -0.2921273, 2.067382, 1.471162, 2.572033, -0.2954271, 1.965969, 1.398298
 30820167, 2.533562, -0.4440359, 2.346054, 1.494715, 2.531048, -0.2921273, 2.067382, 1.471162
 31020920, 2.745142, -0.6063883, 2.292414, 1.458535, 2.533562, -0.4440359, 2.346054, 1.494715
 31220840, 2.839094, -0.3420624, 1.975599, 1.416278, 2.745142, -0.6063883, 2.292414, 1.458535
 31420760, 3.030015, -0.2560104, 1.763842, 1.382847, 2.839094, -0.3420624, 1.975599, 1.416278
 31620680, 3.298431, -0.3242406, 1.665096, 1.347377, 3.030015, -0.2560104, 1.763842, 1.382847
 31820600, 3.26995, -0.3989584, 1.602164, 1.306383, 3.298431, -0.3242406, 1.665096, 1.347377
 32020520, 3.240341, -0.2704966, 1.520178, 1.263424, 3.26995, -0.3989584, 1.602164, 1.306383
 32220440, 3.350166, -0.305311, 1.419952, 1.214745, 3.240341, -0.2704966, 1.520178, 1.263424
 32420360, 3.463917, -0.1577442, 1.318648, 1.172391, 3.350166, -0.305311, 1.419952, 1.214745
 32620280, 3.719919, 0.01415783, 1.24268, 1.138638, 3.463917, -0.1577442, 1.318648, 1.172391
 32820200, 3.595932, -0.03087261, 1.188498, 1.108796, 3.719919, 0.01415783, 1.24268, 1.138638
 33020953, 3.81441, -0.03131355, 1.15367, 1.085095, 3.595932, -0.03087261, 1.188498, 1.108796
 33220873, 3.877924, -0.1475726, 1.126513, 1.069928, 3.81441, -0.03131355, 1.15367, 1.085095
 33420793, 3.944281, -0.1186276, 1.107665, 1.061161, 3.877924, -0.1475726, 1.126513, 1.069928
 33620713, 3.948814, -0.0294394, 1.092511, 1.058212, 3.944281, -0.1186276, 1.107665, 1.061161
 33820633, 3.862628, -0.05722419, 1.082174, 1.05949, 3.948814, -0.0294394, 1.092511, 1.058212
 34020553, 3.994262, -0.04963638, 1.075376, 1.068318, 3.862628, -0.05722419, 1.082174, 1.05949
 34220473, 4.064301, 0.001684379, 1.073665, 1.075263, 3.994262, -0.04963638, 1.075376, 1.068318
 34420393, 3.86724, 0.06684849, 1.07038, 1.088623, 4.064301, 0.001684379, 1.073665, 1.075263
 34620313, 4.074616, 0.08877799, 1.073786, 1.104849, 3.86724, 0.06684849, 1.07038, 1.088623
 34820233, 4.030004, 0.1897017, 1.077263, 1.12287, 4.074616, 0.08877799, 1.073786, 1.104849
 35020153, 4.077422, 0.135321, 1.083403, 1.145499, 4.030004, 0.1897017, 1.077263, 1.12287
 35220906, 4.014273, 0.1821885, 1.096254, 1.164586, 4.077422, 0.135321, 1.083403, 1.145499
 35420826, 3.9971, 0.1273066, 1.105912, 1.190064, 4.014273, 0.1821885, 1.096254, 1.164586
 35620746, 3.947726, 0.2690779, 1.117881, 1.217751, 3.9971, 0.1273066, 1.105912, 1.190064
 35820666, 4.022423, 0.1598439, 1.135538, 1.244356, 3.947726, 0.2690779, 1.117881, 1.217751
 36020586, 4.048213, 0.2151956, 1.154328, 1.270498, 4.022423, 0.1598439, 1.135538, 1.244356
 36220506, 4.161394, 0.1723479, 1.174194, 1.29839, 4.048213, 0.2151956, 1.154328, 1.270498
 36420426, 4.007105, 0.2314174, 1.195173, 1.326698, 4.161394, 0.1723479, 1.174194, 1.29839
 36620346, 3.988586, 0.1804969, 1.213436, 1.35602, 4.007105, 0.2314174, 1.195173, 1.326698
 36820266, 3.847461, 0.3352569, 1.234024, 1.379288, 3.988586, 0.1804969, 1.213436, 1.35602
 37020186, 3.89508, 0.3891388, 1.251919, 1.40211, 3.847461, 0.3352569, 1.234024, 1.379288
 37220939, 3.884271, 0.2922076, 1.270751, 1.418623, 3.89508, 0.3891388, 1.251919, 1.40211
 37420859, 3.769809, 0.3189363, 1.286726, 1.431415, 3.884271, 0.2922076, 1.270751, 1.418623
 37620779, 3.927102, 0.1482249, 1.299456, 1.445242, 3.769809, 0.3189363, 1.286726, 1.431415
 37820699, 3.793899, 0.3543062, 1.307178, 1.455006, 3.927102, 0.1482249, 1.299456, 1.445242
 38020619, 3.969131, 0.3655893, 1.318593, 1.461105, 3.793899, 0.3543062, 1.307178, 1.455006
 38220539, 3.845839, 0.1569191, 1.326969, 1.466443, 3.969131, 0.3655893, 1.318593, 1.461105
 38420459, 3.803973, 0.1372059, 1.333179, 1.470305, 3.845839, 0.1569191, 1.326969, 1.466443
 38620379, 3.841206, 0.2267062, 1.338206, 1.4711, 3.803973, 0.1372059, 1.333179, 1.470305
 38820299, 3.702409, 0.1603408, 1.341266, 1.467451, 3.841206, 0.2267062, 1.338206, 1.4711
 39020219, 3.745306, 0.1966121, 1.34574, 1.462826, 3.702409, 0.1603408, 1.341266, 1.467451
 39220972, 3.746976, 0.2442333, 1.346818, 1.458039, 3.745306, 0.1966121, 1.34574, 1.462826
 39420892, 3.723782, 0.2663386, 1.346325, 1.45031, 3.746976, 0.2442333, 1.346818, 1.458039
 39620812, 3.805609, 0.07501092, 1.344701, 1.443063, 3.723782, 0.2663386, 1.346325, 1.45031
 39820732, 3.589304, 0.08442296, 1.341328, 1.433254, 3.805609, 0.07501092, 1.344701, 1.443063
 40020652, 3.718247, 0.2441491, 1.338115, 1.424824, 3.589304, 0.08442296, 1.341328, 1.433254
 40220572, 3.696328, 0.03539364, 1.335846, 1.412435, 3.718247, 0.2441491, 1.338115, 1.424824
