THR,Frames,FPR,TPR,TTD
1,409,0.24761904761904763,1.0,124
2,408,0.19047619047619047,1.0,124
3,407,0.1523809523809524,1.0,124
4,406,0.12380952380952381,1.0,124
5,405,0.09523809523809523,1.0,124
6,404,0.0761904761904762,1.0,124
7,403,0.06666666666666667,0.9966442953020134,324
8,402,0.05714285714285714,0.9932659932659933,524
9,401,0.047619047619047616,0.9898648648648649,724
10,400,0.0380952380952381,0.9864406779661017,924
11,399,0.02857142857142857,0.9829931972789115,1124
12,398,0.01904761904761905,0.9795221843003413,1324
13,397,0.009523809523809525,0.976027397260274,1524
14,396,0.0,0.9725085910652921,1724
15,395,0.0,0.9689655172413794,1924
16,394,0.0,0.9653979238754326,2124
17,393,0.0,0.9618055555555556,2324
18,392,0.0,0.9581881533101045,2524
19,391,0.0,0.9545454545454546,2724
20,390,0.0,0.9508771929824561,2924
21,389,0.0,0.9471830985915493,3124
22,388,0.0,0.9434628975265018,3324
23,387,0.0,0.9397163120567376,3524
24,386,0.0,0.9359430604982206,3724
25,385,0.0,0.9321428571428572,3924
26,384,0.0,0.9283154121863799,4124
27,383,0.0,0.9244604316546763,4324
28,382,0.0,0.9205776173285198,4524
29,381,0.0,0.9166666666666666,4724
30,380,0.0,0.9127272727272727,4924
