Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.009523809523809525,0.003289473684210526,0.22857142857142856,1.0
2,0.0,0.0,0.19047619047619047,1.0
3,0.0,0.0,0.1523809523809524,1.0
4,0.0,0.0,0.12380952380952381,1.0
5,0.0,0.0,0.09523809523809523,1.0
6,0.0,0.0,0.0761904761904762,1.0
7,0.0,0.0,0.06666666666666667,0.9966442953020134
8,0.0,0.0,0.05714285714285714,0.9932659932659933
9,0.0,0.0,0.047619047619047616,0.9898648648648649
10,0.0,0.0,0.0380952380952381,0.9864406779661017
11,0.0,0.0,0.02857142857142857,0.9829931972789115
12,0.0,0.0,0.01904761904761905,0.9795221843003413
13,0.0,0.0,0.009523809523809525,0.976027397260274
14,0.0,0.0,0.0,0.9725085910652921
15,0.0,0.0,0.0,0.9689655172413794
16,0.0,0.0,0.0,0.9653979238754326
17,0.0,0.0,0.0,0.9618055555555556
18,0.0,0.0,0.0,0.9581881533101045
19,0.0,0.0,0.0,0.9545454545454546
20,0.0,0.0,0.0,0.9508771929824561
21,0.0,0.0,0.0,0.9471830985915493
22,0.0,0.0,0.0,0.9434628975265018
23,0.0,0.0,0.0,0.9397163120567376
24,0.0,0.0,0.0,0.9359430604982206
25,0.0,0.0,0.0,0.9321428571428572
26,0.0,0.0,0.0,0.9283154121863799
27,0.0,0.0,0.0,0.9244604316546763
28,0.0,0.0,0.0,0.9205776173285198
29,0.0,0.0,0.0,0.9166666666666666
30,0.0,0.0,0.0,0.9127272727272727
