Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.0,0.3696369636963696,0.0,0.9966996699669967
2,0.0,0.33112582781456956,0.0,0.9933774834437086
3,0.0,0.31561461794019935,0.0,0.9900332225913622
4,0.0,0.30333333333333334,0.0,0.9866666666666667
5,0.0,0.2976588628762542,0.0,0.9832775919732442
6,0.0,0.29194630872483224,0.0,0.9798657718120806
7,0.0,0.2895622895622896,0.0,0.9764309764309764
8,0.0,0.28716216216216217,0.0,0.972972972972973
9,0.0,0.2847457627118644,0.0,0.9694915254237289
10,0.0,0.282312925170068,0.0,0.9659863945578231
11,0.0,0.27986348122866894,0.0,0.962457337883959
12,0.0,0.2773972602739726,0.0,0.958904109589041
13,0.0,0.27491408934707906,0.0,0.9553264604810997
14,0.0,0.27241379310344827,0.0,0.9517241379310345
15,0.0,0.2698961937716263,0.0,0.9480968858131488
16,0.0,0.2673611111111111,0.0,0.9444444444444444
17,0.0,0.26480836236933797,0.0,0.9407665505226481
18,0.0,0.26223776223776224,0.0,0.9370629370629371
19,0.0,0.2596491228070175,0.0,0.9333333333333333
20,0.0,0.25704225352112675,0.0,0.9295774647887324
21,0.0,0.254416961130742,0.0,0.9257950530035336
22,0.0,0.24822695035460993,0.0,0.9219858156028369
23,0.0,0.24199288256227758,0.0,0.9181494661921709
24,0.0,0.2357142857142857,0.0,0.9142857142857143
25,0.0,0.22939068100358423,0.0,0.910394265232975
26,0.0,0.22302158273381295,0.0,0.9064748201438849
27,0.0,0.21660649819494585,0.0,0.9025270758122743
28,0.0,0.21014492753623187,0.0,0.8985507246376812
29,0.0,0.20363636363636364,0.0,0.8945454545454545
30,0.0,0.19708029197080293,0.0,0.8905109489051095
