THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,349,0.4326647564469914,0.03151862464183381,0.034383954154727794
2,348,0.3879310344827586,0.022988505747126436,0.028735632183908046
3,347,0.3688760806916426,0.01440922190201729,0.023054755043227664
4,346,0.3554913294797688,0.008670520231213872,0.017341040462427744
5,345,0.34492753623188405,0.002898550724637681,0.011594202898550725
6,344,0.33430232558139533,0.0,0.005813953488372093
7,343,0.3236151603498542,0.0,0.0
8,342,0.3128654970760234,0.0,0.0
9,341,0.3020527859237537,0.0,0.0
10,340,0.2911764705882353,0.0,0.0
11,339,0.2831858407079646,0.0,0.0
12,338,0.2781065088757396,0.0,0.0
13,337,0.27299703264094954,0.0,0.0
14,336,0.26785714285714285,0.0,0.0
15,335,0.2626865671641791,0.0,0.0
16,334,0.25748502994011974,0.0,0.0
17,333,0.25225225225225223,0.0,0.0
18,332,0.2469879518072289,0.0,0.0
19,331,0.24169184290030213,0.0,0.0
20,330,0.23636363636363636,0.0,0.0
21,329,0.22796352583586627,0.0,0.0
22,328,0.21951219512195122,0.0,0.0
23,327,0.21100917431192662,0.0,0.0
24,326,0.20245398773006135,0.0,0.0
25,325,0.19384615384615383,0.0,0.0
26,324,0.18518518518518517,0.0,0.0
27,323,0.17647058823529413,0.0,0.0
28,322,0.16770186335403728,0.0,0.0
29,321,0.1588785046728972,0.0,0.0
30,320,0.15,0.0,0.0
