Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.0,0.4326647564469914,0.05730659025787966
2,0.0,0.3879310344827586,0.04885057471264368
3,0.0,0.3688760806916426,0.040345821325648415
4,0.0,0.3554913294797688,0.031791907514450865
5,0.0,0.34492753623188405,0.02318840579710145
6,0.0,0.33430232558139533,0.01744186046511628
7,0.0,0.3236151603498542,0.011661807580174927
8,0.0,0.3128654970760234,0.005847953216374269
9,0.0,0.3020527859237537,0.0
10,0.0,0.2911764705882353,0.0
11,0.0,0.2831858407079646,0.0
12,0.0,0.2781065088757396,0.0
13,0.0,0.27299703264094954,0.0
14,0.0,0.26785714285714285,0.0
15,0.0,0.2626865671641791,0.0
16,0.0,0.25748502994011974,0.0
17,0.0,0.25225225225225223,0.0
18,0.0,0.2469879518072289,0.0
19,0.0,0.24169184290030213,0.0
20,0.0,0.23636363636363636,0.0
21,0.0,0.22796352583586627,0.0
22,0.0,0.21951219512195122,0.0
23,0.0,0.21100917431192662,0.0
24,0.0,0.20245398773006135,0.0
25,0.0,0.19384615384615383,0.0
26,0.0,0.18518518518518517,0.0
27,0.0,0.17647058823529413,0.0
28,0.0,0.16770186335403728,0.0
29,0.0,0.1588785046728972,0.0
30,0.0,0.15,0.0
