Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.0,0.009868421052631578,0.21904761904761905,1.0
2,0.0,0.0,0.19047619047619047,1.0
3,0.0,0.0,0.18095238095238095,0.9966887417218543
4,0.0,0.0,0.17142857142857143,0.9933554817275747
5,0.0,0.0,0.1619047619047619,0.99
6,0.0,0.0,0.1523809523809524,0.9866220735785953
7,0.0,0.0,0.14285714285714285,0.9832214765100671
8,0.0,0.0,0.13333333333333333,0.9797979797979798
9,0.0,0.0,0.12380952380952381,0.9763513513513513
10,0.0,0.0,0.11428571428571428,0.9728813559322034
11,0.0,0.0,0.10476190476190476,0.9693877551020408
12,0.0,0.0,0.09523809523809523,0.9658703071672355
13,0.0,0.0,0.08571428571428572,0.9623287671232876
14,0.0,0.0,0.0761904761904762,0.9587628865979382
15,0.0,0.0,0.06666666666666667,0.9551724137931035
16,0.0,0.0,0.05714285714285714,0.9515570934256056
17,0.0,0.0,0.047619047619047616,0.9479166666666666
18,0.0,0.0,0.0380952380952381,0.9442508710801394
19,0.0,0.0,0.02857142857142857,0.9405594405594405
20,0.0,0.0,0.01904761904761905,0.9368421052631579
21,0.0,0.0,0.009523809523809525,0.9330985915492958
22,0.0,0.0,0.0,0.9293286219081273
23,0.0,0.0,0.0,0.925531914893617
24,0.0,0.0,0.0,0.9217081850533808
25,0.0,0.0,0.0,0.9178571428571428
26,0.0,0.0,0.0,0.9139784946236559
27,0.0,0.0,0.0,0.9100719424460432
28,0.0,0.0,0.0,0.9061371841155235
29,0.0,0.0,0.0,0.9021739130434783
30,0.0,0.0,0.0,0.8981818181818182
