Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.015151515151515152,0.36633663366336633,0.015151515151515152,0.19141914191419143
2,0.0,0.3344370860927152,0.0,0.18874172185430463
3,0.0,0.31893687707641194,0.0,0.18272425249169436
4,0.0,0.30666666666666664,0.0,0.17666666666666667
5,0.0,0.3010033444816054,0.0,0.1705685618729097
6,0.0,0.2986577181208054,0.0,0.1644295302013423
7,0.0,0.2962962962962963,0.0,0.15824915824915825
8,0.0,0.2939189189189189,0.0,0.15202702702702703
9,0.0,0.29152542372881357,0.0,0.14576271186440679
10,0.0,0.2891156462585034,0.0,0.13945578231292516
11,0.0,0.28668941979522183,0.0,0.13310580204778158
12,0.0,0.2842465753424658,0.0,0.1267123287671233
13,0.0,0.281786941580756,0.0,0.12027491408934708
14,0.0,0.2793103448275862,0.0,0.11379310344827587
15,0.0,0.2768166089965398,0.0,0.10726643598615918
16,0.0,0.2743055555555556,0.0,0.10069444444444445
17,0.0,0.27177700348432055,0.0,0.09407665505226481
18,0.0,0.2692307692307692,0.0,0.08741258741258741
19,0.0,0.26666666666666666,0.0,0.08070175438596491
20,0.0,0.2605633802816901,0.0,0.07394366197183098
21,0.0,0.254416961130742,0.0,0.06713780918727916
22,0.0,0.24822695035460993,0.0,0.06028368794326241
23,0.0,0.24199288256227758,0.0,0.05338078291814947
24,0.0,0.2357142857142857,0.0,0.04642857142857143
25,0.0,0.22939068100358423,0.0,0.03942652329749104
26,0.0,0.22302158273381295,0.0,0.03237410071942446
27,0.0,0.21660649819494585,0.0,0.02527075812274368
28,0.0,0.21014492753623187,0.0,0.018115942028985508
29,0.0,0.20363636363636364,0.0,0.01090909090909091
30,0.0,0.19708029197080293,0.0,0.0036496350364963502
