Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.006600660066006601,0.8333333333333334,0.38613861386138615,0.21212121212121213,0.04950495049504951
2,0.0,0.0,0.8181818181818182,0.3576158940397351,0.19696969696969696,0.03642384105960265
3,0.0,0.0,0.803030303030303,0.3388704318936877,0.18181818181818182,0.029900332225913623
4,0.0,0.0,0.7878787878787878,0.33,0.16666666666666666,0.02666666666666667
5,0.0,0.0,0.7727272727272727,0.3277591973244147,0.15151515151515152,0.020066889632107024
6,0.0,0.0,0.7575757575757576,0.32550335570469796,0.13636363636363635,0.013422818791946308
7,0.0,0.0,0.7424242424242424,0.32323232323232326,0.12121212121212122,0.006734006734006734
8,0.0,0.0,0.7272727272727273,0.32094594594594594,0.10606060606060606,0.0
9,0.0,0.0,0.7121212121212122,0.3152542372881356,0.09090909090909091,0.0
10,0.0,0.0,0.696969696969697,0.3163265306122449,0.07575757575757576,0.0
11,0.0,0.0,0.6818181818181818,0.3174061433447099,0.06060606060606061,0.0
12,0.0,0.0,0.6666666666666666,0.3184931506849315,0.045454545454545456,0.0
13,0.0,0.0,0.6515151515151515,0.31958762886597936,0.030303030303030304,0.0
14,0.0,0.0,0.6363636363636364,0.32068965517241377,0.015151515151515152,0.0
15,0.0,0.0,0.6212121212121212,0.3217993079584775,0.0,0.0
16,0.0,0.0,0.6060606060606061,0.3229166666666667,0.0,0.0
17,0.0,0.0,0.5909090909090909,0.3240418118466899,0.0,0.0
18,0.0,0.0,0.5757575757575758,0.32517482517482516,0.0,0.0
19,0.0,0.0,0.5606060606060606,0.3263157894736842,0.0,0.0
20,0.0,0.0,0.5454545454545454,0.3274647887323944,0.0,0.0
21,0.0,0.0,0.5303030303030303,0.3286219081272085,0.0,0.0
22,0.0,0.0,0.5151515151515151,0.32978723404255317,0.0,0.0
23,0.0,0.0,0.5,0.3309608540925267,0.0,0.0
24,0.0,0.0,0.48484848484848486,0.33214285714285713,0.0,0.0
25,0.0,0.0,0.4696969696969697,0.3333333333333333,0.0,0.0
26,0.0,0.0,0.45454545454545453,0.33093525179856115,0.0,0.0
27,0.0,0.0,0.4393939393939394,0.3285198555956679,0.0,0.0
28,0.0,0.0,0.42424242424242425,0.32608695652173914,0.0,0.0
29,0.0,0.0,0.4090909090909091,0.3236363636363636,0.0,0.0
30,0.0,0.0,0.3939393939393939,0.32116788321167883,0.0,0.0
