THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,349,0.0028653295128939827,0.0,0.03151862464183381
2,348,0.0,0.0,0.02586206896551724
3,347,0.0,0.0,0.020172910662824207
4,346,0.0,0.0,0.014450867052023121
5,345,0.0,0.0,0.008695652173913044
6,344,0.0,0.0,0.0029069767441860465
7,343,0.0,0.0,0.0
8,342,0.0,0.0,0.0
9,341,0.0,0.0,0.0
10,340,0.0,0.0,0.0
11,339,0.0,0.0,0.0
12,338,0.0,0.0,0.0
13,337,0.0,0.0,0.0
14,336,0.0,0.0,0.0
15,335,0.0,0.0,0.0
16,334,0.0,0.0,0.0
17,333,0.0,0.0,0.0
18,332,0.0,0.0,0.0
19,331,0.0,0.0,0.0
20,330,0.0,0.0,0.0
21,329,0.0,0.0,0.0
22,328,0.0,0.0,0.0
23,327,0.0,0.0,0.0
24,326,0.0,0.0,0.0
25,325,0.0,0.0,0.0
26,324,0.0,0.0,0.0
27,323,0.0,0.0,0.0
28,322,0.0,0.0,0.0
29,321,0.0,0.0,0.0
30,320,0.0,0.0,0.0
