Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.26721311475409837,0.0,0.0
2,0.180623973727422,0.0,0.0
3,0.13980263157894737,0.0,0.0
4,0.11367380560131796,0.0,0.0
5,0.10231023102310231,0.0,0.0
6,0.09090909090909091,0.0,0.0
7,0.08609271523178808,0.0,0.0
8,0.07462686567164178,0.0,0.0
9,0.06976744186046512,0.0,0.0
10,0.05823627287853577,0.0,0.0
11,0.05333333333333334,0.0,0.0
12,0.041736227045075125,0.0,0.0
13,0.038461538461538464,0.0,0.0
14,0.02847571189279732,0.0,0.0
15,0.025167785234899327,0.0,0.0
16,0.015126050420168067,0.0,0.0
17,0.015151515151515152,0.0,0.0
18,0.008431703204047217,0.0,0.0
19,0.006756756756756757,0.0,0.0
20,0.00338409475465313,0.0,0.0
21,0.003389830508474576,0.0,0.0
22,0.001697792869269949,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
