Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.9950819672131147,1.0
2,0.9901477832512315,0.9983579638752053
3,0.9884868421052632,0.9967105263157895
4,0.9868204283360791,0.9950576606260296
5,0.9851485148514851,0.9933993399339934
6,0.9834710743801653,0.9917355371900827
7,0.9817880794701986,0.9900662251655629
8,0.9800995024875622,0.988391376451078
9,0.978405315614618,0.9867109634551495
10,0.9767054908485857,0.9850249584026622
11,0.975,0.9833333333333333
12,0.9732888146911519,0.9816360601001669
13,0.9715719063545151,0.979933110367893
14,0.9698492462311558,0.9782244556113903
15,0.9681208053691275,0.9765100671140939
16,0.9663865546218487,0.9747899159663865
17,0.9646464646464646,0.9730639730639731
18,0.9629005059021922,0.9713322091062394
19,0.9611486486486487,0.9695945945945946
20,0.9593908629441624,0.9678510998307953
21,0.9576271186440678,0.9661016949152542
22,0.9558573853989814,0.9643463497453311
23,0.9540816326530612,0.9625850340136054
24,0.9522998296422487,0.9608177172061328
25,0.9505119453924915,0.9590443686006825
26,0.9487179487179487,0.9572649572649573
27,0.946917808219178,0.9554794520547946
28,0.9451114922813036,0.9536878216123499
29,0.9432989690721649,0.9518900343642611
30,0.9414802065404475,0.9500860585197934
