Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.004434589800443459,0.8869179600886918,0.25277161862527714
2,0.0022222222222222222,0.8533333333333334,0.24222222222222223
3,0.0,0.8285077951002228,0.23608017817371937
4,0.0,0.8102678571428571,0.22767857142857142
5,0.0,0.7919463087248322,0.21923937360178972
6,0.0,0.773542600896861,0.21076233183856502
7,0.0,0.7595505617977528,0.20224719101123595
8,0.0,0.7477477477477478,0.19369369369369369
9,0.0,0.7381489841986456,0.18510158013544017
10,0.0,0.7285067873303167,0.17647058823529413
11,0.0,0.7188208616780045,0.16780045351473924
12,0.0,0.7068181818181818,0.1590909090909091
13,0.0,0.6947608200455581,0.15034168564920272
14,0.0,0.682648401826484,0.1415525114155251
15,0.0,0.6704805491990846,0.13272311212814644
16,0.0,0.658256880733945,0.12385321100917432
17,0.0,0.6459770114942529,0.11494252873563218
18,0.0,0.6336405529953917,0.10599078341013825
19,0.0,0.6212471131639723,0.09699769053117784
20,0.0,0.6087962962962963,0.08796296296296297
21,0.0,0.5962877030162413,0.08352668213457076
22,0.0,0.5837209302325581,0.07906976744186046
23,0.0,0.5734265734265734,0.07459207459207459
24,0.0,0.5630841121495327,0.07009345794392523
25,0.0,0.5526932084309133,0.06557377049180328
26,0.0,0.5422535211267606,0.06103286384976526
27,0.0,0.5317647058823529,0.05647058823529412
28,0.0,0.5212264150943396,0.05188679245283019
29,0.0,0.5106382978723404,0.04728132387706856
30,0.0,0.5,0.04265402843601896
