Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.0,0.32664756446991405,0.03151862464183381
2,0.0,0.3074712643678161,0.022988505747126436
3,0.0,0.29394812680115273,0.01440922190201729
4,0.0,0.2832369942196532,0.008670520231213872
5,0.0,0.27246376811594203,0.002898550724637681
6,0.0,0.2616279069767442,0.0
7,0.0,0.25072886297376096,0.0
8,0.0,0.23976608187134502,0.0
9,0.0,0.2287390029325513,0.0
10,0.0,0.21764705882352942,0.0
11,0.0,0.20943952802359883,0.0
12,0.0,0.20414201183431951,0.0
13,0.0,0.20178041543026706,0.0
14,0.0,0.19940476190476192,0.0
15,0.0,0.19701492537313434,0.0
16,0.0,0.19461077844311378,0.0
17,0.0,0.1921921921921922,0.0
18,0.0,0.1897590361445783,0.0
19,0.0,0.18731117824773413,0.0
20,0.0,0.18484848484848485,0.0
21,0.0,0.17933130699088146,0.0
22,0.0,0.17378048780487804,0.0
23,0.0,0.16819571865443425,0.0
24,0.0,0.16257668711656442,0.0
25,0.0,0.15692307692307692,0.0
26,0.0,0.15123456790123457,0.0
27,0.0,0.14551083591331268,0.0
28,0.0,0.13975155279503104,0.0
29,0.0,0.13395638629283488,0.0
30,0.0,0.128125,0.0
