Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.0,0.009523809523809525,0.8026315789473685,0.0,0.0
2,0.0,0.0,0.0,0.768976897689769,0.0,0.0
3,0.0,0.0,0.0,0.7483443708609272,0.0,0.0
4,0.0,0.0,0.0,0.7275747508305648,0.0,0.0
5,0.0,0.0,0.0,0.72,0.0,0.0
6,0.0,0.0,0.0,0.7123745819397993,0.0,0.0
7,0.0,0.0,0.0,0.7046979865771812,0.0,0.0
8,0.0,0.0,0.0,0.696969696969697,0.0,0.0
9,0.0,0.0,0.0,0.6891891891891891,0.0,0.0
10,0.0,0.0,0.0,0.6813559322033899,0.0,0.0
11,0.0,0.0,0.0,0.6768707482993197,0.0,0.0
12,0.0,0.0,0.0,0.6723549488054608,0.0,0.0
13,0.0,0.0,0.0,0.6678082191780822,0.0,0.0
14,0.0,0.0,0.0,0.6632302405498282,0.0,0.0
15,0.0,0.0,0.0,0.6586206896551724,0.0,0.0
16,0.0,0.0,0.0,0.6539792387543253,0.0,0.0
17,0.0,0.0,0.0,0.6493055555555556,0.0,0.0
18,0.0,0.0,0.0,0.6445993031358885,0.0,0.0
19,0.0,0.0,0.0,0.6398601398601399,0.0,0.0
20,0.0,0.0,0.0,0.6350877192982456,0.0,0.0
21,0.0,0.0,0.0,0.6302816901408451,0.0,0.0
22,0.0,0.0,0.0,0.6254416961130742,0.0,0.0
23,0.0,0.0,0.0,0.6205673758865248,0.0,0.0
24,0.0,0.0,0.0,0.6156583629893239,0.0,0.0
25,0.0,0.0,0.0,0.6107142857142858,0.0,0.0
26,0.0,0.0,0.0,0.6057347670250897,0.0,0.0
27,0.0,0.0,0.0,0.6007194244604317,0.0,0.0
28,0.0,0.0,0.0,0.5956678700361011,0.0,0.0
29,0.0,0.0,0.0,0.5905797101449275,0.0,0.0
30,0.0,0.0,0.0,0.5854545454545454,0.0,0.0
