Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.0,0.015151515151515152,0.36633663366336633,0.0,0.0
2,0.0,0.0,0.0,0.3344370860927152,0.0,0.0
3,0.0,0.0,0.0,0.31893687707641194,0.0,0.0
4,0.0,0.0,0.0,0.30666666666666664,0.0,0.0
5,0.0,0.0,0.0,0.3010033444816054,0.0,0.0
6,0.0,0.0,0.0,0.2986577181208054,0.0,0.0
7,0.0,0.0,0.0,0.2962962962962963,0.0,0.0
8,0.0,0.0,0.0,0.2939189189189189,0.0,0.0
9,0.0,0.0,0.0,0.29152542372881357,0.0,0.0
10,0.0,0.0,0.0,0.2891156462585034,0.0,0.0
11,0.0,0.0,0.0,0.28668941979522183,0.0,0.0
12,0.0,0.0,0.0,0.2842465753424658,0.0,0.0
13,0.0,0.0,0.0,0.281786941580756,0.0,0.0
14,0.0,0.0,0.0,0.2793103448275862,0.0,0.0
15,0.0,0.0,0.0,0.2768166089965398,0.0,0.0
16,0.0,0.0,0.0,0.2743055555555556,0.0,0.0
17,0.0,0.0,0.0,0.27177700348432055,0.0,0.0
18,0.0,0.0,0.0,0.2692307692307692,0.0,0.0
19,0.0,0.0,0.0,0.26666666666666666,0.0,0.0
20,0.0,0.0,0.0,0.2605633802816901,0.0,0.0
21,0.0,0.0,0.0,0.254416961130742,0.0,0.0
22,0.0,0.0,0.0,0.24822695035460993,0.0,0.0
23,0.0,0.0,0.0,0.24199288256227758,0.0,0.0
24,0.0,0.0,0.0,0.2357142857142857,0.0,0.0
25,0.0,0.0,0.0,0.22939068100358423,0.0,0.0
26,0.0,0.0,0.0,0.22302158273381295,0.0,0.0
27,0.0,0.0,0.0,0.21660649819494585,0.0,0.0
28,0.0,0.0,0.0,0.21014492753623187,0.0,0.0
29,0.0,0.0,0.0,0.20363636363636364,0.0,0.0
30,0.0,0.0,0.0,0.19708029197080293,0.0,0.0
