Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.0,0.0,0.33663366336633666,0.0,0.0
2,0.0,0.0,0.0,0.3079470198675497,0.0,0.0
3,0.0,0.0,0.0,0.29900332225913623,0.0,0.0
4,0.0,0.0,0.0,0.2966666666666667,0.0,0.0
5,0.0,0.0,0.0,0.29431438127090304,0.0,0.0
6,0.0,0.0,0.0,0.29194630872483224,0.0,0.0
7,0.0,0.0,0.0,0.2895622895622896,0.0,0.0
8,0.0,0.0,0.0,0.28716216216216217,0.0,0.0
9,0.0,0.0,0.0,0.2847457627118644,0.0,0.0
10,0.0,0.0,0.0,0.282312925170068,0.0,0.0
11,0.0,0.0,0.0,0.27986348122866894,0.0,0.0
12,0.0,0.0,0.0,0.273972602739726,0.0,0.0
13,0.0,0.0,0.0,0.26804123711340205,0.0,0.0
14,0.0,0.0,0.0,0.2620689655172414,0.0,0.0
15,0.0,0.0,0.0,0.2560553633217993,0.0,0.0
16,0.0,0.0,0.0,0.25,0.0,0.0
17,0.0,0.0,0.0,0.24390243902439024,0.0,0.0
18,0.0,0.0,0.0,0.23776223776223776,0.0,0.0
19,0.0,0.0,0.0,0.23157894736842105,0.0,0.0
20,0.0,0.0,0.0,0.22535211267605634,0.0,0.0
21,0.0,0.0,0.0,0.21908127208480566,0.0,0.0
22,0.0,0.0,0.0,0.2127659574468085,0.0,0.0
23,0.0,0.0,0.0,0.20640569395017794,0.0,0.0
24,0.0,0.0,0.0,0.2,0.0,0.0
25,0.0,0.0,0.0,0.1935483870967742,0.0,0.0
26,0.0,0.0,0.0,0.18705035971223022,0.0,0.0
27,0.0,0.0,0.0,0.18050541516245489,0.0,0.0
28,0.0,0.0,0.0,0.17391304347826086,0.0,0.0
29,0.0,0.0,0.0,0.16727272727272727,0.0,0.0
30,0.0,0.0,0.0,0.16058394160583941,0.0,0.0
