Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.006644518272425249,0.010526315789473684,0.8770764119601329,0.010526315789473684,0.0
2,0.0,0.0033333333333333335,0.0,0.7666666666666667,0.0,0.0
3,0.0,0.0,0.0,0.6889632107023411,0.0,0.0
4,0.0,0.0,0.0,0.6208053691275168,0.0,0.0
5,0.0,0.0,0.0,0.569023569023569,0.0,0.0
6,0.0,0.0,0.0,0.5202702702702703,0.0,0.0
7,0.0,0.0,0.0,0.48135593220338985,0.0,0.0
8,0.0,0.0,0.0,0.445578231292517,0.0,0.0
9,0.0,0.0,0.0,0.41638225255972694,0.0,0.0
10,0.0,0.0,0.0,0.3904109589041096,0.0,0.0
11,0.0,0.0,0.0,0.36769759450171824,0.0,0.0
12,0.0,0.0,0.0,0.3448275862068966,0.0,0.0
13,0.0,0.0,0.0,0.32525951557093424,0.0,0.0
14,0.0,0.0,0.0,0.3055555555555556,0.0,0.0
15,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
16,0.0,0.0,0.0,0.26573426573426573,0.0,0.0
17,0.0,0.0,0.0,0.24561403508771928,0.0,0.0
18,0.0,0.0,0.0,0.22535211267605634,0.0,0.0
19,0.0,0.0,0.0,0.20848056537102475,0.0,0.0
20,0.0,0.0,0.0,0.19148936170212766,0.0,0.0
21,0.0,0.0,0.0,0.17437722419928825,0.0,0.0
22,0.0,0.0,0.0,0.16071428571428573,0.0,0.0
23,0.0,0.0,0.0,0.14695340501792115,0.0,0.0
24,0.0,0.0,0.0,0.13309352517985612,0.0,0.0
25,0.0,0.0,0.0,0.11913357400722022,0.0,0.0
26,0.0,0.0,0.0,0.11231884057971014,0.0,0.0
27,0.0,0.0,0.0,0.10545454545454545,0.0,0.0
28,0.0,0.0,0.0,0.09854014598540146,0.0,0.0
29,0.0,0.0,0.0,0.09157509157509157,0.0,0.0
30,0.0,0.0,0.0,0.08455882352941177,0.0,0.0
