THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,669,0.05680119581464873,0.0,0.0014947683109118087
2,668,0.02694610778443114,0.0,0.0
3,667,0.022488755622188907,0.0,0.0
4,666,0.01951951951951952,0.0,0.0
5,665,0.016541353383458645,0.0,0.0
6,664,0.01355421686746988,0.0,0.0
7,663,0.010558069381598794,0.0,0.0
8,662,0.006042296072507553,0.0,0.0
9,661,0.0030257186081694403,0.0,0.0
10,660,0.0030303030303030303,0.0,0.0
11,659,0.0015174506828528073,0.0,0.0
12,658,0.0,0.0,0.0
13,657,0.0,0.0,0.0
14,656,0.0,0.0,0.0
15,655,0.0,0.0,0.0
16,654,0.0,0.0,0.0
17,653,0.0,0.0,0.0
18,652,0.0,0.0,0.0
19,651,0.0,0.0,0.0
20,650,0.0,0.0,0.0
21,649,0.0,0.0,0.0
22,648,0.0,0.0,0.0
23,647,0.0,0.0,0.0
24,646,0.0,0.0,0.0
25,645,0.0,0.0,0.0
26,644,0.0,0.0,0.0
27,643,0.0,0.0,0.0
28,642,0.0,0.0,0.0
29,641,0.0,0.0,0.0
30,640,0.0,0.0,0.0
