Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.14333333333333334,0.5475,0.8416666666666667
2,0.09674728940783987,0.3386155129274395,0.8348623853211009
3,0.07512520868113523,0.2353923205342237,0.830550918196995
4,0.06098579782790309,0.17543859649122806,0.8262322472848789
5,0.05351170568561873,0.14297658862876253,0.8219063545150501
6,0.04769874476987448,0.12468619246861924,0.8175732217573222
7,0.04271356783919598,0.11222780569514237,0.8132328308207705
8,0.037720033528918694,0.10393964794635373,0.8088851634534786
9,0.034395973154362415,0.0964765100671141,0.8045302013422819
10,0.03190596137699412,0.08900083963056256,0.8001679261125105
11,0.030252100840336135,0.08235294117647059,0.7966386554621848
12,0.028595458368376788,0.07569386038687972,0.7931034482758621
13,0.026936026936026935,0.06902356902356903,0.7895622895622896
14,0.02527379949452401,0.06402695871946082,0.7860151642796968
15,0.023608768971332208,0.05986509274873524,0.7824620573355818
16,0.021940928270042195,0.05569620253164557,0.7789029535864979
17,0.02027027027027027,0.052364864864864864,0.7753378378378378
18,0.018596787827557058,0.04902789518174133,0.7717666948436179
19,0.01692047377326565,0.04568527918781726,0.7681895093062606
20,0.015241320914479255,0.04318374259102455,0.7646062658763759
21,0.013559322033898305,0.04067796610169491,0.7610169491525424
22,0.011874469889737066,0.03816793893129771,0.7574215436810857
23,0.00933786078098472,0.035653650254668934,0.7538200339558574
24,0.006796941376380629,0.03313508920985556,0.7502124044180118
25,0.005952380952380952,0.031462585034013606,0.7465986394557823
26,0.00425531914893617,0.029787234042553193,0.7429787234042553
27,0.0034071550255536627,0.028109028960817718,0.7393526405451448
28,0.0025575447570332483,0.026427962489343565,0.7365728900255755
29,0.002559726962457338,0.024744027303754267,0.7337883959044369
30,0.0017079419299743809,0.02305721605465414,0.730999146029035
