Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.26,0.675
2,0.12343619683069225,0.6680567139282736
3,0.08013355592654424,0.66110183639399
4,0.059314954051796154,0.6541353383458647
5,0.047658862876254184,0.6471571906354515
6,0.0401673640167364,0.6401673640167364
7,0.032663316582914576,0.6331658291457286
8,0.027661357921207042,0.6261525565800503
9,0.02348993288590604,0.6191275167785235
10,0.020151133501259445,0.6120906801007556
11,0.01764705882352941,0.6050420168067226
12,0.01682085786375105,0.5979814970563498
13,0.015993265993265993,0.5909090909090909
14,0.015164279696714406,0.5838247683235046
15,0.01433389544688027,0.5767284991568297
16,0.01350210970464135,0.569620253164557
17,0.01266891891891892,0.5625
18,0.011834319526627219,0.555367709213863
19,0.010998307952622674,0.5482233502538071
20,0.010160880609652836,0.5427603725656224
21,0.009322033898305085,0.5372881355932203
22,0.008481764206955046,0.5318066157760815
23,0.007640067911714771,0.5263157894736842
24,0.006796941376380629,0.5208156329651656
25,0.005952380952380952,0.5153061224489796
26,0.005106382978723404,0.5097872340425532
27,0.004258943781942078,0.504258943781942
28,0.0034100596760443308,0.49872122762148335
29,0.002559726962457338,0.4931740614334471
30,0.0017079419299743809,0.48761742100768574
