THR,Frames,FPR,TPR,TTD
1,92,0.5760869565217391,-1.0,0
2,91,0.46153846153846156,-1.0,0
3,90,0.4111111111111111,-1.0,0
4,89,0.38202247191011235,-1.0,0
5,88,0.3409090909090909,-1.0,0
6,87,0.2988505747126437,-1.0,0
7,86,0.2558139534883721,-1.0,0
8,85,0.23529411764705882,-1.0,0
9,84,0.21428571428571427,-1.0,0
10,83,0.1927710843373494,-1.0,0
11,82,0.17073170731707318,-1.0,0
12,81,0.14814814814814814,-1.0,0
13,80,0.125,-1.0,0
14,79,0.10126582278481013,-1.0,0
15,78,0.07692307692307693,-1.0,0
16,77,0.05194805194805195,-1.0,0
17,76,0.02631578947368421,-1.0,0
18,75,0.0,-1.0,0
