THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,432,0.3263888888888889,0.17824074074074073,0.011574074074074073
2,431,0.2482598607888631,0.10904872389791183,0.002320185614849188
3,430,0.2069767441860465,0.06976744186046512,0.0
4,429,0.17715617715617715,0.046620046620046623,0.0
5,428,0.14953271028037382,0.028037383177570093,0.0
6,427,0.12646370023419204,0.01873536299765808,0.0
7,426,0.107981220657277,0.011737089201877934,0.0
8,425,0.09647058823529411,0.007058823529411765,0.0
9,424,0.08490566037735849,0.0023584905660377358,0.0
10,423,0.07328605200945626,0.0,0.0
11,422,0.06398104265402843,0.0,0.0
12,421,0.057007125890736345,0.0,0.0
13,420,0.05,0.0,0.0
14,419,0.045346062052505964,0.0,0.0
15,418,0.04066985645933014,0.0,0.0
16,417,0.03597122302158273,0.0,0.0
17,416,0.03125,0.0,0.0
18,415,0.02891566265060241,0.0,0.0
19,414,0.026570048309178744,0.0,0.0
20,413,0.024213075060532687,0.0,0.0
21,412,0.021844660194174758,0.0,0.0
22,411,0.019464720194647202,0.0,0.0
23,410,0.01707317073170732,0.0,0.0
24,409,0.014669926650366748,0.0,0.0
25,408,0.012254901960784314,0.0,0.0
26,407,0.009828009828009828,0.0,0.0
27,406,0.007389162561576354,0.0,0.0
28,405,0.0049382716049382715,0.0,0.0
29,404,0.0024752475247524753,0.0,0.0
30,403,0.0,0.0,0.0
