Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.006644518272425249,0.010526315789473684,0.8770764119601329,0.010526315789473684,0.0
2,0.0,0.0033333333333333335,0.0,0.7666666666666667,0.0,0.0
3,0.0,0.0,0.0,0.6923076923076923,0.0,0.0
4,0.0,0.0,0.0,0.6308724832214765,0.0,0.0
5,0.0,0.0,0.0,0.5858585858585859,0.0,0.0
6,0.0,0.0,0.0,0.5472972972972973,0.0,0.0
7,0.0,0.0,0.0,0.5186440677966102,0.0,0.0
8,0.0,0.0,0.0,0.4931972789115646,0.0,0.0
9,0.0,0.0,0.0,0.4709897610921502,0.0,0.0
10,0.0,0.0,0.0,0.4520547945205479,0.0,0.0
11,0.0,0.0,0.0,0.4329896907216495,0.0,0.0
12,0.0,0.0,0.0,0.41379310344827586,0.0,0.0
13,0.0,0.0,0.0,0.39792387543252594,0.0,0.0
14,0.0,0.0,0.0,0.3819444444444444,0.0,0.0
15,0.0,0.0,0.0,0.36585365853658536,0.0,0.0
16,0.0,0.0,0.0,0.34965034965034963,0.0,0.0
17,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
18,0.0,0.0,0.0,0.31690140845070425,0.0,0.0
19,0.0,0.0,0.0,0.303886925795053,0.0,0.0
20,0.0,0.0,0.0,0.2907801418439716,0.0,0.0
21,0.0,0.0,0.0,0.2775800711743772,0.0,0.0
22,0.0,0.0,0.0,0.26785714285714285,0.0,0.0
23,0.0,0.0,0.0,0.25806451612903225,0.0,0.0
24,0.0,0.0,0.0,0.24820143884892087,0.0,0.0
25,0.0,0.0,0.0,0.23826714801444043,0.0,0.0
26,0.0,0.0,0.0,0.23550724637681159,0.0,0.0
27,0.0,0.0,0.0,0.23272727272727273,0.0,0.0
28,0.0,0.0,0.0,0.22992700729927007,0.0,0.0
29,0.0,0.0,0.0,0.2271062271062271,0.0,0.0
30,0.0,0.0,0.0,0.22426470588235295,0.0,0.0
