THR,Frames,FPR,TPR,TTD
1,229,0.4583333333333333,0.5902439024390244,122
2,228,0.3333333333333333,0.5833333333333334,122
3,227,0.25,0.5763546798029556,122
4,226,0.16666666666666666,0.5693069306930693,122
5,225,0.08333333333333333,0.5621890547263682,122
6,224,0.041666666666666664,0.555,122
7,223,0.0,0.5477386934673367,122
8,222,0.0,0.5353535353535354,322
9,221,0.0,0.5228426395939086,522
10,220,0.0,0.5102040816326531,722
11,219,0.0,0.49743589743589745,19722
12,218,0.0,0.4896907216494845,19922
13,217,0.0,0.48186528497409326,20121
14,216,0.0,0.4739583333333333,20321
15,215,0.0,0.46596858638743455,20521
16,214,0.0,0.45789473684210524,20722
17,213,0.0,0.4497354497354497,20922
18,212,0.0,0.44148936170212766,21122
19,211,0.0,0.43315508021390375,21322
20,210,0.0,0.42473118279569894,21522
21,209,0.0,0.41621621621621624,21722
22,208,0.0,0.4076086956521739,21922
23,207,0.0,0.3989071038251366,22121
24,206,0.0,0.3901098901098901,22321
25,205,0.0,0.3812154696132597,22521
26,204,0.0,0.37222222222222223,22722
27,203,0.0,0.36312849162011174,22922
28,202,0.0,0.3539325842696629,23122
29,201,0.0,0.3446327683615819,23322
30,200,0.0,0.3352272727272727,23522
