Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.0,0.0,0.4583333333333333,0.5902439024390244
2,0.0,0.0,0.3333333333333333,0.5833333333333334
3,0.0,0.0,0.25,0.5763546798029556
4,0.0,0.0,0.16666666666666666,0.5693069306930693
5,0.0,0.0,0.08333333333333333,0.5621890547263682
6,0.0,0.0,0.041666666666666664,0.555
7,0.0,0.0,0.0,0.5477386934673367
8,0.0,0.0,0.0,0.5353535353535354
9,0.0,0.0,0.0,0.5228426395939086
10,0.0,0.0,0.0,0.5102040816326531
11,0.0,0.0,0.0,0.49743589743589745
12,0.0,0.0,0.0,0.4896907216494845
13,0.0,0.0,0.0,0.48186528497409326
14,0.0,0.0,0.0,0.4739583333333333
15,0.0,0.0,0.0,0.46596858638743455
16,0.0,0.0,0.0,0.45789473684210524
17,0.0,0.0,0.0,0.4497354497354497
18,0.0,0.0,0.0,0.44148936170212766
19,0.0,0.0,0.0,0.43315508021390375
20,0.0,0.0,0.0,0.42473118279569894
21,0.0,0.0,0.0,0.41621621621621624
22,0.0,0.0,0.0,0.4076086956521739
23,0.0,0.0,0.0,0.3989071038251366
24,0.0,0.0,0.0,0.3901098901098901
25,0.0,0.0,0.0,0.3812154696132597
26,0.0,0.0,0.0,0.37222222222222223
27,0.0,0.0,0.0,0.36312849162011174
28,0.0,0.0,0.0,0.3539325842696629
29,0.0,0.0,0.0,0.3446327683615819
30,0.0,0.0,0.0,0.3352272727272727
