TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 77792914, -0.04106358, 0.0270072, 0.0136828, -0.002991107, -0.005537965, 0.002924877, 0.01211516, -0.002366724
 77948391, 0.01607954, -0.00112287, 0.01318161, -0.002556584, 0.007332504, -0.0166556, 0.01337897, -0.002668278
 78003431, 0.0007045767, 0.008526216, 0.01451811, -0.002832545, 0.01607954, -0.00112287, 0.01318161, -0.002556584
 78058281, -0.02839575, 0.0351177, 0.01624637, -0.003437434, 0.0007045767, 0.008526216, 0.01451811, -0.002832545
 78113786, -0.007990615, 0.004319658, 0.01727261, -0.003372389, -0.02839575, 0.0351177, 0.01624637, -0.003437434
 78163919, 0.01849965, 0.0222984, 0.01793773, -0.003416789, -0.007990615, 0.004319658, 0.01727261, -0.003372389
 78223246, 0.0005393093, 0.009136386, 0.01596789, -0.003115159, 0.01849965, 0.0222984, 0.01793773, -0.003416789
 78273237, -0.006374045, 0.003356137, 0.01376651, -0.002688028, 0.0005393093, 0.009136386, 0.01596789, -0.003115159
 78328511, -0.03804101, 0.02126499, 0.01409448, -0.002947662, -0.006374045, 0.003356137, 0.01376651, -0.002688028
 78383257, -0.006444944, 0.003321934, 0.0138575, -0.002705167, -0.03804101, 0.02126499, 0.01409448, -0.002947662
 78438866, 0.01540412, 0.008407254, 0.01126321, -0.00210869, -0.006444944, 0.003321934, 0.0138575, -0.002705167
 78488869, 0.003667366, 0.0008205659, 0.009930298, -0.001931014, 0.01540412, 0.008407254, 0.01126321, -0.00210869
 78543204, -0.001443572, -0.003107683, 0.01138364, -0.002216178, 0.003667366, 0.0008205659, 0.009930298, -0.001931014
 78598283, -0.02982262, 0.02450217, 0.01326942, -0.002835487, -0.001443572, -0.003107683, 0.01138364, -0.002216178
 78653203, -0.01256619, -0.001197869, 0.01311453, -0.002536317, -0.02982262, 0.02450217, 0.01326942, -0.002835487
 78708343, 0.009222015, -0.005417218, 0.01315538, -0.002576058, -0.01256619, -0.001197869, 0.01311453, -0.002536317
 78758384, 0.002844275, -0.009920118, 0.01318927, -0.002585268, 0.009222015, -0.005417218, 0.01315538, -0.002576058
 78813813, -0.0016142, -0.003411117, 0.01319826, -0.002567816, 0.002844275, -0.009920118, 0.01318927, -0.002585268
 78868391, -0.03858744, 0.009524643, 0.01350143, -0.002658721, -0.0016142, -0.003411117, 0.01319826, -0.002567816
 78923259, -0.006537173, 0.003405375, 0.01407676, -0.002744876, -0.03858744, 0.009524643, 0.01350143, -0.002658721
 78978394, 0.007885311, -0.0180994, 0.01456572, -0.002894232, -0.006537173, 0.003405375, 0.01407676, -0.002744876
 79028300, -0.001854099, -0.003809304, 0.01472388, -0.002863239, 0.007885311, -0.0180994, 0.01456572, -0.002894232
 79083218, 0.000642553, 0.009451218, 0.01618208, -0.003151035, -0.001854099, -0.003809304, 0.01472388, -0.002863239
 79138847, -0.03546517, -0.003932447, 0.01588124, -0.00298681, 0.000642553, 0.009451218, 0.01618208, -0.003151035
 79193247, -0.006406528, 0.00337667, 0.01384223, -0.002697207, -0.03546517, -0.003932447, 0.01588124, -0.00298681
 79248304, -0.001565493, -0.003130723, 0.01255898, -0.002440478, -0.006406528, 0.00337667, 0.01384223, -0.002697207
 79303268, -0.0070004, 0.003703248, 0.0150292, -0.002926733, -0.001565493, -0.003130723, 0.01255898, -0.002440478
 79353268, 0.0008290042, 0.009844485, 0.01662347, -0.003233457, -0.0070004, 0.003703248, 0.0150292, -0.002926733
 79408384, -0.04784042, 0.0267968, 0.0176455, -0.003637199, 0.0008290042, 0.009844485, 0.01662347, -0.003233457
 79463813, -0.01435774, 0.01342851, 0.01805189, -0.00354573, -0.04784042, 0.0267968, 0.0176455, -0.003637199
 79518276, 0.004039817, -0.01376109, 0.01831773, -0.003576205, -0.01435774, 0.01342851, 0.01805189, -0.00354573
 79573251, 0.01221043, -0.00705677, 0.0172675, -0.003368455, 0.004039817, -0.01376109, 0.01831773, -0.003576205
 79623249, 0.000785152, 0.009854505, 0.01642103, -0.003191767, 0.01221043, -0.00705677, 0.0172675, -0.003368455
 79678393, -0.02819376, 0.03476334, 0.01601152, -0.003381998, 0.000785152, 0.009854505, 0.01642103, -0.003191767
 79733266, -0.006390266, 0.003502849, 0.01390937, -0.002705634, -0.02819376, 0.03476334, 0.01601152, -0.003381998
 79789006, 0.0004843522, 0.008155296, 0.0139851, -0.002717441, -0.006390266, 0.003502849, 0.01390937, -0.002705634
 79843249, 0.003104446, -0.01132454, 0.01521261, -0.002969033, 0.0004843522, 0.008155296, 0.0139851, -0.002717441
 79895951, -0.01294431, 0.01195529, 0.01584244, -0.003113229, 0.003104446, -0.01132454, 0.01521261, -0.002969033
 79951196, -0.05224409, 0.01944161, 0.01641853, -0.003319971, -0.01294431, 0.01195529, 0.01584244, -0.003113229
 80005822, -0.007823635, 0.004145829, 0.01683687, -0.003272096, -0.05224409, 0.01944161, 0.01641853, -0.003319971
 80060913, 0.003413284, -0.0124034, 0.01631514, -0.003182223, -0.007823635, 0.004145829, 0.01683687, -0.003272096
 80110805, 0.005784716, 0.001326579, 0.01586868, -0.003074046, 0.003413284, -0.0124034, 0.01631514, -0.003182223
 80165998, -0.007123258, 0.003744592, 0.01518876, -0.002950381, 0.005784716, 0.001326579, 0.01586868, -0.003074046
