TimeUS,CAN,CAE,CAD,CAe
 77792914, -0.01770824, -0.01191778, -0.001237644, 0.01132681
 77948391, -0.01491506, -0.01038349, -0.001552571, 0.009540334
 78003431, -0.01635562, -0.01072321, -0.001819062, 0.01022807
 78058281, -0.01610526, -0.01028943, -0.001435742, 0.01022919
 78113786, -0.01590614, -0.01121386, -0.0009570229, 0.01022807
 78163919, -0.01435527, -0.009431493, -0.001467701, 0.009301357
 78223246, -0.0176098, -0.011326, -0.001800892, 0.01115627
 78273237, -0.01458382, -0.009350013, -0.001509852, 0.009298382
 78328511, -0.01623412, -0.01047207, -0.00205398, 0.01022919
 78383257, -0.01597844, -0.01046969, -0.001571775, 0.01022807
 78438866, -0.01579708, -0.0108557, -0.001057769, 0.01023012
 78488869, -0.01497108, -0.01010836, -0.001505812, 0.009297265
 78543204, -0.01576886, -0.01072623, -0.002083841, 0.01022881
 78598283, -0.01627468, -0.01094221, -0.001185715, 0.01022844
 78653203, -0.01588931, -0.01088067, -0.001305216, 0.01022937
 78708343, -0.01599011, -0.01085328, -0.0008248287, 0.01022788
 78758384, -0.01424707, -0.009596575, -0.0005742114, 0.009298753
 78813813, -0.0161024, -0.01087032, -0.001498444, 0.01022863
 78868391, -0.01643606, -0.0111225, -0.00157836, 0.01022863
 78923259, -0.01654256, -0.01055209, -0.001747621, 0.01022863
 78978394, -0.01583833, -0.01064888, -0.001551343, 0.01022882
 79028300, -0.01481174, -0.009316822, -0.001579846, 0.009300614
 79083218, -0.01633919, -0.0105553, -0.002106881, 0.01022863
 79138847, -0.01559914, -0.01047128, -0.000900516, 0.01022863
 79193247, -0.01613863, -0.01109769, -0.001656335, 0.01022807
 79248304, -0.01643783, -0.01050337, -0.001570687, 0.01022714
 79303268, -0.01632853, -0.0107901, -0.0009810475, 0.01022863
 79353268, -0.01463496, -0.009977031, -0.001397866, 0.009300056
 79408384, -0.01569512, -0.01105072, -0.001420487, 0.01022844
 79463813, -0.01573984, -0.01081532, -0.001372153, 0.01022751
 79518276, -0.01630701, -0.01113923, -0.001499333, 0.01022881
 79573251, -0.01599115, -0.0107178, -0.001707501, 0.01022844
 79623249, -0.01487684, -0.009774224, -0.001824273, 0.009300241
 79678393, -0.01667428, -0.01087892, -0.001857022, 0.01022807
 79733266, -0.01552408, -0.01027487, -0.001546064, 0.01022789
 79789006, -0.01598976, -0.01070203, -0.001544016, 0.01022844
