TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 46330723, 0.055, 0.074, 0.057, 1.178, -0.058, -0.01, -0.059, 1.176
 46511798, 0.019, -0.007, -0.119, 1.179, 0.055, 0.074, 0.057, 1.178
 46711766, 0.003, -0.054, -0.019, 1.184, 0.019, -0.007, -0.119, 1.179
 46911784, 0.074, -0.022, 0.022, 1.189, 0.003, -0.054, -0.019, 1.184
 47111758, 0, -0.012, -0.005, 1.192, 0.074, -0.022, 0.022, 1.189
 47311758, -0.011, 0.017, -0.007, 1.195, 0, -0.012, -0.005, 1.192
 47511790, -0.017, 0.024, 0.041, 1.198, -0.011, 0.017, -0.007, 1.195
 47711765, -0.034, 0.008, -0.027, 1.199, -0.017, 0.024, 0.041, 1.198
 47911799, -0.031, 0.051, -0.023, 1.2, -0.034, 0.008, -0.027, 1.199
 48111943, -0.06500001, -0.026, 0.062, 1.202, -0.031, 0.051, -0.023, 1.2
 48311774, 0.029, -0.011, 0.083, 1.203, -0.06500001, -0.026, 0.062, 1.202
 48511763, 0.03, 0.024, 0.017, 1.204, 0.029, -0.011, 0.083, 1.203
 48711817, -0.012, 0.008, -0.067, 1.205, 0.03, 0.024, 0.017, 1.204
 48911807, 0, -0.036, 0.09, 1.207, -0.012, 0.008, -0.067, 1.205
 49111865, -0.012, -0.011, -0.066, 1.208, 0, -0.036, 0.09, 1.207
 49311868, -0.018, 0.037, -0.034, 1.21, -0.012, -0.011, -0.066, 1.208
 49511789, -0.022, -0.011, 0.001, 1.214, -0.018, 0.037, -0.034, 1.21
 49711795, 0.034, -0.008, -0.048, 1.218, -0.022, -0.011, 0.001, 1.214
 49911999, -0.003, 0.002, 0.003, 1.22, 0.034, -0.008, -0.048, 1.218
 50111907, -0.097, 0.046, -0.07, 1.221, -0.003, 0.002, 0.003, 1.22
 50311789, -0.018, -0.081, 0.002, 1.222, -0.097, 0.046, -0.07, 1.221
 50511855, 0.013, 0.035, -0.087, 1.222, -0.018, -0.081, 0.002, 1.222
 50711790, 0.194, -0.136, -0.166, 1.224, 0.013, 0.035, -0.087, 1.222
 50911847, 0.039, -0.082, 0.008, 1.226, 0.194, -0.136, -0.166, 1.224
 51111796, -0.074, 0.078, 0.17, 1.227, 0.039, -0.082, 0.008, 1.226
 51311808, -0.038, 0.014, 0.085, 1.229, -0.074, 0.078, 0.17, 1.227
 51511827, 0.01, -0.035, 0.028, 1.229, -0.038, 0.014, 0.085, 1.229
 51711930, 0.018, 0.031, -0.013, 1.232, 0.01, -0.035, 0.028, 1.229
 51911821, 0.04, -0.034, 0.046, 1.234, 0.018, 0.031, -0.013, 1.232
 52111797, -0.059, 0.047, 0, 1.236, 0.04, -0.034, 0.046, 1.234
