TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 77970817, -0.09434858, -0.06347731, -0.009688165, 0.07582594, -0.03315748, -0.02286447, -0.005135719, 0.03693056, -0.831572, 0.5543402, 70.59255
 78173267, -0.09431577, -0.06345867, -0.01080413, 0.07505713, -0.03344353, -0.02257966, -0.005597632, 0.03765977, -0.8315108, 0.5544321, 127.0487
 78373270, -0.09401231, -0.06179391, -0.01240978, 0.07532049, -0.03366056, -0.02201345, -0.004289142, 0.03719519, -0.8314106, 0.5545825, 127.4944
 78573221, -0.09404494, -0.06275884, -0.01013073, 0.07485685, -0.03361889, -0.0222096, -0.003507331, 0.03719482, -0.8314062, 0.5545917, 126.7096
 78773244, -0.09371704, -0.06283452, -0.007130277, 0.07485478, -0.03308053, -0.02285182, -0.001924116, 0.03719502, -0.8313366, 0.5546958, 126.7061
 78973280, -0.09414916, -0.06313325, -0.007971215, 0.07485517, -0.03301782, -0.02220116, -0.003976179, 0.03719501, -0.8312848, 0.5547731, 126.7068
 79173248, -0.09346383, -0.0620323, -0.009882823, 0.07485854, -0.03285578, -0.023914, -0.003687388, 0.03719539, -0.8312297, 0.554858, 126.7124
 79373256, -0.09426971, -0.06443436, -0.008720489, 0.07485888, -0.03319755, -0.02225133, -0.001493048, 0.03719576, -0.8311933, 0.5549172, 126.7131
 79573205, -0.0930067, -0.06352624, -0.00719397, 0.07485592, -0.03338971, -0.02148642, -0.003540842, 0.0371939, -0.8311512, 0.5549823, 126.708
 79773256, -0.09408718, -0.06148674, -0.01024443, 0.07485683, -0.03296757, -0.02249867, -0.00267737, 0.03719576, -0.8310728, 0.5550981, 126.7096
 79976726, -0.09419563, -0.06440582, -0.009527278, 0.07532382, -0.03431639, -0.02475465, -0.0009550087, 0.03765976, -0.8310547, 0.5551245, 127.5001
 80176767, -0.09457362, -0.06431403, -0.005445011, 0.07532216, -0.03486146, -0.02243586, -0.003588725, 0.03719464, -0.8308436, 0.5554489, 127.4972
 80376901, -0.09515248, -0.06116134, -0.01193554, 0.07485591, -0.02531271, -0.01377235, -0.008645728, 0.03719632, -0.83089, 0.5553759, 126.708
 80576835, -0.0866449, -0.05423537, -0.01561203, 0.07485983, -0.03011539, -0.02104197, -0.005823993, 0.03719371, -0.8308265, 0.5554675, 126.7146
 80776803, -0.08896501, -0.06083867, -0.02269991, 0.07485703, -0.0137417, -0.004856867, 0.04047168, 0.03719632, -0.8309307, 0.5553622, 126.7099
 80976890, -0.07536794, -0.0487077, 0.0304276, 0.07485706, -0.05049464, -0.05464821, -0.007970107, 0.03719501, -0.8306258, 0.5558046, 126.7099
 81176752, -0.1134016, -0.09293044, -0.0195575, 0.0748572, -0.03820426, -0.01169875, -0.02119119, 0.03719501, -0.8306753, 0.5557029, 126.7103
 81376744, -0.09764919, -0.0554908, -0.02116842, 0.07485498, -0.02727684, -0.03467485, 0.005035189, 0.03719521, -0.83078, 0.5555688, 126.7065
 81576776, -0.08768735, -0.07612112, 7.84127E-06, 0.07485498, -0.03252622, -0.004106838, 0.00356168, 0.03719501, -0.8307344, 0.5556207, 126.7065
 81776790, -0.09331328, -0.04117291, -0.006169684, 0.07485535, -0.03556892, -0.01129477, 0.0006844262, 0.03719817, -0.8305851, 0.5558499, 126.7071
 81976698, -0.09522256, -0.05626153, -0.004427018, 0.0748548, -0.02635305, -0.02380361, 0.003410235, 0.03719223, -0.8306854, 0.5557154, 126.7061
 82176745, -0.09106186, -0.06521776, -0.00486163, 0.07485463, -0.03714158, -0.02092657, -0.007742805, 0.03719501, -0.8305981, 0.5558294, 126.7058
 82376822, -0.09897248, -0.06387537, -0.01504311, 0.07485518, -0.0405446, -0.03562227, -0.01161079, 0.0371952, -0.8306646, 0.5557415, 126.7068
 82576727, -0.09844369, -0.07283373, -0.01857434, 0.07485442, -0.02847013, -0.01398608, -0.004761567, 0.03719427, -0.8306578, 0.555754, 126.7055
 82776939, -0.08836791, -0.05822111, -0.01407677, 0.07485516, -0.03476235, -0.02878234, -0.004079066, 0.03719502, -0.830587, 0.5558776, 126.7068
 82976798, -0.09588484, -0.07103403, -0.01184986, 0.07485928, -0.02985179, -0.01244662, 0.002104668, 0.03719502, -0.8306514, 0.5558029, 126.7137
 83176774, -0.08850207, -0.05223783, -0.006814645, 0.07485555, -0.004114923, -0.03048203, 0.01499546, 0.03719502, -0.8302886, 0.5563391, 126.7074
 83376779, -0.05258582, -0.06637568, 0.01028465, 0.07485722, -0.007536078, -0.04270616, -0.0006258468, 0.03719502, -0.8307282, 0.5556868, 126.7103
 83576765, -0.06113969, -0.06217998, -0.0163507, 0.07485943, -0.06894007, 0.05287613, -0.02446494, 0.03719501, -0.8289512, 0.5578015, 126.714
 83776839, -0.1590235, 0.0801349, -0.1940996, 0.07485499, 0.02332662, -0.07947549, 0.05953196, 0.03719501, -0.8225647, 0.5652307, 126.7065
 83976709, -0.173096, -0.01917186, -0.1059102, 0.07485662, -0.2447729, 0.01995199, -0.1162574, 0.03719502, -0.8304039, 0.5518329, 126.7093
 84176755, -0.4333277, 0.006923676, -0.2375228, 0.07485553, -0.228323, 0.1112025, -0.3329894, 0.03719501, -0.8358638, 0.5482599, 126.7074
 84376839, -0.2593375, -0.002336409, -0.4510379, 0.07485498, -0.008855734, -0.02879038, -0.1584202, 0.0371965, -0.8377455, 0.5439574, 126.7065
 84576984, 0.1201337, -0.2001375, -0.2530538, 0.07485946, 0.1861324, -0.1599797, 0.1293662, 0.03719372, -0.8347019, 0.537581, 126.714
 84776969, 0.4041297, -0.3693669, 0.06292681, 0.07485572, 0.2208311, -0.2092197, 0.270793, 0.03719539, -0.8305753, 0.5317838, 126.7077
 84976768, 0.4716359, -0.4258688, 0.1720934, 0.07485815, 0.1431891, -0.1643533, 0.1638869, 0.03719446, -0.8300232, 0.5329983, 126.7118
 85176767, 0.3801079, -0.3078328, 0.1662811, 0.07485516, 0.01556411, -0.04145592, -0.1142372, 0.03719502, -0.8277735, 0.549405, 126.7068
 85376785, 0.1403936, -0.07104652, -0.08466974, 0.07485555, -0.02606629, 0.1409815, -0.1561152, 0.03719501, -0.8247865, 0.5653511, 126.7074
 85576739, -0.08232601, 0.2491751, -0.07298376, 0.07485498, -0.0236527, 0.1133567, 0.08288266, 0.03719502, -0.8196736, 0.5629352, 126.7065
 85776856, -0.2030504, 0.3629167, 0.1601934, 0.07485498, 0.03857543, 0.05639566, 0.2094724, 0.03719501, -0.8164118, 0.5585897, 126.7065
 85976741, -0.1479893, 0.3522404, 0.2909711, 0.07485554, -0.1110999, 0.03973915, 0.1072553, 0.03719538, -0.8178155, 0.5548869, 126.7074
 86176766, -0.2534725, 0.3016004, 0.1393157, 0.07485498, -0.2040026, 0.211907, -0.1293671, 0.03719558, -0.8260942, 0.551238, 126.7065
 86376890, -0.2648827, 0.3428274, -0.1849571, 0.07485463, -0.07631173, 0.157348, -0.253511, 0.03719408, -0.8355536, 0.5486076, 126.7058
 86576744, -0.1380796, 0.1293234, -0.2453386, 0.07485905, 0.04381057, 0.03339017, -0.04773181, 0.03719502, -0.8414053, 0.5400692, 126.7134
 86776763, -0.0588107, -0.09282134, -0.05815466, 0.07485553, 0.08979524, -0.1193765, 0.1266386, 0.03719557, -0.8395918, 0.5411372, 126.7074
 86976719, -0.0336345, -0.278661, 0.1266338, 0.07485703, -0.06118648, -0.1860412, 0.1060228, 0.0371965, -0.8386186, 0.5423561, 126.7099
 87176831, -0.1728173, -0.3407902, 0.08689269, 0.07485498, -0.1732791, -0.1483368, -0.01886792, 0.03719353, -0.8363375, 0.5460423, 126.7065
 87376765, -0.2452321, -0.3052707, -0.06912257, 0.07485481, -0.1700732, -0.03107092, -0.1974038, 0.03719445, -0.8352329, 0.5473976, 126.7061
 87576743, -0.1983839, -0.1993585, -0.2179555, 0.07485758, -0.07289874, 0.01883217, -0.1260516, 0.03719502, -0.8364843, 0.5447178, 126.7109
 87776778, -0.1024086, -0.1511134, -0.1054612, 0.07485536, 0.03521776, -0.1173746, 0.04597615, 0.0371952, -0.8362584, 0.5451356, 126.7071
 87977036, -0.06219148, -0.2470123, 0.03760631, 0.074855, 0.08338558, -0.1606819, 0.1652433, 0.03719483, -0.8364475, 0.5470163, 126.7065
 88177391, -0.05430623, -0.2128076, 0.2010963, 0.07485572, -0.03819961, -0.1257075, 0.1847949, 0.03719501, -0.8349965, 0.550252, 126.7077
 88377236, -0.1655384, -0.1153339, 0.1590138, 0.07485553, -0.1808668, 0.1212978, -0.149123, 0.03719557, -0.8359013, 0.548358, 126.7074
 88577221, -0.3212179, 0.1077545, -0.1188264, 0.07485499, -0.1619963, 0.09322327, -0.07664867, 0.03719465, -0.8376781, 0.5453482, 126.7065
 88777469, -0.3398282, 0.01689246, -0.04750928, 0.07485499, -0.001948313, -0.1385004, 0.1313575, 0.03719483, -0.8382667, 0.5448001, 126.7065
 88977399, -0.1597741, -0.2687329, 0.1282855, 0.07485887, -0.04864404, -0.1734836, 0.1543204, 0.03719502, -0.8379693, 0.5426115, 126.7131
 89177209, -0.1331016, -0.2796552, 0.1333416, 0.07485963, -0.1406433, -0.0140476, -0.1171311, 0.03719557, -0.8340147, 0.5508449, 126.7143
 89377261, -0.2143983, -0.1044772, -0.04877748, 0.07485499, -0.06137739, 0.04645003, -0.04178038, 0.03719502, -0.835728, 0.5491259, 126.7065
 89577191, -0.212939, -0.06076566, -0.01993327, 0.07485906, 0.06171994, -0.1649253, 0.222558, 0.03719557, -0.8339615, 0.5517783, 126.7134
 89777262, -0.1376135, -0.2622224, 0.2125687, 0.0748544, -0.158057, -0.08500442, -0.04289241, 0.03719409, -0.832784, 0.5534133, 126.7055
 89977424, -0.3600079, -0.1925125, -0.05224591, 0.07485405, -0.2429341, 0.06903744, -0.1095261, 0.03719501, -0.8327301, 0.5535675, 126.7049
 90177218, -0.4442298, -0.07323489, -0.06263913, 0.07485536, 0.01218623, -0.1045274, 0.06486412, 0.03719632, -0.8293227, 0.5587205, 126.7071
 90377247, -0.1931989, -0.2915114, 0.05239134, 0.07485592, -0.1165265, -0.1870991, 0.06585122, 0.03719353, -0.8304147, 0.556335, 126.708
 90577191, -0.2123627, -0.3663999, 0.08545658, 0.0748548, -0.1273978, 0.02456241, -0.1815949, 0.0371952, -0.8325154, 0.552547, 126.7061
 90777267, -0.09149064, -0.1223769, -0.2074088, 0.07485552, 0.08697342, -0.0220928, 0.009254036, 0.03719614, -0.8393165, 0.5409517, 126.7074
 90977205, 0.1637886, -0.1041185, 0.006375236, 0.0748576, 0.1815194, -0.1099988, 0.1323446, 0.03719371, -0.8398843, 0.5406527, 126.707
 91177214, 0.2802895, -0.08215077, 0.0877984, 0.07485425, 0.03691689, 0.03140244, 0.0004720034, 0.03719502, -0.840049, 0.5424892, 126.6973
 91377235, 0.1438731, 0.1018582, 0.07154343, 0.07485499, -0.04006261, 0.1265198, -0.1596205, 0.03719539, -0.8413481, 0.5404232, 126.6986
 91577196, 0.02862705, 0.172525, -0.05587325, 0.07485496, 0.09524588, -0.08980043, 0.1017173, 0.03719464, -0.8430267, 0.5378659, 126.6986
 91777471, 0.07075673, -0.0575397, 0.210875, 0.07485703, 0.04160958, 0.008128565, 0.1211961, 0.0371952, -0.8423919, 0.5386159, 126.702
 91977185, -0.02912375, -0.001054353, 0.1596366, 0.07485776, -0.1046192, 0.06176597, -0.0219877, 0.03719556, -0.8434387, 0.5365788, 126.7071
 92177227, -0.2065816, 0.06553603, 0.03098344, 0.07485739, 0.01628495, -0.04084242, 0.03056458, 0.03719427, -0.8411968, 0.5400496, 126.7106
 92377235, -0.10553, -0.02314121, 0.009172352, 0.07485425, -0.02820257, 0.01306585, 0.02578871, 0.03719688, -0.8374258, 0.5445316, 126.7052
 92577209, -0.04884394, 0.05509282, 0.03437749, 0.0748589, -0.0908784, 0.09877674, -0.1336553, 0.0371939, -0.8391011, 0.542681, 126.7131
 92777271, -0.02168041, 0.1878739, -0.1287213, 0.07485369, 0.1052836, -0.005286257, 0.04918893, 0.03719595, -0.8371885, 0.5468559, 126.7043
 92977380, 0.1987511, 0.06031826, 0.006414274, 0.07485721, 0.06570096, 0.0605014, 0.004340811, 0.03719334, -0.8372575, 0.5468083, 126.7103
 93177419, 0.1459849, 0.09595215, -0.04259563, 0.07485518, -0.02007793, 0.05272289, -0.1078527, 0.03719576, -0.8343139, 0.5512599, 126.7068
 93377239, -0.001039567, 0.09906565, -0.1245096, 0.07485497, 0.06250252, -0.05189794, 0.08032639, 0.03719427, -0.8270765, 0.5616685, 126.7065
 93577293, -0.01943413, -0.02486297, 0.03234164, 0.07485721, -0.07958601, 0.07771122, -0.1186634, 0.03719502, -0.8167619, 0.5758139, 126.7103
 93777272, -0.2012876, 0.05437057, -0.1425533, 0.07485499, -0.08472188, -0.03124466, -0.097679, 0.03719501, -0.8132483, 0.580849, 126.7065
 93978293, -0.245642, -0.06691306, -0.1437663, 0.07532066, -0.09962795, -0.05169054, -0.05544534, 0.03765866, -0.8133038, 0.5810289, 127.4947
 94178405, -0.2737823, -0.1086692, -0.06436231, 0.07532234, -0.1635194, 0.02382479, -0.1126316, 0.03720078, -0.8237184, 0.5659249, 127.4976
 94358402, -0.3193335, -0.02840677, -0.09326008, 0.07113808, -0.01586615, -0.07614569, 0.1023816, 0.03347161, -0.8487146, 0.5281336, 120.4149
 94578303, -0.2393178, -0.1333177, 0.115771, 0.07485053, -0.1226308, -0.01375727, -0.03432093, 0.04091247, -0.8797253, 0.4749847, 126.6989
 94778449, -0.3220031, -0.08620293, -0.07579958, 0.07857578, -0.2078719, 0.07544582, -0.09757834, 0.03719501, -0.9056854, 0.4229958, 133.0046
 94978396, -0.3687162, 0.03347761, -0.08570273, 0.07485964, -0.04984428, -0.09032114, 0.1678785, 0.03719594, -0.932333, 0.3614151, 126.7105
 95178391, -0.2098293, -0.1243721, 0.153656, 0.07486111, -0.03232814, -0.07162195, 0.0746491, 0.03719948, -0.9548088, 0.2972108, 126.7089
 95378409, -0.1812738, -0.1079121, 0.08958886, 0.07485572, -0.1368022, 0.05768663, -0.07327778, 0.0371898, -0.9747252, 0.2232862, 126.6998
 95578422, -0.2422918, 0.05065759, -0.07068768, 0.07485721, -0.04512803, -0.08783071, 0.05099165, 0.03719482, -0.989004, 0.1478667, 126.7023
 95778405, -0.1215507, 0.01589818, 0.02419868, 0.07486039, 0.004167312, 0.09636545, 0.02721395, 0.03719538, -0.9968552, 0.07579038, 126.7077
 95978394, -0.0260927, 0.2576583, -0.01424487, 0.07486092, -0.04182753, 0.2530648, -0.1475573, 0.03719464, -0.9983754, 0.0003819801, 126.7124
 96178526, -0.01826089, 0.4836541, -0.1599863, 0.07485889, -0.002710207, 0.04454373, 0.09103125, 0.0371952, -0.9926836, -0.08597215, 126.7131
 96378511, 0.03326615, 0.3786204, 0.06158684, 0.07485666, 0.05170076, 0.163358, 0.05954109, 0.03719501, -0.979225, -0.166549, 126.7093
 96578393, 0.06628314, 0.5016611, 0.1018244, 0.07486577, -0.02891529, 0.2975876, -0.02503649, 0.03719501, -0.9630308, -0.2437017, 126.7247
 96778417, -0.03754438, 0.6324355, 0.0001647025, 0.07485869, -0.00686914, 0.03916642, 0.1899857, 0.03719502, -0.9604058, -0.267362, 126.7128
 96978386, -0.09331629, 0.3016386, 0.1781172, 0.07485815, -0.04457194, 0.1882367, -0.1009917, 0.03719483, -0.9731985, -0.2273313, 129.8796
 97178404, -0.2001273, 0.3155333, -0.10517, 0.0748563, -0.04807228, 0.05835688, -0.01470493, 0.03719781, -0.9791897, -0.2024618, 126.7087
 97378626, -0.2178696, 0.08402216, -0.02885367, 0.07485777, -0.09367359, -0.04210009, 0.06253105, 0.0371924, -0.9757849, -0.2078617, 126.7112
 97558914, -0.2348847, -0.06421359, 0.04881903, 0.07113806, -0.08964483, 0.04629197, -0.07443515, 0.03347681, -0.9732806, -0.2090569, 120.4149
 97778394, -0.2513409, -0.04484903, -0.08156558, 0.07485759, -0.136307, -0.1212104, -0.008965218, 0.04091712, -0.9671358, -0.2263497, 125.127
 97978385, -0.2932146, -0.2289363, -0.03541895, 0.07857522, -0.05575558, -0.08496606, 0.02070428, 0.0371926, -0.9609854, -0.2335072, 132.9996
 98178336, -0.2711384, -0.2399148, -0.09437428, 0.07485553, -0.1642935, 0.01575501, -0.1815058, 0.03719892, -0.9597207, -0.2353426, 126.6995
 98378408, -0.3616429, -0.1724224, -0.2396307, 0.07485534, -0.07022154, -0.1969582, 0.1092956, 0.0371926, -0.9577295, -0.2453046, 126.6992
 98578391, -0.2583672, -0.3068506, 0.1141525, 0.07485145, -0.06819194, -0.05350201, 0.02936666, 0.03719334, -0.9583708, -0.2540601, 126.6926
 98778401, -0.2906528, -0.1657154, 0.08875041, 0.07485329, -0.1386423, 0.03664529, -0.04444711, 0.03719706, -0.9569294, -0.2516222, 126.6957
