Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.9714285714285714,0.9714285714285714,0.02857142857142857,0.0,0.0,0.0
2,0.8857142857142857,0.9705882352941176,0.0,0.0,0.0,0.0
3,0.8285714285714286,0.8787878787878788,0.0,0.0,0.0,0.0
4,0.6,0.71875,0.0,0.0,0.0,0.0
5,0.4857142857142857,0.6129032258064516,0.0,0.0,0.0,0.0
6,0.45714285714285713,0.5333333333333333,0.0,0.0,0.0,0.0
7,0.42857142857142855,0.4482758620689655,0.0,0.0,0.0,0.0
8,0.34285714285714286,0.39285714285714285,0.0,0.0,0.0,0.0
9,0.3142857142857143,0.4074074074074074,0.0,0.0,0.0,0.0
10,0.2571428571428571,0.4230769230769231,0.0,0.0,0.0,0.0
11,0.22857142857142856,0.36,0.0,0.0,0.0,0.0
12,0.2,0.375,0.0,0.0,0.0,0.0
13,0.2,0.391304347826087,0.0,0.0,0.0,0.0
14,0.17142857142857143,0.36363636363636365,0.0,0.0,0.0,0.0
15,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0
16,0.14285714285714285,0.35,0.0,0.0,0.0,0.0
17,0.11428571428571428,0.3684210526315789,0.0,0.0,0.0,0.0
18,0.11428571428571428,0.2777777777777778,0.0,0.0,0.0,0.0
19,0.11428571428571428,0.17647058823529413,0.0,0.0,0.0,0.0
20,0.11428571428571428,0.1875,0.0,0.0,0.0,0.0
21,0.08571428571428572,0.2,0.0,0.0,0.0,0.0
22,0.08571428571428572,0.14285714285714285,0.0,0.0,0.0,0.0
23,0.08571428571428572,0.15384615384615385,0.0,0.0,0.0,0.0
24,0.08571428571428572,0.16666666666666666,0.0,0.0,0.0,0.0
25,0.05714285714285714,0.0,0.0,0.0,0.0,0.0
26,0.05714285714285714,0.0,0.0,0.0,0.0,0.0
27,0.05714285714285714,0.0,0.0,0.0,0.0,0.0
28,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
29,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
30,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
