THR,Frames,FPR,TPR,TTD
1,813,0.6545698924731183,0.9710144927536232,209
2,812,0.33198924731182794,0.7352941176470589,3261
3,811,0.27419354838709675,0.7014925373134329,4061
4,810,0.2217741935483871,0.6818181818181818,4261
5,809,0.20295698924731181,0.6615384615384615,4461
6,808,0.1881720430107527,0.640625,4661
7,807,0.1774193548387097,0.6190476190476191,4861
8,806,0.1693548387096774,0.5967741935483871,5061
9,805,0.1639784946236559,0.5737704918032787,5261
10,804,0.1586021505376344,0.55,5461
11,803,0.1532258064516129,0.5254237288135594,5661
12,802,0.1478494623655914,0.5,5861
13,801,0.1424731182795699,0.47368421052631576,6061
14,800,0.13709677419354838,0.44642857142857145,6261
15,799,0.13172043010752688,0.41818181818181815,6461
16,798,0.12634408602150538,0.3888888888888889,6661
17,797,0.12231182795698925,0.3584905660377358,6861
18,796,0.11827956989247312,0.3269230769230769,7039
19,795,0.11424731182795698,0.29411764705882354,7239
20,794,0.11021505376344086,0.26,7461
21,793,0.10618279569892473,0.22448979591836735,7639
22,792,0.10349462365591398,0.1875,7861
23,791,0.10080645161290322,0.14893617021276595,8039
24,790,0.09811827956989247,0.10869565217391304,8239
25,789,0.09543010752688172,0.06666666666666667,8439
26,788,0.09274193548387097,0.022727272727272728,8639
27,787,0.09005376344086022,0.0,0
28,786,0.08736559139784947,0.0,0
29,785,0.08602150537634409,0.0,0
30,784,0.0846774193548387,0.0,0
