Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR),,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR),,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.276276276,0.236413043,0.009009009,0.214673913,0,0.005434783,,0.47311828,0.492753623,0.10483871,0.768115942,0.009408602,0,,0.22983871,0.263157895,0,0.592105263,0,0
2,0.06006006,0,0.006006006,0.171662125,0,0,,0.073924731,0,0.071236559,0.735294118,0.004032258,0,,0.052419355,0,0,0.56,0,0
3,0.021021021,0,0.003003003,0.142076503,0,0,,0.044354839,0,0.052419355,0.701492537,0.001344086,0,,0.016129032,0,0,0.540540541,0,0
4,0.009009009,0,0,0.120547945,0,0,,0.01344086,0,0.034946237,0.681818182,0,0,,0.004032258,0,0,0.520547945,0,0
5,0.003003003,0,0,0.115384615,0,0,,0.005376344,0,0.02688172,0.661538462,0,0,,0,0,0,0.5,0,0
6,0,0,0,0.110192837,0,0,,0.001344086,0,0.02016129,0.640625,0,0,,0,0,0,0.478873239,0,0
7,0,0,0,0.104972376,0,0,,0,0,0.016129032,0.619047619,0,0,,0,0,0,0.457142857,0,0
8,0,0,0,0.099722992,0,0,,0,0,0.01344086,0.596774194,0,0,,0,0,0,0.434782609,0,0
9,0,0,0,0.094444444,0,0,,0,0,0.012096774,0.573770492,0,0,,0,0,0,0.411764706,0,0
10,0,0,0,0.08913649,0,0,,0,0,0.010752688,0.55,0,0,,0,0,0,0.388059701,0,0
11,0,0,0,0.083798883,0,0,,0,0,0.009408602,0.525423729,0,0,,0,0,0,0.363636364,0,0
12,0,0,0,0.078431373,0,0,,0,0,0.008064516,0.5,0,0,,0,0,0,0.338461538,0,0
13,0,0,0,0.070224719,0,0,,0,0,0.00672043,0.473684211,0,0,,0,0,0,0.3125,0,0
14,0,0,0,0.061971831,0,0,,0,0,0.005376344,0.446428571,0,0,,0,0,0,0.285714286,0,0
15,0,0,0,0.056497175,0,0,,0,0,0.004032258,0.418181818,0,0,,0,0,0,0.258064516,0,0
16,0,0,0,0.050991501,0,0,,0,0,0.002688172,0.388888889,0,0,,0,0,0,0.229508197,0,0
17,0,0,0,0.045454545,0,0,,0,0,0.001344086,0.358490566,0,0,,0,0,0,0.2,0,0
18,0,0,0,0.03988604,0,0,,0,0,0,0.326923077,0,0,,0,0,0,0.169491525,0,0
19,0,0,0,0.034285714,0,0,,0,0,0,0.294117647,0,0,,0,0,0,0.137931034,0,0
20,0,0,0,0.028653295,0,0,,0,0,0,0.26,0,0,,0,0,0,0.105263158,0,0
21,0,0,0,0.022988506,0,0,,0,0,0,0.224489796,0,0,,0,0,0,0.071428571,0,0
22,0,0,0,0.017291066,0,0,,0,0,0,0.1875,0,0,,0,0,0,0.036363636,0,0
23,0,0,0,0.011560694,0,0,,0,0,0,0.14893617,0,0,,0,0,0,0,0,0
24,0,0,0,0.005797101,0,0,,0,0,0,0.108695652,0,0,,0,0,0,0,0,0
25,0,0,0,0,0,0,,0,0,0,0.066666667,0,0,,0,0,0,0,0,0
26,0,0,0,0,0,0,,0,0,0,0.022727273,0,0,,0,0,0,0,0,0
27,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
28,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
29,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
30,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,10cm,,,,,,,50cm,,,,,,,100cm,,,
