Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.8618618618618619,0.7472826086956522,0.03303303303303303,0.32065217391304346,0.009009009009009009,0.03260869565217391
2,0.6816816816816816,0.5122615803814714,0.015015015015015015,0.2615803814713896,0.0,0.0
3,0.43243243243243246,0.2650273224043716,0.006006006006006006,0.226775956284153,0.0,0.0
4,0.25825825825825827,0.16164383561643836,0.0,0.19726027397260273,0.0,0.0
5,0.17717717717717718,0.09615384615384616,0.0,0.18406593406593408,0.0,0.0
6,0.10510510510510511,0.06887052341597796,0.0,0.17355371900826447,0.0,0.0
7,0.05105105105105105,0.052486187845303865,0.0,0.16298342541436464,0.0,0.0
8,0.021021021021021023,0.04155124653739612,0.0,0.1523545706371191,0.0,0.0
9,0.015015015015015015,0.027777777777777776,0.0,0.14166666666666666,0.0,0.0
10,0.012012012012012012,0.025069637883008356,0.0,0.1309192200557103,0.0,0.0
11,0.009009009009009009,0.019553072625698324,0.0,0.12290502793296089,0.0,0.0
12,0.009009009009009009,0.0196078431372549,0.0,0.11484593837535013,0.0,0.0
13,0.009009009009009009,0.019662921348314606,0.0,0.10674157303370786,0.0,0.0
14,0.006006006006006006,0.014084507042253521,0.0,0.09577464788732394,0.0,0.0
15,0.006006006006006006,0.014124293785310734,0.0,0.08757062146892655,0.0,0.0
16,0.006006006006006006,0.014164305949008499,0.0,0.07932011331444759,0.0,0.0
17,0.006006006006006006,0.014204545454545454,0.0,0.07102272727272728,0.0,0.0
18,0.003003003003003003,0.011396011396011397,0.0,0.06267806267806268,0.0,0.0
19,0.003003003003003003,0.011428571428571429,0.0,0.054285714285714284,0.0,0.0
20,0.0,0.011461318051575931,0.0,0.05157593123209169,0.0,0.0
21,0.0,0.011494252873563218,0.0,0.04885057471264368,0.0,0.0
22,0.0,0.008645533141210375,0.0,0.04610951008645533,0.0,0.0
23,0.0,0.008670520231213872,0.0,0.04335260115606936,0.0,0.0
24,0.0,0.008695652173913044,0.0,0.04057971014492753,0.0,0.0
25,0.0,0.005813953488372093,0.0,0.0377906976744186,0.0,0.0
26,0.0,0.0058309037900874635,0.0,0.03498542274052478,0.0,0.0
27,0.0,0.005847953216374269,0.0,0.03216374269005848,0.0,0.0
28,0.0,0.005865102639296188,0.0,0.02932551319648094,0.0,0.0
29,0.0,0.0029411764705882353,0.0,0.026470588235294117,0.0,0.0
30,0.0,0.0,0.0,0.02359882005899705,0.0,0.0
