TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 76668256, 0.0006977561, 0.003846598, 0.005810589, -0.004249726, 0.0495864, 0.03871148, 0.008780188, -0.004825466
 76825113, -0.02518234, 0.0101754, 0.006807582, -0.004679756, -0.02081501, 0.02374905, 0.006471021, -0.005086467
 76880110, -0.01112537, 0.0501702, 0.006940492, -0.006750013, -0.02518234, 0.0101754, 0.006807582, -0.004679756
 76930066, 0.000791687, 0.004575127, 0.006926868, -0.005061439, -0.01112537, 0.0501702, 0.006940492, -0.006750013
 76980102, -0.01390164, 0.001933045, 0.006503893, -0.004604952, 0.000791687, 0.004575127, 0.006926868, -0.005061439
 77035070, -0.004737353, 0.01140186, 0.005751314, -0.004338983, -0.01390164, 0.001933045, 0.006503893, -0.004604952
 77090426, -0.003563176, 0.03068699, 0.005647118, -0.005165336, -0.004737353, 0.01140186, 0.005751314, -0.004338983
 77145071, -0.0585434, 0.01090674, 0.008834618, -0.003937314, -0.003563176, 0.03068699, 0.005647118, -0.005165336
 77195113, 0.0006697581, 0.003631868, 0.005454304, -0.003988649, -0.0585434, 0.01090674, 0.008834618, -0.003937314
 77245085, -0.003561615, 0.003005919, 0.005536824, -0.004039043, 0.0006697581, 0.003631868, 0.005454304, -0.003988649
 77300123, -0.009801982, -0.005971333, 0.005611769, -0.00397551, -0.003561615, 0.003005919, 0.005536824, -0.004039043
 77355036, -0.05558481, 0.03779048, 0.008480733, -0.005933053, -0.009801982, -0.005971333, 0.005611769, -0.00397551
 77410086, -0.01211612, 0.08501229, 0.006457397, -0.01017584, -0.05558481, 0.03779048, 0.008480733, -0.005933053
 77460041, 0.0006710822, 0.003744991, 0.005553294, -0.004059684, -0.01211612, 0.08501229, 0.006457397, -0.01017584
 77510076, 0.0006737591, 0.003740692, 0.005619242, -0.004106814, 0.0006710822, 0.003744991, 0.005553294, -0.004059684
 77560090, -0.005236039, -0.01480785, 0.005753878, -0.004340348, 0.0006737591, 0.003740692, 0.005619242, -0.004106814
 77615442, -0.009898067, -0.0354913, 0.00616248, -0.0053506, -0.005236039, -0.01480785, 0.005753878, -0.004340348
 77670027, -0.1454065, -0.02345285, 0.01786464, -0.002238189, -0.009898067, -0.0354913, 0.00616248, -0.0053506
 77725118, -0.01817984, -0.007404066, 0.006147818, -0.004113033, -0.1454065, -0.02345285, 0.01786464, -0.002238189
 77775068, 0.0006975981, 0.003842041, 0.005722132, -0.00417999, -0.01817984, -0.007404066, 0.006147818, -0.004113033
 77825102, -0.007459626, -0.02816485, 0.006018518, -0.004954722, 0.0006975981, 0.003842041, 0.005722132, -0.00417999
 77880078, 0.00592372, -0.02949291, 0.00588882, -0.005183242, -0.007459626, -0.02816485, 0.006018518, -0.004954722
 77935087, 0.02459431, 0.01166215, 0.006389832, -0.003969467, 0.00592372, -0.02949291, 0.00588882, -0.005183242
 77985048, 0.03507908, -0.007277975, 0.006859361, -0.003959202, 0.02459431, 0.01166215, 0.006389832, -0.003969467
 78040459, 0.0006976053, 0.003962312, 0.005953312, -0.004345309, 0.03507908, -0.007277975, 0.006859361, -0.003959202
 78090309, -0.007473673, -0.001790517, 0.006185708, -0.004447621, 0.0006976053, 0.003962312, 0.005953312, -0.004345309
 78145102, 0.02420885, 0.0521038, 0.007366581, -0.006285748, -0.007473673, -0.001790517, 0.006185708, -0.004447621
 78200034, -0.01040527, 0.01601016, 0.006045404, -0.004633133, 0.02420885, 0.0521038, 0.007366581, -0.006285748
 78250110, -0.02777949, 0.008687087, 0.006628894, -0.004335725, -0.01040527, 0.01601016, 0.006045404, -0.004633133
 78300037, 0.000710723, 0.003967821, 0.005988172, -0.00436803, -0.02777949, 0.008687087, 0.006628894, -0.004335725
 78350078, 0.006881492, -0.004388981, 0.006344162, -0.004606845, 0.000710723, 0.003967821, 0.005988172, -0.00436803
 78405049, 0.02209573, -0.01132031, 0.006705381, -0.00472212, 0.006881492, -0.004388981, 0.006344162, -0.004606845
 78455068, 0.01455505, 0.006220914, 0.006343237, -0.004411272, 0.02209573, -0.01132031, 0.006705381, -0.00472212
 78510091, -0.05726749, 0.04205653, 0.008614377, -0.00629581, 0.01455505, 0.006220914, 0.006343237, -0.004411272
 78560102, 0.0006942676, 0.003918687, 0.005916667, -0.004313844, -0.05726749, 0.04205653, 0.008614377, -0.00629581
 78610019, 0.0007167392, 0.003899301, 0.005855561, -0.004269084, 0.0006942676, 0.003918687, 0.005916667, -0.004313844
 78665439, 0.02185509, -0.02247174, 0.006311535, -0.004899302, 0.0007167392, 0.003899301, 0.005855561, -0.004269084
 78715317, 0.01691021, 0.01539811, 0.006181633, -0.004277876, 0.02185509, -0.02247174, 0.006311535, -0.004899302
 78765333, -0.1165493, 0.02874914, 0.0145373, -0.005018173, 0.01691021, 0.01539811, 0.006181633, -0.004277876
 78815370, 0.0006779956, 0.003815728, 0.00566944, -0.004132937, -0.1165493, 0.02874914, 0.0145373, -0.005018173
 78870109, 0.000705493, 0.00409903, 0.006102864, -0.004446946, 0.0006779956, 0.003815728, 0.00566944, -0.004132937
 78920053, -0.009539813, -0.02129054, 0.006298059, -0.004772153, 0.000705493, 0.00409903, 0.006102864, -0.004446946
 78975067, 0.0007401553, 0.00383477, 0.005751056, -0.004190551, -0.009539813, -0.02129054, 0.006298059, -0.004772153
 79030104, -0.004366606, 0.06226589, 0.006290577, -0.007703922, 0.0007401553, 0.00383477, 0.005751056, -0.004190551
 79085094, -0.009992003, 0.01874405, 0.005833977, -0.004616086, -0.004366606, 0.06226589, 0.006290577, -0.007703922
 79135117, 0.0002922567, 0.003700746, 0.005719613, -0.004164195, -0.009992003, 0.01874405, 0.005833977, -0.004616086
 79185088, -0.02578077, -0.05342312, 0.007366194, -0.006327165, 0.0002922567, 0.003700746, 0.005719613, -0.004164195
 79235062, -0.02373372, -0.01317155, 0.006394323, -0.004045813, -0.02578077, -0.05342312, 0.007366194, -0.006327165
 79290379, -0.1381629, -0.02291011, 0.0175882, -0.002016699, -0.02373372, -0.01317155, 0.006394323, -0.004045813
 79345093, -0.0590979, 0.02262961, 0.008822269, -0.004698066, -0.1381629, -0.02291011, 0.0175882, -0.002016699
 79395078, 0.0005781935, 0.003599556, 0.005555388, -0.004045063, -0.0590979, 0.02262961, 0.008822269, -0.004698066
 79450095, -0.03609668, -0.002055006, 0.007086626, -0.003863886, 0.0005781935, 0.003599556, 0.005555388, -0.004045063
