TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 230310336, 0.0002738178, 0.01469717, 0.01110146, -0.01192653, -0.07238203, 0.001712111, 0.01198891, -0.01182129
 230500609, -0.0001641165, 0.01084559, 0.01112606, -0.01193436, 0.0002738178, 0.01469717, 0.01110146, -0.01192653
 230700616, -0.005673518, 0.006166994, 0.01113984, -0.01192514, -0.0001641165, 0.01084559, 0.01112606, -0.01193436
 230900604, -0.002987694, -0.007063445, 0.01092089, -0.01169797, -0.005673518, 0.006166994, 0.01113984, -0.01192514
 231100626, 0.02003008, -0.09446119, 0.01114437, -0.01345252, -0.002987694, -0.007063445, 0.01092089, -0.01169797
 231320583, 0.004395462, -0.02847495, 0.011207, -0.01213887, 0.02003008, -0.09446119, 0.01114437, -0.01345252
 231520607, -0.02367561, -0.008525279, 0.0111674, -0.01185302, 0.004395462, -0.02847495, 0.011207, -0.01213887
 231720601, -0.04591146, 0.02893152, 0.01140121, -0.01190666, -0.02367561, -0.008525279, 0.0111674, -0.01185302
 231900622, -0.01579245, 0.006955278, 0.0112257, -0.01195949, -0.04591146, 0.02893152, 0.01140121, -0.01190666
 232120592, 0.00621531, 0.005596307, 0.01122473, -0.01199634, -0.01579245, 0.006955278, 0.0112257, -0.01195949
 232320604, 0.005596397, 0.00320276, 0.0115549, -0.01234176, 0.00621531, 0.005596307, 0.01122473, -0.01199634
 232520597, -0.01288659, 0.00707864, 0.01133932, -0.01208617, 0.005596397, 0.00320276, 0.0115549, -0.01234176
 232720597, -0.05548988, 0.002555499, 0.01176895, -0.01197829, -0.01288659, 0.00707864, 0.01133932, -0.01208617
 232920606, 0.003060824, 0.005044361, 0.01116404, -0.01192115, -0.05548988, 0.002555499, 0.01176895, -0.01197829
 233120594, -0.006780223, 0.008479045, 0.01116566, -0.01192133, 0.003060824, 0.005044361, 0.01116404, -0.01192115
 233320632, -0.01807377, 0.02044531, 0.01121979, -0.01198102, -0.006780223, 0.008479045, 0.01116566, -0.01192133
 233520584, -0.0007844744, 0.01538169, 0.01115592, -0.01194652, -0.01807377, 0.02044531, 0.01121979, -0.01198102
 233700644, 0.01191248, 0.0194471, 0.0109668, -0.01174939, -0.0007844744, 0.01538169, 0.01115592, -0.01194652
 233920593, 0.1629201, 0.03234679, 0.01539566, -0.01236051, 0.01191248, 0.0194471, 0.0109668, -0.01174939
 234120618, 0.04195787, 0.03782261, 0.01160034, -0.01233937, 0.1629201, 0.03234679, 0.01539566, -0.01236051
 234320640, 0.008918217, 0.02097624, 0.01091655, -0.01172187, 0.04195787, 0.03782261, 0.01160034, -0.01233937
 234520606, 0.01177861, 0.01724186, 0.01111059, -0.01188196, 0.008918217, 0.02097624, 0.01091655, -0.01172187
 234720648, 0.1081349, 0.08316455, 0.01303348, -0.01330367, 0.01177861, 0.01724186, 0.01111059, -0.01188196
 234920626, 0.0275189, 0.0114632, 0.01129577, -0.01192573, 0.1081349, 0.08316455, 0.01303348, -0.01330367
 235100643, 0.02125283, -0.04939166, 0.01124785, -0.01234075, 0.0275189, 0.0114632, 0.01129577, -0.01192573
 235320590, -0.0237167, 0.01943735, 0.0112771, -0.01196293, 0.02125283, -0.04939166, 0.01124785, -0.01234075
 235500630, 0.02292032, -0.006987639, 0.01126904, -0.01190349, -0.0237167, 0.01943735, 0.0112771, -0.01196293
 235720633, 0.008684638, -0.0008357367, 0.01118491, -0.0118909, 0.02292032, -0.006987639, 0.01126904, -0.01190349
 235920602, 0.001797704, 0.003773727, 0.01142315, -0.01216007, 0.008684638, -0.0008357367, 0.01118491, -0.0118909
 236120634, 0.004032425, 0.003886634, 0.01121977, -0.01193719, 0.001797704, 0.003773727, 0.01142315, -0.01216007
 236320636, 0.01474924, 0.06779729, 0.01118772, -0.01275218, 0.004032425, 0.003886634, 0.01121977, -0.01193719
 236500630, -0.01008003, 0.03903006, 0.01119319, -0.01217138, 0.01474924, 0.06779729, 0.01118772, -0.01275218
 236720622, -0.01450303, 0.01090663, 0.0108481, -0.01151238, -0.01008003, 0.03903006, 0.01119319, -0.01217138
 236920665, -0.02300834, 0.002734766, 0.01121259, -0.0118215, -0.01450303, 0.01090663, 0.0108481, -0.01151238
 237120618, -0.02909615, 0.07719555, 0.01106726, -0.01270692, -0.02300834, 0.002734766, 0.01121259, -0.0118215
 237320619, 0.05613709, -0.05263988, 0.01194935, -0.01256125, -0.02909615, 0.07719555, 0.01106726, -0.01270692
 237520615, 0.01369979, 0.004299262, 0.01128245, -0.01195638, 0.05613709, -0.05263988, 0.01194935, -0.01256125
 237720635, 0.09990083, 0.004961229, 0.01288266, -0.01185835, 0.01369979, 0.004299262, 0.01128245, -0.01195638
 237900618, 0.03121675, 0.07307275, 0.01128727, -0.01286041, 0.09990083, 0.004961229, 0.01288266, -0.01185835
 238120627, -0.0003970705, 0.01090162, 0.01118283, -0.01189195, 0.03121675, 0.07307275, 0.01128727, -0.01286041
 238320618, -0.003895432, 0.009888033, 0.01118844, -0.01189392, -0.0003970705, 0.01090162, 0.01118283, -0.01189195
 238520634, -0.01420887, 0.0008798166, 0.01122433, -0.01187837, -0.003895432, 0.009888033, 0.01118844, -0.01189392
 238720641, 0.001397286, 0.004404978, 0.01118858, -0.01187969, -0.01420887, 0.0008798166, 0.01122433, -0.01187837
 238900665, -0.003913439, 0.008128229, 0.01118941, -0.0118904, 0.001397286, 0.004404978, 0.01118858, -0.01187969
 239100657, 0.003169624, 0.003450446, 0.01134133, -0.01204067, -0.003913439, 0.008128229, 0.01118941, -0.0118904
 239300639, 0.02328186, 0.009479073, 0.0112461, -0.01184617, 0.003169624, 0.003450446, 0.01134133, -0.01204067
 239520595, 0.02792373, 0.01065715, 0.01132347, -0.01189851, 0.02328186, 0.009479073, 0.0112461, -0.01184617
 239720576, 0.003970194, -0.001025884, 0.01118861, -0.01187553, 0.02792373, 0.01065715, 0.01132347, -0.01189851
 239920608, -0.008592422, 0.0142191, 0.01139567, -0.012108, 0.003970194, -0.001025884, 0.01118861, -0.01187553
 240120642, -0.01894075, 0.1313522, 0.01126212, -0.01480786, -0.008592422, 0.0142191, 0.01139567, -0.012108
 240320632, -0.02378129, 0.0745714, 0.01168542, -0.0132388, -0.01894075, 0.1313522, 0.01126212, -0.01480786
 240520634, 0.0009871133, -0.002094968, 0.01110477, -0.0117774, -0.02378129, 0.0745714, 0.01168542, -0.0132388
 240700683, -0.008054627, 0.01042601, 0.01105987, -0.01173725, 0.0009871133, -0.002094968, 0.01110477, -0.0117774
 240920620, -0.003206859, -0.007439602, 0.01091959, -0.01158388, -0.008054627, 0.01042601, 0.01105987, -0.01173725
 241120611, -0.04338445, 0.009102627, 0.01150311, -0.01183564, -0.003206859, -0.007439602, 0.01091959, -0.01158388
 241300606, -0.02863815, 0.01745816, 0.01134498, -0.01191478, -0.04338445, 0.009102627, 0.01150311, -0.01183564
 241520600, -0.06310847, 0.02761173, 0.01194794, -0.01201721, -0.02863815, 0.01745816, 0.01134498, -0.01191478
 241720593, 0.0834541, 0.02798036, 0.01242983, -0.01208132, -0.06310847, 0.02761173, 0.01194794, -0.01201721
 241900636, -0.008973086, 0.02536021, 0.01135773, -0.0121397, 0.0834541, 0.02798036, 0.01242983, -0.01208132
 242120638, -0.02084375, 0.02898538, 0.0113224, -0.01205349, -0.008973086, 0.02536021, 0.01135773, -0.0121397
 242320643, -0.01025633, 0.04979638, 0.01122821, -0.01234007, -0.02084375, 0.02898538, 0.0113224, -0.01205349
 242520592, 0.02229008, 0.02428985, 0.01113931, -0.01182192, -0.01025633, 0.04979638, 0.01122821, -0.01234007
 242720612, 0.03311408, -0.04589735, 0.01151243, -0.01235167, 0.02229008, 0.02428985, 0.01113931, -0.01182192
 242920581, -0.03624976, 0.06271698, 0.01170605, -0.01282153, 0.03311408, -0.04589735, 0.01151243, -0.01235167
 243120628, -0.03706876, 0.00736584, 0.01170757, -0.01213816, -0.03624976, 0.06271698, 0.01170605, -0.01282153
 243320640, -0.0377772, 0.001557898, 0.011536, -0.01191275, -0.03706876, 0.00736584, 0.01170757, -0.01213816
 243520599, -0.02096103, -0.06081616, 0.01128992, -0.01257595, -0.0377772, 0.001557898, 0.011536, -0.01191275
 243700655, -0.009155113, -0.02737811, 0.01102316, -0.0117824, -0.02096103, -0.06081616, 0.01128992, -0.01257595
 243900627, -0.0151201, 0.05377508, 0.01119663, -0.01232804, -0.009155113, -0.02737811, 0.01102316, -0.0117824
 244120658, -0.009915012, 0.04947465, 0.01113583, -0.01223921, -0.0151201, 0.05377508, 0.01119663, -0.01232804
 244320590, -0.003733075, 0.04871451, 0.01116125, -0.01241643, -0.009915012, 0.04947465, 0.01113583, -0.01223921
 244520592, -0.03437329, 0.4034865, 0.01125269, -0.02930096, -0.003733075, 0.04871451, 0.01116125, -0.01241643
 244700643, -0.5429834, 0.3285876, 0.03669796, -0.0247412, -0.03437329, 0.4034865, 0.01125269, -0.02930096
 244920604, -1.165258, 0.6072533, 0.07143872, -0.03967049, -0.5429834, 0.3285876, 0.03669796, -0.0247412
 245120617, -2.280147, 0.8009467, 0.130823, -0.04953175, -1.165258, 0.6072533, 0.07143872, -0.03967049
 245320624, -2.614617, 1.087712, 0.1458492, -0.06412166, -2.280147, 0.8009467, 0.130823, -0.04953175
 245520597, -2.296216, 1.321136, 0.1266016, -0.07586177, -2.614617, 1.087712, 0.1458492, -0.06412166
 245720613, -1.870881, 1.364457, 0.1031368, -0.07810149, -2.296216, 1.321136, 0.1266016, -0.07586177
 245920668, -1.465225, 0.8817017, 0.082204, -0.0554829, -1.870881, 1.364457, 0.1031368, -0.07810149
 246140639, -1.167743, 0.3318975, 0.06756803, -0.0360325, -1.465225, 0.8817017, 0.082204, -0.0554829
 246320650, -0.890079, -0.203922, 0.05433886, -0.0352391, -1.167743, 0.3318975, 0.06756803, -0.0360325
 246520604, -0.3977943, -0.7159199, 0.03602221, -0.05171124, -0.890079, -0.203922, 0.05433886, -0.0352391
