TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 44254537, 0.017, 0.008, -0.032, 1.359, 0.038, -0.028, 0.005, 1.36
 44454587, -0.027, 0.015, 0.059, 1.358, 0.017, 0.008, -0.032, 1.359
 44654649, -0.001, -0.022, 0.016, 1.357, -0.027, 0.015, 0.059, 1.358
 44854565, 0.003, 0.028, 0.004, 1.357, -0.001, -0.022, 0.016, 1.357
 45054550, 0.038, 0.031, 0.001, 1.356, 0.003, 0.028, 0.004, 1.357
 45254576, -0.008, 0.046, 0.003, 1.355, 0.038, 0.031, 0.001, 1.356
 45454538, -0.048, -0.03, -0.038, 1.354, -0.008, 0.046, 0.003, 1.355
 45654533, -0.02, -0.033, -0.044, 1.354, -0.048, -0.03, -0.038, 1.354
 45854557, 0.046, 0.003, 0.078, 1.353, -0.02, -0.033, -0.044, 1.354
 46054555, -0.005, 0.03, -0.014, 1.353, 0.046, 0.003, 0.078, 1.353
 46254658, 0.012, 0.004, 0.008, 1.353, -0.005, 0.03, -0.014, 1.353
 46454651, 0.004, -0.014, 0.009000001, 1.352, 0.012, 0.004, 0.008, 1.353
 46654571, 0.011, 0.09200001, 0.009000001, 1.352, 0.004, -0.014, 0.009000001, 1.352
 46854572, 0.03, 0.048, -0.017, 1.351, 0.011, 0.09200001, 0.009000001, 1.352
 47054571, -0.022, 0.087, 0.004, 1.351, 0.03, 0.048, -0.017, 1.351
 47254576, -0.042, -0.012, -0.09100001, 1.351, -0.022, 0.087, 0.004, 1.351
 47454584, -0.033, 0.021, -0.06900001, 1.35, -0.042, -0.012, -0.09100001, 1.351
 47654559, -0.03, 0.01, -0.033, 1.35, -0.033, 0.021, -0.06900001, 1.35
 47854555, 0.013, -0.001, 0.01, 1.349, -0.03, 0.01, -0.033, 1.35
 48054545, 0.03, 0.027, -0.038, 1.349, 0.013, -0.001, 0.01, 1.349
 48254671, -0.026, -0.143, 0.002, 1.349, 0.03, 0.027, -0.038, 1.349
 48454646, -0.041, -0.14, -0.048, 1.347, -0.026, -0.143, 0.002, 1.349
 48654575, 0.013, -0.373, -0.279, 1.348, -0.041, -0.14, -0.048, 1.347
 48854582, -0.437, -0.299, -0.187, 1.352, 0.013, -0.373, -0.279, 1.348
 49054587, -0.336, -0.8330001, -0.276, 1.357, -0.437, -0.299, -0.187, 1.352
 49254560, -0.343, -1.115, -0.172, 1.362, -0.336, -0.8330001, -0.276, 1.357
 49454656, -0.111, -1.385, -0.204, 1.365, -0.343, -1.115, -0.172, 1.362
 49654586, -0.428, -1.373, -0.409, 1.368, -0.111, -1.385, -0.204, 1.365
 49854653, -0.021, -1.76, -0.8650001, 1.372, -0.428, -1.373, -0.409, 1.368
 50054574, 0.098, -1.752, -1.633, 1.378, -0.021, -1.76, -0.8650001, 1.372
 50254560, 0.034, -1.796, -2.305, 1.384, 0.098, -1.752, -1.633, 1.378
 50454655, -0.159, -1.955, -2.772, 1.39, 0.034, -1.796, -2.305, 1.384
 50654579, -0.478, -2.178, -3.317, 1.393, -0.159, -1.955, -2.772, 1.39
 50854565, -1.351, -2.221, -3.777, 1.396, -0.478, -2.178, -3.317, 1.393
 51054566, -2.013, -2.387, -4.102, 1.398, -1.351, -2.221, -3.777, 1.396
 51254571, -2.704, -2.491, -4.442, 1.4, -2.013, -2.387, -4.102, 1.398
 51454585, -3.23, -2.381, -4.445, 1.401, -2.704, -2.491, -4.442, 1.4
 51654575, -3.61, -2.514, -4.261, 1.402, -3.23, -2.381, -4.445, 1.401
 51854688, -3.961, -2.684, -3.809, 1.403, -3.61, -2.514, -4.261, 1.402
 52054584, -4.422, -2.145, -2.912, 1.404, -3.961, -2.684, -3.809, 1.403
 52254568, -4.212, -2.834, -3.027, 1.406, -4.422, -2.145, -2.912, 1.404
 52454568, -4.374, -3.113, -2.43, 1.408, -4.212, -2.834, -3.027, 1.406
 52654562, -4.548, -3.101, -2.253, 1.409, -4.374, -3.113, -2.43, 1.408
 52854563, -4.407, -3.127, -1.954, 1.412, -4.548, -3.101, -2.253, 1.409
 53054570, -4.305, -2.962, -1.809, 1.415, -4.407, -3.127, -1.954, 1.412
 53254661, -4.309, -2.979, -1.669, 1.418, -4.305, -2.962, -1.809, 1.415
 53454574, -4.703, -3.11, -1.379, 1.419, -4.309, -2.979, -1.669, 1.418
 53654701, -4.677, -2.878, -1.292, 1.421, -4.703, -3.11, -1.379, 1.419
 53854670, -4.772, -2.637, -1.095, 1.422, -4.677, -2.878, -1.292, 1.421
 54054687, -5.065, -2.314, -0.61, 1.421, -4.772, -2.637, -1.095, 1.422
 54274648, -5.033, -2.497, -0.239, 1.418, -5.065, -2.314, -0.61, 1.421
 54454678, -4.826, -2.259, -0.055, 1.415, -5.033, -2.497, -0.239, 1.418
 54654805, -4.735, -2.268, 0.051, 1.414, -4.826, -2.259, -0.055, 1.415
 54854678, -4.647, -2.172, 0.086, 1.413, -4.735, -2.268, 0.051, 1.414
 55054671, -4.457, -1.986, -0.135, 1.412, -4.647, -2.172, 0.086, 1.413
 55254659, -4.2, -1.913, 0.019, 1.412, -4.457, -1.986, -0.135, 1.412
 55454720, -4.085, -1.583, 0.016, 1.409, -4.2, -1.913, 0.019, 1.412
 55654671, -3.82, -1.278, -0.044, 1.406, -4.085, -1.583, 0.016, 1.409
 55854689, -3.518, -1.001, 0.009000001, 1.401, -3.82, -1.278, -0.044, 1.406
 56054681, -3.367, -0.905, 0.037, 1.395, -3.518, -1.001, 0.009000001, 1.401
 56254663, -3.041, -0.809, 0.157, 1.393, -3.367, -0.905, 0.037, 1.395
 56454695, -2.703, -0.6300001, 0.182, 1.388, -3.041, -0.809, 0.157, 1.393
 56654659, -2.35, -0.706, 0.225, 1.385, -2.703, -0.6300001, 0.182, 1.388
 56854678, -2.26, -0.493, 0.222, 1.384, -2.35, -0.706, 0.225, 1.385
 57054656, -1.903, -0.592, 0.114, 1.382, -2.26, -0.493, 0.222, 1.384
 57254701, -1.905, -0.444, 0.074, 1.38, -1.903, -0.592, 0.114, 1.382
