TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 57731715, -0.1222486, -0.01752324, 0.01885057, 0.07896355, -0.04729006, -0.00527326, 0.00729706, 0.04130321, -0.990469, 0.1353586, 126.9541
 57919211, -0.1144941, -0.01476498, 0.01908166, 0.07665353, -0.03795353, -0.00353949, 0.004248328, 0.03488372, -0.9904782, 0.1352984, 64.86332
 58119083, -0.1114285, -0.01390458, 0.01645287, 0.07254352, -0.04146947, -0.006491042, 0.006591754, 0.03719483, -0.9904637, 0.1354147, 122.7708
 58319078, -0.11583, -0.01781735, 0.01877204, 0.07485592, -0.04093899, -0.006590588, 0.007620862, 0.03719668, -0.9904324, 0.1356417, 126.6843
 58519027, -0.1145653, -0.01862501, 0.02096419, 0.07485611, -0.04095093, -0.006720645, 0.008252643, 0.03719353, -0.9904165, 0.1357619, 126.6846
 58719072, -0.1135059, -0.01744939, 0.020141, 0.07485314, -0.03967837, -0.006201374, 0.005377275, 0.03719502, -0.9903982, 0.1359052, 126.6796
 58919072, -0.1126217, -0.01601278, 0.01834159, 0.07485667, -0.04022029, -0.005912038, 0.008873235, 0.03719502, -0.9903795, 0.1360463, 126.6855
 59119041, -0.1124119, -0.01632574, 0.0226135, 0.07485835, -0.0411308, -0.005457909, 0.008011119, 0.03719501, -0.9903541, 0.1362298, 126.6884
 59319053, -0.1150906, -0.01577971, 0.02050325, 0.07485572, -0.04070808, -0.004233631, 0.006148002, 0.03719576, -0.9903344, 0.1363695, 126.684
 59519030, -0.1140099, -0.01471484, 0.01716892, 0.07485612, -0.04233602, -0.005037832, 0.006704247, 0.03719428, -0.9903064, 0.1365681, 126.6846
 59719050, -0.1147826, -0.01667474, 0.01977722, 0.0748539, -0.03975216, -0.00683881, 0.007314377, 0.03719502, -0.9902856, 0.1367218, 126.6808
 59919044, -0.1125524, -0.016887, 0.01924445, 0.07485481, -0.03900503, -0.004985424, 0.005009458, 0.03719501, -0.9902651, 0.1368743, 126.6824
 60119051, -0.1120046, -0.01643222, 0.01705943, 0.07485593, -0.03990095, -0.004669883, 0.007552189, 0.03719502, -0.9902385, 0.1370682, 126.6843
 60319076, -0.1131061, -0.01418539, 0.01947327, 0.07485537, -0.04111556, -0.005436153, 0.005725037, 0.03719502, -0.9902157, 0.1372278, 126.6885
 60499076, -0.1071993, -0.01585285, 0.01589403, 0.07113548, -0.03231981, -0.004563596, 0.004874761, 0.03347551, -0.9901825, 0.1374722, 120.3954
 60719093, -0.1138298, -0.01989326, 0.02126447, 0.07485484, -0.07091283, -0.01871652, 0.0248898, 0.04091434, -0.9900993, 0.1380907, 126.6903
 60919037, -0.1439248, -0.03144236, 0.03535773, 0.0785754, -0.02157662, -0.005312826, -0.001194145, 0.03719521, -0.9901416, 0.1377788, 132.9874
