TimeUS,gpSA,gpHA,gpVA
 43975576, 0.256, 1.16, 1.498
 44175555, 0.336, 1.159, 1.497
 44375546, 0.288, 1.158, 1.496
 44575623, 0.327, 1.157, 1.494
 44775583, 0.286, 1.156, 1.493
 44975562, 0.269, 1.155, 1.492
 45175611, 0.267, 1.154, 1.49
 45375574, 0.275, 1.153, 1.489
 45575580, 0.362, 1.153, 1.49
 45775591, 0.306, 1.154, 1.49
 45975578, 0.362, 1.154, 1.49
 46175575, 0.342, 1.154, 1.49
 46375571, 0.268, 1.154, 1.489
 46575563, 0.352, 1.154, 1.489
 46775605, 0.285, 1.154, 1.488
 46975613, 0.341, 1.153, 1.488
 47175586, 0.276, 1.152, 1.487
 47375574, 0.296, 1.152, 1.486
 47575566, 0.273, 1.151, 1.485
 47775617, 0.319, 1.151, 1.484
 47975596, 0.322, 1.149, 1.483
 48175570, 0.329, 1.149, 1.482
 48375598, 0.34, 1.148, 1.481
 48575581, 0.311, 1.148, 1.481
 48775629, 0.307, 1.148, 1.48
 48975567, 0.296, 1.147, 1.48
 49175580, 0.313, 1.147, 1.479
 49375577, 0.342, 1.146, 1.478
 49575585, 0.32, 1.147, 1.479
 49775563, 0.282, 1.146, 1.478
 49975564, 0.28, 1.146, 1.478
 50175559, 0.348, 1.146, 1.478
 50375608, 0.336, 1.146, 1.478
 50575613, 0.376, 1.146, 1.478
 50775578, 0.324, 1.147, 1.478
 50975575, 0.347, 1.147, 1.478
 51175558, 0.303, 1.146, 1.477
 51375587, 0.34, 1.145, 1.476
 51575572, 0.348, 1.144, 1.476
 51775592, 0.309, 1.144, 1.475
 51975610, 0.339, 1.144, 1.475
 52175594, 0.266, 1.143, 1.474
 52375621, 0.346, 1.143, 1.474
 52575581, 0.346, 1.143, 1.474
 52775598, 0.295, 1.142, 1.473
 52975609, 0.354, 1.143, 1.474
 53175562, 0.256, 1.143, 1.474
 53375596, 0.337, 1.144, 1.475
 53575580, 0.289, 1.144, 1.474
 53775542, 0.29, 1.143, 1.474
 53975495, 0.305, 1.143, 1.473
 54195504, 0.322, 1.143, 1.473
 54375525, 0.339, 1.143, 1.473
 54575511, 0.367, 1.144, 1.474
 54775545, 0.37, 1.144, 1.474
 54975511, 0.263, 1.144, 1.475
 55175507, 0.33, 1.145, 1.475
 55375523, 0.284, 1.144, 1.475
 55575526, 0.318, 1.143, 1.474
 55775520, 0.321, 1.142, 1.473
 55975582, 0.303, 1.141, 1.473
 56175560, 0.311, 1.141, 1.472
 56375543, 0.323, 1.14, 1.471
 56575487, 0.294, 1.139, 1.471
 56775524, 0.338, 1.138, 1.47
 56975527, 0.27, 1.138, 1.47
 57175584, 0.284, 1.137, 1.469
 57375526, 0.311, 1.136, 1.469
 57575515, 0.268, 1.136, 1.468
 57775575, 0.295, 1.136, 1.467
 57975528, 0.317, 1.135, 1.467
 58175524, 0.314, 1.135, 1.467
 58375518, 0.26, 1.134, 1.466
 58575498, 0.295, 1.134, 1.466
 58775521, 0.29, 1.133, 1.466
 58975502, 0.254, 1.133, 1.466
 59175523, 0.335, 1.132, 1.465
 59375509, 0.257, 1.131, 1.465
 59575546, 0.33, 1.131, 1.464
 59775522, 0.335, 1.13, 1.464
 59975528, 0.32, 1.13, 1.463
 60175509, 0.271, 1.129, 1.463
 60375563, 0.283, 1.129, 1.463
 60575502, 0.281, 1.128, 1.462
 60775520, 0.344, 1.127, 1.462
 60975531, 0.338, 1.127, 1.461
 61175538, 0.292, 1.127, 1.461
 61375583, 0.281, 1.126, 1.461
 61575529, 0.272, 1.126, 1.461
 61775525, 0.26, 1.125, 1.46
 61975507, 0.255, 1.125, 1.46
 62175534, 0.328, 1.124, 1.46
 62375529, 0.261, 1.124, 1.46
 62575525, 0.305, 1.124, 1.459
 62775532, 0.309, 1.124, 1.459
 62975531, 0.307, 1.124, 1.458
 63175544, 0.274, 1.124, 1.458
 63375532, 0.257, 1.123, 1.457
 63575538, 0.275, 1.123, 1.457
 63775536, 0.335, 1.123, 1.457
 63975526, 0.287, 1.123, 1.457
 64175512, 0.27, 1.124, 1.457
 64375531, 0.26, 1.124, 1.457
 64575554, 0.301, 1.124, 1.457
 64775537, 0.285, 1.124, 1.457
 64995968, 0.283, 1.124, 1.457
 65175506, 0.323, 1.125, 1.457
 65375598, 0.347, 1.124, 1.457
 65575560, 0.347, 1.124, 1.457
 65775532, 0.282, 1.124, 1.457
 65975518, 0.285, 1.123, 1.457
 66175595, 0.339, 1.123, 1.457
 66375525, 0.276, 1.123, 1.457
 66575523, 0.346, 1.122, 1.457
 66775561, 0.347, 1.122, 1.457
 66975515, 0.267, 1.122, 1.456
 67175516, 0.316, 1.121, 1.456
 67375539, 0.27, 1.121, 1.456
 67575578, 0.253, 1.121, 1.456
 67775543, 0.284, 1.121, 1.456
 67975527, 0.243, 1.12, 1.456
 68175522, 0.296, 1.12, 1.455
 68375541, 0.314, 1.12, 1.455
 81975555, 0.303, 1.086, 1.441
 82175594, 0.266, 1.086, 1.441
 82375642, 0.325, 1.086, 1.441
 82575551, 0.318, 1.085, 1.441
 82775575, 0.261, 1.084, 1.44
 82975587, 0.261, 1.084, 1.44
 83175560, 0.319, 1.084, 1.44
 83375589, 0.336, 1.083, 1.439
 83575562, 0.313, 1.082, 1.438
 83775573, 0.272, 1.082, 1.438
 83975602, 0.313, 1.081, 1.437
 84175551, 0.297, 1.08, 1.437
 84375577, 0.317, 1.08, 1.436
 84575582, 0.274, 1.079, 1.436
 84775637, 0.261, 1.079, 1.436
 84975567, 0.314, 1.079, 1.436
 85175597, 0.312, 1.079, 1.436
 85375589, 0.253, 1.078, 1.435
 85575612, 0.338, 1.078, 1.435
 85775575, 0.336, 1.078, 1.435
 85975591, 0.276, 1.077, 1.435
 86175583, 0.286, 1.077, 1.434
 86375570, 0.329, 1.077, 1.434
 86575612, 0.292, 1.076, 1.434
 86775574, 0.27, 1.076, 1.434
 86975605, 0.328, 1.076, 1.433
 87175573, 0.267, 1.076, 1.433
 87375589, 0.283, 1.075, 1.433
 87575570, 0.314, 1.075, 1.433
 87775598, 0.309, 1.075, 1.433
 87975585, 0.23, 1.074, 1.432
 88175589, 0.26, 1.074, 1.432
 88375644, 0.266, 1.073, 1.432
 88575558, 0.306, 1.073, 1.432
 88775583, 0.333, 1.072, 1.431
 88975569, 0.284, 1.072, 1.431
 89175587, 0.296, 1.072, 1.431
 89375584, 0.289, 1.072, 1.432
 89575595, 0.345, 1.072, 1.436
 89775640, 0.353, 1.074, 1.44
 89975585, 0.333, 1.075, 1.442
 90175622, 0.297, 1.076, 1.443
 90375607, 0.291, 1.077, 1.448
 90575590, 0.323, 1.079, 1.455
 90795988, 0.329, 1.083, 1.457
 90975593, 0.341, 1.086, 1.462
 91175579, 0.365, 1.089, 1.467
 91375592, 0.366, 1.092, 1.471
 91575584, 0.379, 1.096, 1.478
 91775591, 0.396, 1.101, 1.486
 91975632, 0.422, 1.107, 1.494
 92175591, 0.4, 1.113, 1.503
 92375593, 0.413, 1.119, 1.514
 92575582, 0.441, 1.126, 1.525
 92775596, 0.36, 1.131, 1.537
 92975587, 0.37, 1.135, 1.541
 93195834, 0.425, 1.138, 1.545
 93396023, 0.421, 1.139, 1.55
 93575583, 0.396, 1.142, 1.555
 93775635, 0.408, 1.145, 1.56
 93975617, 0.39, 1.149, 1.567
 94175605, 0.395, 1.152, 1.575
 94375587, 0.355, 1.153, 1.577
 94575585, 0.401, 1.155, 1.583
 94795971, 0.384, 1.157, 1.588
 94975628, 0.393, 1.159, 1.592
 95196012, 0.394, 1.159, 1.596
 95396153, 0.365, 1.159, 1.598
 95575625, 0.414, 1.16, 1.6
 95775586, 0.401, 1.162, 1.601
 95975598, 0.408, 1.163, 1.603
 96175613, 0.401, 1.164, 1.604
 96396032, 0.385, 1.164, 1.606
 96575596, 0.38, 1.165, 1.61
 96775586, 0.379, 1.165, 1.612
 96975579, 0.386, 1.167, 1.616
 97175597, 0.35, 1.169, 1.62
 97375640, 0.324, 1.17, 1.622
 97596061, 0.377, 1.172, 1.627
 97796001, 0.346, 1.175, 1.628
 97995995, 0.339, 1.176, 1.629
 98175630, 0.349, 1.177, 1.63
 98395886, 0.336, 1.177, 1.631
 98596120, 0.367, 1.177, 1.634
 98775591, 0.369, 1.179, 1.636
 98975796, 0.384, 1.18, 1.639
 99196044, 0.377, 1.181, 1.641
 99396112, 0.401, 1.181, 1.644
 99575777, 0.384, 1.182, 1.647
 99775804, 0.395, 1.183, 1.651
 99975768, 0.403, 1.186, 1.656
 100175794, 0.386, 1.189, 1.661
 100375830, 0.38, 1.19, 1.664
 100575795, 0.406, 1.193, 1.67
 100775805, 0.38, 1.196, 1.674
 100996108, 0.367, 1.198, 1.678
 101196140, 0.415, 1.201, 1.686
 101375782, 0.388, 1.203, 1.691
 101575793, 0.444, 1.206, 1.698
 101796158, 0.368, 1.208, 1.701
 101975784, 0.401, 1.21, 1.704
 102175775, 0.352, 1.211, 1.704
 102396116, 0.411, 1.212, 1.708
 102575786, 0.407, 1.214, 1.713
 102796252, 0.404, 1.217, 1.717
 102996105, 0.409, 1.221, 1.722
 103196148, 0.351, 1.224, 1.724
