THR,Frames,FPR,TPR,TTD
1,218,0.8588235294117647,0.7744360902255639,1221
2,217,0.6235294117647059,0.6818181818181818,8456
3,216,0.47058823529411764,0.6717557251908397,8656
4,215,0.29411764705882354,0.6615384615384615,8856
5,214,0.1411764705882353,0.6511627906976745,9056
6,213,0.07058823529411765,0.640625,9256
7,212,0.03529411764705882,0.6299212598425197,9456
8,211,0.023529411764705882,0.6190476190476191,9656
9,210,0.023529411764705882,0.608,9876
10,209,0.023529411764705882,0.5967741935483871,10076
11,208,0.011764705882352941,0.5853658536585366,10256
12,207,0.0,0.5737704918032787,10456
13,206,0.0,0.5619834710743802,10656
14,205,0.0,0.55,10856
15,204,0.0,0.5378151260504201,11056
16,203,0.0,0.5254237288135594,11276
17,202,0.0,0.5128205128205128,11456
18,201,0.0,0.5,11656
19,200,0.0,0.48695652173913045,11856
20,199,0.0,0.47368421052631576,12056
21,198,0.0,0.46017699115044247,12276
22,197,0.0,0.44642857142857145,12456
23,196,0.0,0.43243243243243246,12656
24,195,0.0,0.41818181818181815,12856
25,194,0.0,0.4036697247706422,13056
26,193,0.0,0.3888888888888889,13256
27,192,0.0,0.37383177570093457,13456
28,191,0.0,0.3584905660377358,13656
29,190,0.0,0.34285714285714286,13856
30,189,0.0,0.3269230769230769,14056
