Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.3176470588235294,0.0,0.18823529411764706,0.0
2,0.18823529411764706,0.0,0.09411764705882353,0.0
3,0.11764705882352941,0.0,0.047058823529411764,0.0
4,0.07058823529411765,0.0,0.03529411764705882,0.0
5,0.023529411764705882,0.0,0.023529411764705882,0.0
6,0.0,0.0,0.011764705882352941,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
