Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.2079207920792079,0.0033003300330033004
2,0.1291390728476821,0.0
3,0.09302325581395349,0.0
4,0.06666666666666667,0.0
5,0.05016722408026756,0.0
6,0.03691275167785235,0.0
7,0.026936026936026935,0.0
8,0.02027027027027027,0.0
9,0.01694915254237288,0.0
10,0.013605442176870748,0.0
11,0.006825938566552901,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
