TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 8040949, 0.03340481, -0.02485522, 0.09742714, 0.04818945, 0, 0, 0, 0
 8220877, -0.004988701, 0.00577879, 0.09739234, 0.04819782, 0.03340481, -0.02485522, 0.09742714, 0.04818945
 8420797, -0.009529007, 0.0001910024, 0.09739332, 0.04819702, -0.004988701, 0.00577879, 0.09739234, 0.04819782
 8620717, -0.004187862, 0.007331545, 0.09739334, 0.04819625, -0.009529007, 0.0001910024, 0.09739332, 0.04819702
 8820637, -0.01070651, 0.005225452, 0.0973965, 0.04819249, -0.004187862, 0.007331545, 0.09739334, 0.04819625
 9020557, -0.01485106, 0.006647333, 0.09740083, 0.04818828, -0.01070651, 0.005225452, 0.0973965, 0.04819249
 9220477, -0.00699143, -0.001115534, 0.09739789, 0.04818628, -0.01485106, 0.006647333, 0.09740083, 0.04818828
 9420397, -0.006392561, -0.002811195, 0.09739865, 0.04818468, -0.00699143, -0.001115534, 0.09739789, 0.04818628
 9620317, -0.01623444, 0.002420795, 0.09740394, 0.04818219, -0.006392561, -0.002811195, 0.09739865, 0.04818468
 9820237, -0.005050731, 0.005445488, 0.09739892, 0.04818437, -0.01623444, 0.002420795, 0.09740394, 0.04818219
 10020157, -0.006631704, 0.004473514, 0.09739882, 0.0481849, -0.005050731, 0.005445488, 0.09739892, 0.04818437
 10220910, -0.001330403, 0.001363064, 0.09739811, 0.0481841, -0.006631704, 0.004473514, 0.09739882, 0.0481849
 10420830, -0.003876667, 0.01134567, 0.09740058, 0.04818434, -0.001330403, 0.001363064, 0.09739811, 0.0481841
 10620750, -0.01129153, 0.009259673, 0.09740314, 0.04818171, -0.003876667, 0.01134567, 0.09740058, 0.04818434
 10820670, -0.001955534, 0.00770866, 0.09739904, 0.04818446, -0.01129153, 0.009259673, 0.09740314, 0.04818171
 11020590, -0.00369835, -0.005987492, 0.09739748, 0.0481871, -0.001955534, 0.00770866, 0.09739904, 0.04818446
 11220510, -0.006289782, 0.004778263, 0.09739739, 0.04818773, -0.00369835, -0.005987492, 0.09739748, 0.0481871
 11420430, -0.0151676, 0.006463906, 0.09740175, 0.04818668, -0.006289782, 0.004778263, 0.09739739, 0.04818773
 11620350, -0.01263594, 0.00028396, 0.09739915, 0.04818778, -0.0151676, 0.006463906, 0.09740175, 0.04818668
 11820270, -0.005309349, 0.002953063, 0.09739671, 0.04818816, -0.01263594, 0.00028396, 0.09739915, 0.04818778
 12020190, -0.006931448, 0.007889171, 0.09739869, 0.0481869, -0.005309349, 0.002953063, 0.09739671, 0.04818816
 12220943, -0.005909164, 0.003544837, 0.09739812, 0.04818573, -0.006931448, 0.007889171, 0.09739869, 0.0481869
 12420863, 8.404022E-06, 0.007501074, 0.0973973, 0.04818771, -0.005909164, 0.003544837, 0.09739812, 0.04818573
 12620783, -0.004790222, 0.009206798, 0.09739771, 0.04818876, 8.404022E-06, 0.007501074, 0.0973973, 0.04818771
 12820703, -0.01208313, 0.001105568, 0.0973981, 0.04818945, -0.004790222, 0.009206798, 0.09739771, 0.04818876
 13020623, -0.01357759, 0.003460907, 0.09739827, 0.04819093, -0.01208313, 0.001105568, 0.0973981, 0.04818945
 13220543, -0.001809261, 0.001731265, 0.09739374, 0.04819304, -0.01357759, 0.003460907, 0.09739827, 0.04819093
 13420463, -0.008608719, 0.008720725, 0.09739693, 0.04819194, -0.001809261, 0.001731265, 0.09739374, 0.04819304
 13620383, -0.006541907, 0.0005363505, 0.09739601, 0.04818982, -0.008608719, 0.008720725, 0.09739693, 0.04819194
