Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.07936507936507936,0.004901960784313725,0.8650793650793651,1.0,0.0,0.0
2,0.03968253968253968,0.0,0.8333333333333334,1.0,0.0,0.0
3,0.015873015873015872,0.0,0.8015873015873016,1.0,0.0,0.0
4,0.007936507936507936,0.0,0.7698412698412699,1.0,0.0,0.0
5,0.007936507936507936,0.0,0.746031746031746,1.0,0.0,0.0
6,0.0,0.0,0.7222222222222222,1.0,0.0,0.0
7,0.0,0.0,0.6984126984126984,1.0,0.0,0.0
8,0.0,0.0,0.6825396825396826,1.0,0.0,0.0
9,0.0,0.0,0.6666666666666666,1.0,0.0,0.0
10,0.0,0.0,0.6507936507936508,1.0,0.0,0.0
11,0.0,0.0,0.6349206349206349,1.0,0.0,0.0
12,0.0,0.0,0.6190476190476191,1.0,0.0,0.0
13,0.0,0.0,0.6031746031746031,1.0,0.0,0.0
14,0.0,0.0,0.5873015873015873,1.0,0.0,0.0
15,0.0,0.0,0.5714285714285714,1.0,0.0,0.0
16,0.0,0.0,0.5555555555555556,1.0,0.0,0.0
17,0.0,0.0,0.5396825396825397,1.0,0.0,0.0
18,0.0,0.0,0.5238095238095238,1.0,0.0,0.0
19,0.0,0.0,0.5079365079365079,1.0,0.0,0.0
20,0.0,0.0,0.49206349206349204,1.0,0.0,0.0
21,0.0,0.0,0.47619047619047616,1.0,0.0,0.0
22,0.0,0.0,0.4603174603174603,1.0,0.0,0.0
23,0.0,0.0,0.4444444444444444,1.0,0.0,0.0
24,0.0,0.0,0.42857142857142855,1.0,0.0,0.0
25,0.0,0.0,0.4126984126984127,1.0,0.0,0.0
26,0.0,0.0,0.3968253968253968,1.0,0.0,0.0
27,0.0,0.0,0.38095238095238093,1.0,0.0,0.0
28,0.0,0.0,0.36507936507936506,1.0,0.0,0.0
29,0.0,0.0,0.3492063492063492,1.0,0.0,0.0
30,0.0,0.0,0.3333333333333333,1.0,0.0,0.0
