Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.0,0.0,0.28078817733990147,0.0,0.0
2,0.0,0.0,0.0,0.2722772277227723,0.0,0.0
3,0.0,0.0,0.0,0.263681592039801,0.0,0.0
4,0.0,0.0,0.0,0.255,0.0,0.0
5,0.0,0.0,0.0,0.24623115577889448,0.0,0.0
6,0.0,0.0,0.0,0.23737373737373738,0.0,0.0
7,0.0,0.0,0.0,0.22842639593908629,0.0,0.0
8,0.0,0.0,0.0,0.2193877551020408,0.0,0.0
9,0.0,0.0,0.0,0.21025641025641026,0.0,0.0
10,0.0,0.0,0.0,0.20103092783505155,0.0,0.0
11,0.0,0.0,0.0,0.19170984455958548,0.0,0.0
12,0.0,0.0,0.0,0.18229166666666666,0.0,0.0
13,0.0,0.0,0.0,0.17277486910994763,0.0,0.0
14,0.0,0.0,0.0,0.1631578947368421,0.0,0.0
15,0.0,0.0,0.0,0.15343915343915343,0.0,0.0
16,0.0,0.0,0.0,0.14361702127659576,0.0,0.0
17,0.0,0.0,0.0,0.13368983957219252,0.0,0.0
18,0.0,0.0,0.0,0.12365591397849462,0.0,0.0
19,0.0,0.0,0.0,0.11351351351351352,0.0,0.0
20,0.0,0.0,0.0,0.10326086956521739,0.0,0.0
21,0.0,0.0,0.0,0.09289617486338798,0.0,0.0
22,0.0,0.0,0.0,0.08241758241758242,0.0,0.0
23,0.0,0.0,0.0,0.0718232044198895,0.0,0.0
24,0.0,0.0,0.0,0.06111111111111111,0.0,0.0
25,0.0,0.0,0.0,0.05027932960893855,0.0,0.0
26,0.0,0.0,0.0,0.03932584269662921,0.0,0.0
27,0.0,0.0,0.0,0.02824858757062147,0.0,0.0
28,0.0,0.0,0.0,0.017045454545454544,0.0,0.0
29,0.0,0.0,0.0,0.005714285714285714,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
