Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.0,0.0196078431372549,1.0,0.9705882352941176,0.2037037037037037,0.06862745098039216
2,0.0,0.0,0.9814814814814815,0.9603960396039604,0.14814814814814814,0.039603960396039604
3,0.0,0.0,0.9629629629629629,0.95,0.09259259259259259,0.03
4,0.0,0.0,0.9444444444444444,0.9393939393939394,0.05555555555555555,0.020202020202020204
5,0.0,0.0,0.9259259259259259,0.9285714285714286,0.018518518518518517,0.01020408163265306
6,0.0,0.0,0.9074074074074074,0.9175257731958762,0.0,0.0
7,0.0,0.0,0.8888888888888888,0.90625,0.0,0.0
8,0.0,0.0,0.8703703703703703,0.8947368421052632,0.0,0.0
9,0.0,0.0,0.8518518518518519,0.8829787234042553,0.0,0.0
10,0.0,0.0,0.8333333333333334,0.8709677419354839,0.0,0.0
11,0.0,0.0,0.8148148148148148,0.8586956521739131,0.0,0.0
12,0.0,0.0,0.7962962962962963,0.8461538461538461,0.0,0.0
13,0.0,0.0,0.7777777777777778,0.8333333333333334,0.0,0.0
14,0.0,0.0,0.7592592592592593,0.8202247191011236,0.0,0.0
15,0.0,0.0,0.7407407407407407,0.8068181818181818,0.0,0.0
16,0.0,0.0,0.7222222222222222,0.7931034482758621,0.0,0.0
17,0.0,0.0,0.7037037037037037,0.7790697674418605,0.0,0.0
18,0.0,0.0,0.6851851851851852,0.7647058823529411,0.0,0.0
19,0.0,0.0,0.6666666666666666,0.75,0.0,0.0
20,0.0,0.0,0.6481481481481481,0.7349397590361446,0.0,0.0
21,0.0,0.0,0.6296296296296297,0.7195121951219512,0.0,0.0
22,0.0,0.0,0.6111111111111112,0.7037037037037037,0.0,0.0
23,0.0,0.0,0.5925925925925926,0.6875,0.0,0.0
24,0.0,0.0,0.5740740740740741,0.6708860759493671,0.0,0.0
25,0.0,0.0,0.5555555555555556,0.6538461538461539,0.0,0.0
26,0.0,0.0,0.5370370370370371,0.6363636363636364,0.0,0.0
27,0.0,0.0,0.5185185185185185,0.618421052631579,0.0,0.0
28,0.0,0.0,0.5,0.6,0.0,0.0
29,0.0,0.0,0.48148148148148145,0.581081081081081,0.0,0.0
30,0.0,0.0,0.46296296296296297,0.5616438356164384,0.0,0.0
