THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,369,0.7723577235772358,0.0,0.01084010840108401
2,368,0.7255434782608695,0.0,0.005434782608695652
3,367,0.6839237057220708,0.0,0.0
4,366,0.6557377049180327,0.0,0.0
5,365,0.6356164383561644,0.0,0.0
6,364,0.6153846153846154,0.0,0.0
7,363,0.5977961432506887,0.0,0.0
8,362,0.585635359116022,0.0,0.0
9,361,0.5734072022160664,0.0,0.0
10,360,0.5611111111111111,0.0,0.0
11,359,0.5487465181058496,0.0,0.0
12,358,0.5363128491620112,0.0,0.0
13,357,0.5238095238095238,0.0,0.0
14,356,0.5112359550561798,0.0,0.0
15,355,0.49859154929577465,0.0,0.0
16,354,0.4858757062146893,0.0,0.0
17,353,0.4730878186968839,0.0,0.0
18,352,0.4602272727272727,0.0,0.0
19,351,0.4472934472934473,0.0,0.0
20,350,0.4342857142857143,0.0,0.0
21,349,0.42120343839541546,0.0,0.0
22,348,0.40804597701149425,0.0,0.0
23,347,0.39481268011527376,0.0,0.0
24,346,0.3815028901734104,0.0,0.0
25,345,0.3681159420289855,0.0,0.0
26,344,0.3546511627906977,0.0,0.0
27,343,0.34110787172011664,0.0,0.0
28,342,0.32748538011695905,0.0,0.0
29,341,0.31378299120234604,0.0,0.0
30,340,0.3,0.0,0.0
