Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.037940379403794036,0.7642276422764228,0.0
2,0.019021739130434784,0.720108695652174,0.0
3,0.010899182561307902,0.6839237057220708,0.0
4,0.00273224043715847,0.6557377049180327,0.0
5,0.0027397260273972603,0.6356164383561644,0.0
6,0.0,0.6153846153846154,0.0
7,0.0,0.5977961432506887,0.0
8,0.0,0.585635359116022,0.0
9,0.0,0.5734072022160664,0.0
10,0.0,0.5611111111111111,0.0
11,0.0,0.5487465181058496,0.0
12,0.0,0.5363128491620112,0.0
13,0.0,0.5238095238095238,0.0
14,0.0,0.5112359550561798,0.0
15,0.0,0.49859154929577465,0.0
16,0.0,0.4858757062146893,0.0
17,0.0,0.4730878186968839,0.0
18,0.0,0.4602272727272727,0.0
19,0.0,0.4472934472934473,0.0
20,0.0,0.4342857142857143,0.0
21,0.0,0.42120343839541546,0.0
22,0.0,0.40804597701149425,0.0
23,0.0,0.39481268011527376,0.0
24,0.0,0.3815028901734104,0.0
25,0.0,0.3681159420289855,0.0
26,0.0,0.3546511627906977,0.0
27,0.0,0.34110787172011664,0.0
28,0.0,0.32748538011695905,0.0
29,0.0,0.31378299120234604,0.0
30,0.0,0.3,0.0
