Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.0,0.7208672086720868,0.0
2,0.0,0.6766304347826086,0.0
3,0.0,0.6485013623978202,0.0
4,0.0,0.6256830601092896,0.0
5,0.0,0.6109589041095891,0.0
6,0.0,0.5989010989010989,0.0
7,0.0,0.5867768595041323,0.0
8,0.0,0.574585635359116,0.0
9,0.0,0.5623268698060941,0.0
10,0.0,0.55,0.0
11,0.0,0.5376044568245125,0.0
12,0.0,0.5251396648044693,0.0
13,0.0,0.5126050420168067,0.0
14,0.0,0.5,0.0
15,0.0,0.48732394366197185,0.0
16,0.0,0.4745762711864407,0.0
17,0.0,0.46175637393767704,0.0
18,0.0,0.44886363636363635,0.0
19,0.0,0.4358974358974359,0.0
20,0.0,0.4228571428571429,0.0
21,0.0,0.40974212034383956,0.0
22,0.0,0.39655172413793105,0.0
23,0.0,0.38328530259365995,0.0
24,0.0,0.3699421965317919,0.0
25,0.0,0.3565217391304348,0.0
26,0.0,0.3430232558139535,0.0
27,0.0,0.3294460641399417,0.0
28,0.0,0.3157894736842105,0.0
29,0.0,0.3020527859237537,0.0
30,0.0,0.28823529411764703,0.0
