Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.19444444444444445,1.0,0.45
2,0.11731843575418995,0.994413407821229,0.40782122905027934
3,0.09550561797752809,0.9887640449438202,0.3651685393258427
4,0.07909604519774012,0.9830508474576272,0.3220338983050847
5,0.06818181818181818,0.9772727272727273,0.2784090909090909
6,0.05142857142857143,0.9714285714285714,0.24
7,0.04597701149425287,0.9655172413793104,0.20689655172413793
8,0.03468208092485549,0.9595375722543352,0.1791907514450867
9,0.029069767441860465,0.9534883720930233,0.1569767441860465
10,0.023391812865497075,0.9473684210526315,0.13450292397660818
11,0.011764705882352941,0.9411764705882353,0.11176470588235295
12,0.005917159763313609,0.9349112426035503,0.09467455621301775
13,0.0,0.9285714285714286,0.07738095238095238
14,0.0,0.9221556886227545,0.059880239520958084
15,0.0,0.9156626506024096,0.04216867469879518
16,0.0,0.9090909090909091,0.024242424242424242
17,0.0,0.9024390243902439,0.012195121951219513
18,0.0,0.8957055214723927,0.0
19,0.0,0.8888888888888888,0.0
20,0.0,0.8819875776397516,0.0
21,0.0,0.875,0.0
22,0.0,0.8679245283018868,0.0
23,0.0,0.8607594936708861,0.0
24,0.0,0.8535031847133758,0.0
25,0.0,0.8461538461538461,0.0
26,0.0,0.8387096774193549,0.0
27,0.0,0.8311688311688312,0.0
28,0.0,0.8235294117647058,0.0
29,0.0,0.8157894736842105,0.0
30,0.0,0.8079470198675497,0.0
