TimeUS,CAN,CAE,CAD,CAe
 146191909, -0.00804993, 0.0005052765, 2.76808E-05, 0.007894455
 146245565, -0.01958681, 0.0008510164, 3.910284E-05, 0.009898149
 146300758, -0.01979635, 0.0005063419, -0.001146089, 0.01032292
 146355904, -0.02026915, 0.0003580574, -0.0003701755, 0.01022863
 146410604, -0.01977038, 0.0003097288, -0.001093994, 0.01023142
 146460633, -0.01857646, 0.0001984276, -0.0004780368, 0.009298938
 146515622, -0.02036065, 6.80632E-05, 0.0001219895, 0.01022565
 146570772, -0.02018881, 0.0004058592, -0.0007527631, 0.01022863
 146625604, -0.02041375, 0.0002390895, -0.0009744497, 0.01022974
 146680957, -0.02013833, -0.0002261951, -0.001317748, 0.01022863
 146735610, -0.02085583, 0.0004036474, -4.328888E-05, 0.01022826
 146790619, -0.02029144, 0.0005682469, -0.0002609802, 0.01022789
 146845573, -0.02038644, 0.0001273873, -0.000567381, 0.01022956
 146900681, -0.02021294, 0.0005784567, -0.0002089574, 0.0102277
 146955938, -0.02029171, 0.0006505101, -0.001165651, 0.01022863
 147006298, -0.01817857, 0.000496148, -0.001053271, 0.009298753
 147060598, -0.02023039, 0.0005389958, -0.0008947501, 0.01023216
 147115623, -0.02014502, 0.0004319868, -0.0004874179, 0.01022695
 147170667, -0.02055763, 0.0008367243, -0.0002191528, 0.01022844
 147225808, -0.0204491, -0.0001461588, -0.001027217, 0.01022881
 147280926, -0.02040364, 0.0004583862, -0.0005796663, 0.01022677
 147335776, -0.02060501, 6.732094E-05, -0.001318858, 0.01022863
 147390593, -0.02068063, 0.000288749, -0.001093114, 0.01022863
 147445613, -0.02018366, 0.0002515175, -0.0009663234, 0.01023142
 147500584, -0.02024018, 0.0006546714, -0.0001533212, 0.01022584
 147555933, -0.02009146, 0.000182067, -0.001522581, 0.0102303
 147608084, -0.01930718, 0.0005010383, -0.0003718444, 0.009764434
 147663031, -0.02044457, 0.0005696655, -0.0006594644, 0.01022621
 147718692, -0.02028171, 0.0006871589, -0.0007282599, 0.01022863
 147773055, -0.01999814, 0.000270105, -0.0005586288, 0.010229
 147828035, -0.01994676, 0.0009712034, -0.00123858, 0.01022881
 147883058, -0.02028717, 0.0005330127, -0.0009232362, 0.01022807
 147933047, -0.01870678, 0.0009521151, -0.0002460449, 0.009298752
 147988086, -0.02030098, 0.0006213681, -0.001033082, 0.01022863
 148043532, -0.0205026, 0.0005213268, -0.0008501028, 0.01022863
 148098055, -0.02005398, 0.0002273792, -0.0001303447, 0.01022919
 148153075, -0.02039333, 0.0005263204, -6.238114E-05, 0.01023179
 148208077, -0.01959485, 0.0005736515, -0.0006845872, 0.01022491
 148263035, -0.02018545, 0.0007136742, -0.0006866803, 0.0102316
 148318507, -0.02030837, 0.0004217247, -0.0009024149, 0.01022565
 148373022, -0.01969391, 0.0008404329, -0.0003850408, 0.01022993
 148428063, -0.02011861, 0.0004199682, -0.001570595, 0.01022733
 148483116, -0.02019538, -1.131431E-05, -0.0004906739, 0.01022863
 148533048, -0.01857526, 0.0002002554, -0.0007691323, 0.009300055
 148588038, -0.02022938, 0.0004778592, -0.0006883629, 0.01022733
 148643957, -0.02071692, 0.0002592556, -0.0005318489, 0.01022863
 148698046, -0.020513, -0.0001349748, -0.001027323, 0.01022863
 148753097, -0.02060058, 0.0005962101, -0.0003449075, 0.01022937
 148808065, -0.02054808, 0.0003186496, -0.001003792, 0.01022788
 148863020, -0.02067898, 0.0001035327, -0.0006180691, 0.010229
 148918518, -0.02036429, 0.0003591099, -0.0009338228, 0.01022826
 148973062, -0.02087487, 0.0003524357, -0.0007043902, 0.01023235
 149028040, -0.02024185, 0.0005269598, -0.0006563287, 0.01022491
 149083087, -0.02053521, 0.0002067966, -0.0006575956, 0.01022919
 149133086, -0.01839236, 0.0007277375, -0.0006034487, 0.009298195
 149188066, -0.02058263, 9.658773E-05, -0.001073034, 0.01022863
 149243527, -0.02061304, 4.449245E-05, -0.0007847633, 0.01022993
 149298021, -0.02075362, 0.0006642707, -0.0006734543, 0.01022733
 149353060, -0.01999239, 6.216763E-05, -0.001018332, 0.01023086
 149408067, -0.02262546, -0.001088877, 0.001149726, 0.01022695
 149463022, -0.01466712, 0.00334389, -0.003522077, 0.01022807
 149518733, -0.02366451, -0.001430796, 0.0009721909, 0.01022863
 149573070, -0.0197337, 0.001128544, -0.0005419193, 0.01022919
 149628070, -0.02104861, 0.00100429, -0.0009976818, 0.01022844
 149678030, -0.01920351, 0.0002197493, -0.0006651817, 0.009298753
 149733054, -0.02015627, 0.0005772276, -0.0004624459, 0.010229
 149788099, -0.02187067, 0.0002716504, -0.0001157964, 0.01022788
 149843548, -0.01856008, 0.000513753, -0.0007400683, 0.01022863
 149898040, -0.0263817, -0.0005176119, -0.001713141, 0.01023012
 149953068, -0.01980247, 0.001849922, -0.008379672, 0.01022919
 150008287, -0.0146263, 0.0008063043, 0.003524945, 0.01022788
 150063063, -0.02155971, -0.00249295, 0.009971911, 0.01023012
 150118553, -0.01859975, 0.003097636, -0.001199605, 0.01022993
 150173061, -0.02042675, 0.0007348554, -0.002075393, 0.0102264
 150228056, -0.0200502, -7.39859E-05, -0.0006450755, 0.01022807
 150278083, -0.02246766, -0.001172614, -0.0009715719, 0.009298753
 150333082, -0.02420918, 0.0006324679, -0.002430977, 0.01022937
 150388056, -0.0190168, 0.0016978, -0.0009217855, 0.01023123
 150443557, -0.01612946, 0.001601042, -0.0004273861, 0.01022547
 150497998, -0.01724412, 0.0004268073, -0.0001743168, 0.01022714
 150553048, -0.02032718, 0.0004125514, -0.0005425718, 0.01022919
 150608020, -0.0240561, 0.0007474688, -0.0004574879, 0.01023049
 150663018, -0.02402556, 9.85368E-05, -0.001979402, 0.01022751
 150718476, -0.02003487, 0.0005736526, 0.001758576, 0.01023049
 150773009, -0.01763415, 0.0003374216, -0.001345965, 0.01022919
 150823052, -0.01737987, 0.001355381, -0.0005711982, 0.009298009
 150877981, -0.02051397, 0.001333227, -0.0008052466, 0.01022565
 150933030, -0.01916204, 0.0009056661, -0.001570572, 0.01022863
 150987998, -0.0190623, 0.0001722854, 0.002761632, 0.01022863
 151043468, -0.02362255, 2.301057E-05, -0.001331214, 0.01022993
 151097996, -0.02124302, 0.0004266584, -0.0008687634, 0.01022789
 151152984, -0.01989996, 0.001523736, -0.001600986, 0.01022881
 151208027, -0.01968144, -0.001286502, 0.0007809734, 0.01022788
 151262986, -0.02017166, 0.0006497913, -9.041739E-05, 0.01022863
 151318664, -0.02120742, 0.001153173, -0.002647872, 0.01022863
 151373234, -0.02022539, 0.0006237948, -0.001290334, 0.01023012
 151422968, -0.01741037, -0.0002324213, 0.0002531112, 0.009297265
 151478027, -0.02225989, 0.0005986078, -0.001793121, 0.01022863
 151533010, -0.02182886, 0.0009505977, -0.001404606, 0.01023142
 151588043, -0.01915581, 0.0003809905, -0.0006590253, 0.01022584
 151643492, -0.01783033, -0.0007262367, 0.000670389, 0.01022881
 151697983, -0.02151355, 0.0005838293, -0.001183197, 0.01022826
 151753012, -0.02283018, 0.001105886, -0.002428561, 0.01022956
 151808010, -0.02153812, -0.0006069045, -4.905002E-05, 0.01022788
 151862971, -0.01733298, 0.0003602565, 0.0008571101, 0.01022863
 151918477, -0.0201273, -0.0002086642, -0.0004365132, 0.01022863
 151972970, -0.02238073, 0.001283613, -0.003500449, 0.01022956
 152022983, -0.01917585, 0.0006862127, -0.0004929633, 0.009299126
 152078003, -0.01883608, -0.0006232532, 2.353329E-05, 0.01022733
 152133024, -0.01957788, 0.0007278556, -0.001929317, 0.01022863
 152188025, -0.0203745, 0.001578547, -0.002723684, 0.01022919
 152243498, -0.02161413, 0.001104051, -0.0004642417, 0.01022863
 152298009, -0.02128766, -0.0009834286, 0.002272157, 0.01022956
 152353059, -0.02059253, 0.0002512537, -0.001165565, 0.0102277
 152408017, -0.01897915, 0.001562996, -0.002450231, 0.01022937
 152463017, -0.01968285, 0.001343915, -0.001893192, 0.01022881
 152518469, -0.01982639, 0.0002564183, 0.001280627, 0.010229
 152573017, -0.02089325, 5.884614E-05, -0.0004654176, 0.01022863
 152623065, -0.02092003, 0.0005290676, -0.002004986, 0.009302286
 152677996, -0.01931604, 0.0002214387, 4.365796E-05, 0.01022324
 152733010, -0.02110232, -0.0004248767, 9.404421E-05, 0.01022937
 152787999, -0.02000484, 0.001733701, -0.0008550874, 0.01022844
 152843844, -0.02225455, 0.0007039377, -0.001675063, 0.01022937
 152898061, -0.01988112, 0.0003455021, 0.0003622872, 0.01022733
 152953011, -0.01997818, -0.001350221, 0.001669695, 0.01023198
 153008003, -0.02085911, 0.0003139625, -0.0005692306, 0.01022658
 153063010, -0.02150626, 0.002221148, -0.002404436, 0.01022863
 153118698, -0.02140371, -0.0005088252, -0.0004335326, 0.01022919
 153168498, -0.01602653, -0.0002728514, 0.001365854, 0.009298195
 153223013, -0.01938109, 0.001063966, -0.002078032, 0.01022993
 153277991, -0.02258422, -0.0001892092, -0.0009027402, 0.01022733
 153333009, -0.02125051, 0.001647879, -0.001611943, 0.01022863
 153388053, -0.02066021, -0.0001534912, -9.967131E-05, 0.01022733
 153443471, -0.01952141, -0.000567714, 0.001049597, 0.01022863
 153497983, -0.02193177, 0.001484346, -0.001942888, 0.01022863
 153553001, -0.01873869, 0.001398505, -0.0007409477, 0.01023216
 153608013, -0.01990522, -0.0001948055, -0.0001045972, 0.0102251
 153662999, -0.01968485, -0.0004974351, -0.0006327041, 0.01022974
 153718472, -0.02207145, 0.0008120683, -0.001357561, 0.01022751
 153768470, -0.02008919, 0.001006447, -0.0002813772, 0.009298753
 153822992, -0.01811878, -0.0002228815, -0.0001566849, 0.01023123
 153878005, -0.01961961, 5.189699E-05, -2.050967E-05, 0.01022993
 153933005, -0.02149479, 0.001275734, -0.001875307, 0.01022528
 153987978, -0.02223042, 0.001788746, 8.33238E-05, 0.01023012
 154043487, -0.02038355, -0.001570735, 0.0009761413, 0.01022789
 154097984, -0.0180948, 1.635146E-05, -0.0005290044, 0.01022993
 154153053, -0.02012884, 0.001149537, -0.002224501, 0.01022714
 154208057, -0.02188952, 0.001409149, -0.0006391254, 0.01022751
 154262979, -0.02051628, 8.834375E-05, -1.099135E-06, 0.01022863
 154318489, -0.02036783, -0.0009647016, 8.080529E-05, 0.01022956
 154368453, -0.01911338, 0.0009245485, -0.001360142, 0.009297824
 154423049, -0.02035482, 0.001119091, -0.002207247, 0.01022844
 154478011, -0.01922512, -0.0009356255, 0.0007212992, 0.010229
 154533027, -0.01948879, -0.00018183, -7.253802E-05, 0.010229
 154587970, -0.02157945, 0.001137666, -0.0008714839, 0.01022844
 154643505, -0.02229269, 0.001034627, -0.001790073, 0.01022826
 154698021, -0.0218455, -5.107417E-05, 0.0005061364, 0.01022863
 154752990, -0.01878218, -0.0002542119, 0.0008412965, 0.01022937
 154808005, -0.02023754, 0.0008982588, -0.002257441, 0.01022788
