TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 85823898, -0.08544806, 0.0138354, 0.009455627, -0.0107378, -0.01467269, 0.007175292, 0.007760096, -0.01082374
 86044017, -0.01352827, 0.01020313, 0.007912489, -0.01104992, -0.08544806, 0.0138354, 0.009455627, -0.0107378
 86223998, -0.02634677, 0.01038532, 0.0080938, -0.01111296, -0.01352827, 0.01020313, 0.007912489, -0.01104992
 86423888, -0.02170573, 0.009331048, 0.008215424, -0.01135909, -0.02634677, 0.01038532, 0.0080938, -0.01111296
 86624104, -0.005935383, 0.0116397, 0.008234596, -0.01154683, -0.02170573, 0.009331048, 0.008215424, -0.01135909
 86823879, -0.006623145, 0.007235306, 0.008140083, -0.01138529, -0.005935383, 0.0116397, 0.008234596, -0.01154683
 87023887, -0.02618027, 0.00622201, 0.008087368, -0.01107567, -0.006623145, 0.007235306, 0.008140083, -0.01138529
 87223896, -0.1607034, -0.004214315, 0.01311001, -0.0122571, -0.02618027, 0.00622201, 0.008087368, -0.01107567
 87423888, -0.02408382, 0.003508202, 0.00795743, -0.01091782, -0.1607034, -0.004214315, 0.01311001, -0.0122571
 87623909, -0.02181318, 0.004039572, 0.008250343, -0.01136705, -0.02408382, 0.003508202, 0.00795743, -0.01091782
 87823903, -0.02141335, 0.01557527, 0.00835386, -0.01153022, -0.02181318, 0.004039572, 0.008250343, -0.01136705
 88043908, -0.1248235, 0.05109185, 0.01174889, -0.01198097, -0.02141335, 0.01557527, 0.00835386, -0.01153022
 88223896, -0.01842783, 0.01757744, 0.008088476, -0.01119926, -0.1248235, 0.05109185, 0.01174889, -0.01198097
 88423889, -0.0110598, 0.007059617, 0.007546977, -0.01047049, -0.01842783, 0.01757744, 0.008088476, -0.01119926
 88623944, 1.09239E-05, 0.006599933, 0.007960348, -0.01109927, -0.0110598, 0.007059617, 0.007546977, -0.01047049
 88823891, 0.00507, 0.004733107, 0.008055839, -0.01121796, 1.09239E-05, 0.006599933, 0.007960348, -0.01109927
 89023906, -0.007872684, 0.00977095, 0.008028043, -0.01116523, 0.00507, 0.004733107, 0.008055839, -0.01121796
 89223896, -0.01094621, 0.009386829, 0.008111066, -0.01123038, -0.007872684, 0.00977095, 0.008028043, -0.01116523
 89423885, -0.006487855, 0.007116091, 0.008057076, -0.0111938, -0.01094621, 0.009386829, 0.008111066, -0.01123038
 89623911, -0.005888805, 0.006760657, 0.007813968, -0.01084865, -0.006487855, 0.007116091, 0.008057076, -0.0111938
 89824018, -0.008286205, 0.01218577, 0.008221465, -0.01143046, -0.005888805, 0.006760657, 0.007813968, -0.01084865
 90023904, -0.006335591, 0.007066845, 0.008037105, -0.01115027, -0.008286205, 0.01218577, 0.008221465, -0.01143046
 90223899, -0.007088247, 0.006317887, 0.007982261, -0.01105188, -0.006335591, 0.007066845, 0.008037105, -0.01115027
 90423913, -0.008137384, 0.007164381, 0.008047742, -0.01113583, -0.007088247, 0.006317887, 0.007982261, -0.01105188
 90623986, -0.008088324, 0.006997501, 0.007999955, -0.01105861, -0.008137384, 0.007164381, 0.008047742, -0.01113583
 90824107, -0.008063601, 0.007304064, 0.008060761, -0.01114442, -0.008088324, 0.006997501, 0.007999955, -0.01105861
 91023917, -0.008089342, 0.007899022, 0.008149007, -0.0112657, -0.008063601, 0.007304064, 0.008060761, -0.01114442
 91223903, -0.00791226, 0.007759069, 0.007975444, -0.01101846, -0.008089342, 0.007899022, 0.008149007, -0.0112657
 91423901, -0.007879285, 0.007542144, 0.008002398, -0.01105678, -0.00791226, 0.007759069, 0.007975444, -0.01101846
 91624142, -0.007576412, 0.007227581, 0.007925288, -0.01093433, -0.007879285, 0.007542144, 0.008002398, -0.01105678
 91823904, -0.007553406, 0.00718856, 0.00791134, -0.01091365, -0.007576412, 0.007227581, 0.007925288, -0.01093433
 92023913, -0.007654004, 0.006801948, 0.007911042, -0.01090192, -0.007553406, 0.00718856, 0.00791134, -0.01091365
 92223917, -0.007761088, 0.007131889, 0.007965693, -0.01097994, -0.007654004, 0.006801948, 0.007911042, -0.01090192
 92423888, -0.008020142, 0.007466796, 0.008218397, -0.01131712, -0.007761088, 0.007131889, 0.007965693, -0.01097994
 92623920, -0.008249758, 0.007878992, 0.008190005, -0.01127552, -0.008020142, 0.007466796, 0.008218397, -0.01131712
 92823919, -0.007847037, 0.007903274, 0.00809061, -0.01113379, -0.008249758, 0.007878992, 0.008190005, -0.01127552
 93023911, -0.007896826, 0.007988385, 0.008119464, -0.01117421, -0.007847037, 0.007903274, 0.00809061, -0.01113379
 93223905, -0.008080085, 0.007767838, 0.008139663, -0.01119139, -0.007896826, 0.007988385, 0.008119464, -0.01117421
 93424015, -0.007531158, 0.007121105, 0.007997171, -0.01098799, -0.008080085, 0.007767838, 0.008139663, -0.01119139
 93623920, -0.00748103, 0.007060078, 0.007949323, -0.01091873, -0.007531158, 0.007121105, 0.007997171, -0.01098799
 93823904, -0.007735564, 0.007387063, 0.008071127, -0.01108634, -0.00748103, 0.007060078, 0.007949323, -0.01091873
 94024103, -0.008438669, 0.007729854, 0.008579354, -0.01177469, -0.007735564, 0.007387063, 0.008071127, -0.01108634
 94223904, -0.008109586, 0.007338495, 0.008180646, -0.01122083, -0.008438669, 0.007729854, 0.008579354, -0.01177469
 94423944, -0.007618471, 0.007384402, 0.007990446, -0.01094703, -0.008109586, 0.007338495, 0.008180646, -0.01122083
 94624018, -0.007505885, 0.007418369, 0.008599193, -0.01178873, -0.007618471, 0.007384402, 0.007990446, -0.01094703
 94843994, -0.007314001, 0.007274448, 0.008017011, -0.01100441, -0.007505885, 0.007418369, 0.008599193, -0.01178873
 95024126, -0.008250577, 0.008801265, 0.008327357, -0.01140908, -0.007314001, 0.007274448, 0.008017011, -0.01100441
 95224030, -0.007274214, 0.00103802, 0.008367025, -0.01144489, -0.008250577, 0.008801265, 0.008327357, -0.01140908
 95423989, -0.0558311, -0.06485077, 0.008455651, -0.01264523, -0.007274214, 0.00103802, 0.008367025, -0.01144489
 95624016, -0.3334104, -0.5867625, 0.01155911, -0.04927314, -0.0558311, -0.06485077, 0.008455651, -0.01264523
 95843993, -0.0427224, -0.3301794, 0.006775406, -0.02653894, -0.3334104, -0.5867625, 0.01155911, -0.04927314
 96044012, -0.09444062, -1.768595, 0.001702056, -0.108053, -0.0427224, -0.3301794, 0.006775406, -0.02653894
 96244003, 0.3920605, -1.623704, 0.02633596, -0.09526997, -0.09444062, -1.768595, 0.001702056, -0.108053
 96443992, 1.13137, -1.67321, 0.0645747, -0.09469766, 0.3920605, -1.623704, 0.02633596, -0.09526997
 96624015, 1.510895, -1.526456, 0.08349853, -0.0872901, 1.13137, -1.67321, 0.0645747, -0.09469766
 96823921, 1.804909, -1.42447, 0.09819435, -0.08479192, 1.510895, -1.526456, 0.08349853, -0.0872901
 97043999, 1.996229, -1.171856, 0.1081573, -0.07859644, 1.804909, -1.42447, 0.09819435, -0.08479192
 97244018, 2.106401, -0.8512127, 0.1139574, -0.07421799, 1.996229, -1.171856, 0.1081573, -0.07859644
 97444001, 2.189544, -0.6235471, 0.1184868, -0.07430287, 2.106401, -0.8512127, 0.1139574, -0.07421799
 97643998, 2.236491, -0.4352884, 0.1216092, -0.07878067, 2.189544, -0.6235471, 0.1184868, -0.07430287
 97843993, 1.958317, -0.6674336, 0.1112749, -0.0858219, 2.236491, -0.4352884, 0.1216092, -0.07878067
 98043984, 1.673335, -0.731006, 0.100483, -0.08855073, 1.958317, -0.6674336, 0.1112749, -0.0858219
 98224115, 1.346835, -1.048581, 0.09012193, -0.09727162, 1.673335, -0.731006, 0.100483, -0.08855073
 98424018, 0.9038667, -1.324266, 0.07714298, -0.108019, 1.346835, -1.048581, 0.09012193, -0.09727162
 98624038, 0.8420599, -1.460852, 0.07862592, -0.1163719, 0.9038667, -1.324266, 0.07714298, -0.108019
 98824014, 0.2218876, -1.803732, 0.06876815, -0.1342165, 0.8420599, -1.460852, 0.07862592, -0.1163719
 99024002, 0.03344178, -1.883552, 0.07013369, -0.142104, 0.2218876, -1.803732, 0.06876815, -0.1342165
 99243989, -0.06462527, -2.050691, 0.07321943, -0.1543173, 0.03344178, -1.883552, 0.07013369, -0.142104
 99423919, -0.4902014, -2.422667, 0.0760615, -0.1760473, -0.06462527, -2.050691, 0.07321943, -0.1543173
 99624028, -0.831879, -2.773572, 0.07838748, -0.1957524, -0.4902014, -2.422667, 0.0760615, -0.1760473
 99823998, -0.9424465, -2.926999, 0.08135317, -0.2070161, -0.831879, -2.773572, 0.07838748, -0.1957524
 100044009, -1.306191, -3.174429, 0.08620793, -0.2226009, -0.9424465, -2.926999, 0.08135317, -0.2070161
 100243920, -1.424824, -3.343163, 0.09007713, -0.2316575, -1.306191, -3.174429, 0.08620793, -0.2226009
 100444029, -1.683494, -3.667058, 0.08992925, -0.2479891, -1.424824, -3.343163, 0.09007713, -0.2316575
 100644015, -1.258723, -4.449852, 0.1426609, -0.2500381, -1.683494, -3.667058, 0.08992925, -0.2479891
 100823996, -1.367773, -4.573485, 0.1483919, -0.2548079, -1.258723, -4.449852, 0.1426609, -0.2500381
 101044129, -1.351361, -4.854533, 0.1573083, -0.2644835, -1.367773, -4.573485, 0.1483919, -0.2548079
 101244100, -1.468818, -5.592781, 0.1659512, -0.2970723, -1.351361, -4.854533, 0.1573083, -0.2644835
 101424086, -1.645676, -5.7812, 0.1816895, -0.3017956, -1.468818, -5.592781, 0.1659512, -0.2970723
 101624107, -1.619011, -5.84571, 0.1856119, -0.3040054, -1.645676, -5.7812, 0.1816895, -0.3017956
 101824092, -1.160471, -5.484081, 0.1766182, -0.2883886, -1.619011, -5.84571, 0.1856119, -0.3040054
 102024089, -1.37465, -5.407866, 0.1850217, -0.2835458, -1.160471, -5.484081, 0.1766182, -0.2883886
 102244326, -1.540544, -5.341589, 0.1844683, -0.2840113, -1.37465, -5.407866, 0.1850217, -0.2835458
 102444082, -1.821658, -4.683187, 0.1854701, -0.2581435, -1.540544, -5.341589, 0.1844683, -0.2840113
 102644095, -1.744783, -4.478507, 0.1851578, -0.249742, -1.821658, -4.683187, 0.1854701, -0.2581435
 102824076, -1.206974, -4.060548, 0.1746302, -0.2332739, -1.744783, -4.478507, 0.1851578, -0.249742
 103024090, -0.8619398, -3.852857, 0.1710309, -0.2266944, -1.206974, -4.060548, 0.1746302, -0.2332739
 103244108, -0.8194911, -3.744199, 0.1724201, -0.2241082, -0.8619398, -3.852857, 0.1710309, -0.2266944
 103424300, -0.6602481, -3.846601, 0.1726268, -0.2285675, -0.8194911, -3.744199, 0.1724201, -0.2241082
 103624123, -0.6790652, -3.533104, 0.170229, -0.2201325, -0.6602481, -3.846601, 0.1726268, -0.2285675
 103824091, -0.6318116, -2.467722, 0.1669738, -0.1886768, -0.6790652, -3.533104, 0.170229, -0.2201325
 104044358, -0.5539162, -1.66536, 0.1659964, -0.1706339, -0.6318116, -2.467722, 0.1669738, -0.1886768
 104244093, -0.511356, -1.176893, 0.1668621, -0.1635737, -0.5539162, -1.66536, 0.1659964, -0.1706339
 104424093, -0.3093458, -0.6138724, 0.1660442, -0.1623724, -0.511356, -1.176893, 0.1668621, -0.1635737
 104644114, -0.01198793, -1.015186, 0.1693504, -0.171199, -0.3093458, -0.6138724, 0.1660442, -0.1623724
 104844091, -0.202366, -1.127459, 0.1731299, -0.1745573, -0.01198793, -1.015186, 0.1693504, -0.171199
 105044102, -0.1088705, -1.192099, 0.1787061, -0.17856, -0.202366, -1.127459, 0.1731299, -0.1745573
 105244094, -0.1917464, -1.280266, 0.1858382, -0.1829742, -0.1088705, -1.192099, 0.1787061, -0.17856
 105444091, -0.1350673, -1.225456, 0.1890721, -0.1848209, -0.1917464, -1.280266, 0.1858382, -0.1829742
 105644111, -0.4854064, -1.056783, 0.1940703, -0.1852918, -0.1350673, -1.225456, 0.1890721, -0.1848209
 105844306, -0.2412748, -0.5584422, 0.1980733, -0.1859135, -0.4854064, -1.056783, 0.1940703, -0.1852918
 106024671, -0.2089445, -0.5603483, 0.2014776, -0.1889662, -0.2412748, -0.5584422, 0.1980733, -0.1859135
 106244517, -0.09296124, -0.2192463, 0.20597, -0.1892948, -0.2089445, -0.5603483, 0.2014776, -0.1889662
 106444534, -0.3712732, -0.00532346, 0.2100501, -0.1928023, -0.09296124, -0.2192463, 0.20597, -0.1892948
 106644541, 0.04537983, 0.3391049, 0.2120412, -0.195252, -0.3712732, -0.00532346, 0.2100501, -0.1928023
 106844883, -0.1689233, 0.5584723, 0.2152247, -0.1985575, 0.04537983, 0.3391049, 0.2120412, -0.195252
 107045340, -0.4324438, 0.4787628, 0.2192625, -0.1991091, -0.1689233, 0.5584723, 0.2152247, -0.1985575
 107245098, -0.4081227, 0.5403689, 0.2201275, -0.200502, -0.4324438, 0.4787628, 0.2192625, -0.1991091
 107445104, -0.3378586, 0.4768758, 0.2208361, -0.2012704, -0.4081227, 0.5403689, 0.2201275, -0.200502
 107645687, -0.3759856, 0.7780567, 0.2219916, -0.204435, -0.3378586, 0.4768758, 0.2208361, -0.2012704
 107845538, -0.2508298, 0.466906, 0.2215212, -0.2020905, -0.3759856, 0.7780567, 0.2219916, -0.204435
 108045694, -0.1139777, 0.849608, 0.221818, -0.2048292, -0.2508298, 0.466906, 0.2215212, -0.2020905
 108245519, -0.002645807, 0.8852605, 0.2212397, -0.2055685, -0.1139777, 0.849608, 0.221818, -0.2048292
 108445540, 0.4696501, 0.7077923, 0.2240636, -0.2029975, -0.002645807, 0.8852605, 0.2212397, -0.2055685
 108645542, 0.3242118, 0.6241546, 0.2237218, -0.2037129, 0.4696501, 0.7077923, 0.2240636, -0.2029975
 108845533, 0.3577522, 0.6338425, 0.2238853, -0.2033687, 0.3242118, 0.6241546, 0.2237218, -0.2037129
 109045908, 0.3266641, 0.3024715, 0.2219899, -0.203418, 0.3577522, 0.6338425, 0.2238853, -0.2033687
 109247162, 0.4063133, 0.4851134, 0.2217274, -0.20405, 0.3266641, 0.3024715, 0.2219899, -0.203418
 109447472, 0.1452746, 0.1688673, 0.2219824, -0.204139, 0.4063133, 0.4851134, 0.2217274, -0.20405
 109647337, 0.3856724, 0.02355247, 0.2236823, -0.2039223, 0.1452746, 0.1688673, 0.2219824, -0.204139
 109847299, 0.04887411, 0.2902424, 0.2231763, -0.2049412, 0.3856724, 0.02355247, 0.2236823, -0.2039223
 110049714, -0.08729067, 0.2412761, 0.2241733, -0.2066595, 0.04887411, 0.2902424, 0.2231763, -0.2049412
 110250310, -0.2471084, -0.1721076, 0.2301885, -0.2044031, -0.08729067, 0.2412761, 0.2241733, -0.2066595
 110450429, -0.6399699, -0.1250883, 0.2591539, -0.1755123, -0.2471084, -0.1721076, 0.2301885, -0.2044031
 110650458, -0.5779027, -0.9321918, 0.3020172, -0.110083, -0.6399699, -0.1250883, 0.2591539, -0.1755123
 110850440, 0.4158664, -0.5244775, 0.3259464, -0.03616919, -0.5779027, -0.9321918, 0.3020172, -0.110083
 111050450, 1.610471, -0.7272741, 0.3459735, 0.01288273, 0.4158664, -0.5244775, 0.3259464, -0.03616919
 111250915, 0.140582, 1.274824, 0.3454224, 0.08057329, 1.610471, -0.7272741, 0.3459735, 0.01288273
 111450916, 1.165729, -1.135106, 0.3648876, 0.07768336, 0.140582, 1.274824, 0.3454224, 0.08057329
 111650805, 1.019947, -0.8960731, 0.3776486, 0.08077645, 1.165729, -1.135106, 0.3648876, 0.07768336
 111830788, 0.4750504, -0.5816445, 0.388326, 0.08570136, 1.019947, -0.8960731, 0.3776486, 0.08077645
 112031093, 0.240963, -0.960514, 0.4056812, 0.0913132, 0.4750504, -0.5816445, 0.388326, 0.08570136
 112231061, 0.3339399, -1.087762, 0.4200934, 0.09668602, 0.240963, -0.960514, 0.4056812, 0.0913132
 112431067, 0.8504869, -2.042531, 0.4485069, 0.1021203, 0.3339399, -1.087762, 0.4200934, 0.09668602
 112631101, 1.356495, -2.082776, 0.4732796, 0.1021177, 0.8504869, -2.042531, 0.4485069, 0.1021203
 112851089, 1.550218, -2.171664, 0.4948958, 0.1037752, 1.356495, -2.082776, 0.4732796, 0.1021177
 113053882, 2.368423, -2.239158, 0.5200324, 0.09451769, 1.550218, -2.171664, 0.4948958, 0.1037752
 113253866, 2.809863, -1.834078, 0.5420992, 0.09037004, 2.368423, -2.239158, 0.5200324, 0.09451769
 113454098, 2.437915, -1.591411, 0.5578434, 0.08827693, 2.809863, -1.834078, 0.5420992, 0.09037004
 113653885, 2.424108, -1.551224, 0.5715018, 0.08352415, 2.437915, -1.591411, 0.5578434, 0.08827693
