TimeUS,CAN,CAE,CAD,CAe,NAN,NAE,NAD,NAe,m10,m00,Gye
 140956331, -0.1043176, 0.01072059, -0.005962416, 0.07368652, -0.03286307, 0.003622991, 0.0003548269, 0.02996338, -0.9887673, -0.1051868, 90.42259
 141156333, -0.105761, 0.01028615, -0.001786979, 0.06762446, -0.03979404, 0.003901634, -0.0005585679, 0.03719446, -0.9888151, -0.1047497, 114.4603
 141356311, -0.1132916, 0.01128894, -0.004089453, 0.07485463, -0.0402768, 0.00439961, -0.003595989, 0.0371952, -0.9888648, -0.1043462, 126.6979
 141556332, -0.1140786, 0.01240124, -0.005519122, 0.07485572, -0.04049447, 0.005018006, -0.0008345386, 0.03719502, -0.9889156, -0.1039076, 126.6998
 141756317, -0.114274, 0.01323774, -0.00284745, 0.07485668, -0.04124728, 0.004439194, -0.002153297, 0.03719558, -0.9889555, -0.1035214, 126.7014
 141956375, -0.1148102, 0.01151406, -0.005036433, 0.07485502, -0.03857371, 0.003590878, -0.0002962392, 0.03719613, -0.9890003, -0.1030988, 126.6986
 142156432, -0.1135838, 0.01243766, -0.002568468, 0.07485648, -0.04016762, 0.00490761, -0.0005658572, 0.03719334, -0.9890443, -0.1026989, 126.7011
 142356303, -0.1160887, 0.01208536, -0.003045505, 0.07485481, -0.04111368, 0.003452753, -0.0003136252, 0.03719502, -0.989093, -0.1022357, 126.6982
 142556327, -0.1150699, 0.01131281, -0.001723471, 0.07485554, -0.0417327, 0.004763244, 0.001350053, 0.03719502, -0.9891307, -0.1018378, 126.6995
 142756292, -0.1157633, 0.01259638, -0.0009403026, 0.07485667, -0.04058727, 0.003289941, -2.17339E-05, 0.03719539, -0.9891716, -0.1014216, 126.7014
 142956334, -0.1144432, 0.01159417, -0.004361428, 0.07485499, -0.04230636, 0.004202245, -0.002849148, 0.03719465, -0.9892034, -0.1011072, 126.6986
 143156308, -0.1157143, 0.01133145, -0.004276465, 0.07485539, -0.04182465, 0.003467866, 0.000728125, 0.03719502, -0.9892352, -0.1007668, 126.6992
 143356314, -0.1152005, 0.01064099, -0.002843453, 0.07485501, -0.04005849, 0.005586877, -0.002639476, 0.03719502, -0.9892644, -0.1004876, 126.6986
 143556592, -0.112755, 0.01360706, -0.004923355, 0.07485557, -0.04118681, 0.006154525, 0.0007272799, 0.03719557, -0.9893034, -0.1001238, 126.6995
