TimeUS,gpSA,gpHA,gpVA
 85823898, 0.447, 1.453, 1.989
 86044017, 0.381, 1.453, 1.99
 86223998, 0.486, 1.456, 1.998
 86423888, 0.376, 1.457, 1.998
 86624104, 0.296, 1.456, 1.997
 86823879, 0.346, 1.455, 1.996
 87023887, 0.393, 1.453, 1.994
 87223896, 0.367, 1.452, 1.992
 87423888, 0.359, 1.451, 1.991
 87623909, 0.383, 1.449, 1.989
 87823903, 0.412, 1.448, 1.987
 88043908, 0.353, 1.446, 1.985
 88223896, 0.401, 1.443, 1.981
 88423889, 0.395, 1.442, 1.979
 88623944, 0.327, 1.44, 1.978
 88823891, 0.393, 1.443, 1.981
 89023906, 0.322, 1.442, 1.981
 89223896, 0.375, 1.443, 1.983
 89423885, 0.417, 1.443, 1.984
 89623911, 0.361, 1.441, 1.982
 89824018, 0.308, 1.439, 1.979
 90023904, 0.335, 1.437, 1.977
 90223899, 0.395, 1.435, 1.974
 90423913, 0.403, 1.433, 1.973
 90623986, 0.366, 1.431, 1.97
 90824107, 0.405, 1.432, 1.971
 91023917, 0.353, 1.432, 1.97
 91223903, 0.348, 1.431, 1.968
 91423901, 0.384, 1.429, 1.967
 91624142, 0.279, 1.427, 1.966
 91823904, 0.404, 1.426, 1.964
 92023913, 0.369, 1.425, 1.963
 92223917, 0.413, 1.424, 1.962
 92423888, 0.307, 1.424, 1.961
 92623920, 0.408, 1.423, 1.96
 92823919, 0.235, 1.421, 1.957
 93023911, 0.421, 1.421, 1.958
 93223905, 0.429, 1.423, 1.96
 93424015, 0.33, 1.424, 1.961
 93623920, 0.363, 1.424, 1.963
 93823904, 0.437, 1.426, 1.965
 94024103, 0.359, 1.427, 1.967
 94223904, 0.274, 1.426, 1.963
 94423944, 0.389, 1.425, 1.96
 94624018, 0.392, 1.423, 1.957
 94843994, 0.363, 1.421, 1.953
 95024126, 0.387, 1.42, 1.95
 95224030, 0.355, 1.419, 1.947
 95423989, 0.362, 1.419, 1.947
