TimeUS,gpSA,gpHA,gpVA
 146305887, 0.384, 1.606, 2.156
 146525787, 0.405, 1.605, 2.153
 146706528, 0.366, 1.603, 2.149
 146925590, 0.415, 1.602, 2.146
 147125609, 0.37, 1.601, 2.143
 147325615, 0.375, 1.599, 2.14
 147525633, 0.318, 1.597, 2.137
 147725579, 0.325, 1.594, 2.133
 147925588, 0.347, 1.592, 2.129
 148125620, 0.381, 1.59, 2.126
 148325786, 0.35, 1.587, 2.122
 148525583, 0.34, 1.585, 2.118
 148725588, 0.338, 1.583, 2.115
 148906602, 0.389, 1.581, 2.112
 149125598, 0.35, 1.579, 2.109
 149325798, 0.344, 1.578, 2.106
 149525591, 0.249, 1.576, 2.102
 149725609, 0.383, 1.574, 2.099
 149925617, 0.272, 1.572, 2.096
 150125774, 0.372, 1.571, 2.093
 150325634, 0.366, 1.569, 2.091
 150525536, 0.355, 1.568, 2.088
 150706262, 0.365, 1.567, 2.086
 150925525, 0.385, 1.566, 2.084
 151125566, 0.366, 1.565, 2.082
 151325542, 0.347, 1.563, 2.079
 151506210, 0.376, 1.562, 2.077
 151725542, 0.296, 1.56, 2.074
 151925564, 0.401, 1.56, 2.074
 152125576, 0.341, 1.559, 2.073
 152325552, 0.291, 1.558, 2.071
 152525575, 0.383, 1.557, 2.068
 152725521, 0.368, 1.556, 2.066
 152925554, 0.364, 1.554, 2.064
 153125556, 0.368, 1.553, 2.062
 153325570, 0.324, 1.55, 2.06
 153525716, 0.368, 1.548, 2.057
 153725555, 0.34, 1.546, 2.054
 153925576, 0.365, 1.543, 2.052
 154106234, 0.348, 1.541, 2.049
 154325532, 0.365, 1.54, 2.048
 154525536, 0.349, 1.539, 2.047
 154725554, 0.376, 1.538, 2.046
 154925543, 0.365, 1.537, 2.045
 155125577, 0.376, 1.536, 2.043
 155325653, 0.346, 1.534, 2.041
 155525752, 0.371, 1.533, 2.039
 155725564, 0.348, 1.53, 2.037
 155925549, 0.319, 1.529, 2.035
 156125549, 0.373, 1.528, 2.034
 156325550, 0.384, 1.527, 2.032
 156525558, 0.376, 1.527, 2.031
 156706245, 0.372, 1.524, 2.028
 156925528, 0.391, 1.523, 2.027
 157125582, 0.338, 1.522, 2.026
 157325707, 0.383, 1.522, 2.024
 157525555, 0.363, 1.521, 2.023
 157725711, 0.369, 1.521, 2.022
 157925567, 0.403, 1.52, 2.021
 158125589, 0.357, 1.52, 2.02
 158325544, 0.388, 1.519, 2.019
 158525539, 0.405, 1.519, 2.018
 158725540, 0.338, 1.519, 2.017
 158925562, 0.329, 1.519, 2.016
 159125730, 0.381, 1.519, 2.015
 159306361, 0.367, 1.519, 2.014
 159525549, 0.325, 1.519, 2.013
 159725564, 0.333, 1.519, 2.012
 159925544, 0.429, 1.52, 2.014
