THR,Frames,FPR,TPR,TTD
1,313,0.543859649122807,0.4140625,392
2,312,0.2631578947368421,0.0784313725490196,1974
3,311,0.05263157894736842,0.03543307086614173,1974
4,310,0.017543859649122806,0.011857707509881422,5127
5,309,0.0,0.0,0
6,308,0.0,0.0,0
7,307,0.0,0.0,0
8,306,0.0,0.0,0
9,305,0.0,0.0,0
10,304,0.0,0.0,0
11,303,0.0,0.0,0
12,302,0.0,0.0,0
13,301,0.0,0.0,0
14,300,0.0,0.0,0
15,299,0.0,0.0,0
16,298,0.0,0.0,0
17,297,0.0,0.0,0
18,296,0.0,0.0,0
19,295,0.0,0.0,0
20,294,0.0,0.0,0
21,293,0.0,0.0,0
22,292,0.0,0.0,0
23,291,0.0,0.0,0
24,290,0.0,0.0,0
25,289,0.0,0.0,0
