Threshold,ACCOF(FPR),ACCOF(TPR),GPSOF(FPR),GPSOF(TPR),ACCGPS(FPR),ACCGPS(TPR)
1,0.7543859649122807,0.63671875,0.14035087719298245,0.203125,0.0,0.01171875
2,0.49122807017543857,0.3764705882352941,0.10526315789473684,0.13333333333333333,0.0,0.0
3,0.2631578947368421,0.17716535433070865,0.07017543859649122,0.09448818897637795,0.0,0.0
4,0.12280701754385964,0.07905138339920949,0.05263157894736842,0.07114624505928854,0.0,0.0
5,0.05263157894736842,0.01984126984126984,0.03508771929824561,0.051587301587301584,0.0,0.0
6,0.017543859649122806,0.00398406374501992,0.017543859649122806,0.043824701195219126,0.0,0.0
7,0.0,0.004,0.0,0.036,0.0,0.0
8,0.0,0.0,0.0,0.028112449799196786,0.0,0.0
9,0.0,0.0,0.0,0.024193548387096774,0.0,0.0
10,0.0,0.0,0.0,0.020242914979757085,0.0,0.0
11,0.0,0.0,0.0,0.016260162601626018,0.0,0.0
12,0.0,0.0,0.0,0.012244897959183673,0.0,0.0
13,0.0,0.0,0.0,0.00819672131147541,0.0,0.0
14,0.0,0.0,0.0,0.00411522633744856,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
