Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.34332425068119893,0.0
2,0.2568306010928962,0.0
3,0.19452054794520549,0.0
4,0.14285714285714285,0.0
5,0.11294765840220386,0.0
6,0.09116022099447514,0.0
7,0.08033240997229917,0.0
8,0.07222222222222222,0.0
9,0.06406685236768803,0.0
10,0.05865921787709497,0.0
11,0.056022408963585436,0.0
12,0.05337078651685393,0.0
13,0.05070422535211268,0.0
14,0.0480225988700565,0.0
15,0.0453257790368272,0.0
16,0.04261363636363636,0.0
17,0.039886039886039885,0.0
18,0.037142857142857144,0.0
19,0.034383954154727794,0.0
20,0.031609195402298854,0.0
21,0.02881844380403458,0.0
22,0.02601156069364162,0.0
23,0.02318840579710145,0.0
24,0.020348837209302327,0.0
25,0.01749271137026239,0.0
26,0.014619883040935672,0.0
27,0.011730205278592375,0.0
28,0.008823529411764706,0.0
29,0.0058997050147492625,0.0
30,0.0029585798816568047,0.0
