TimeUS,COFN,COFE,CNe,CEe,POFN,POFE,PNe,PEe
 201987785, -0.0006294912, 0.006822162, 0.006736255, -0.009946797, -0.05196118, 0.05430876, 0.00783066, -0.01079991
 202196353, -0.1401641, -0.01188165, 0.01156688, -0.01135761, -0.01098612, 0.03147688, 0.006781774, -0.01023204
 202246356, -0.0006487069, 0.006881564, 0.006739052, -0.00994396, -0.1401641, -0.01188165, 0.01156688, -0.01135761
 202296371, -0.007966699, 0.008207532, 0.00676872, -0.009948823, -0.0006487069, 0.006881564, 0.006739052, -0.00994396
 202351481, 0.01255756, -0.003280127, 0.006799965, -0.009938825, -0.007966699, 0.008207532, 0.00676872, -0.009948823
 202401375, 0.05672254, -0.004266859, 0.007710417, -0.009989414, 0.01255756, -0.003280127, 0.006799965, -0.009938825
 202451619, -0.001575159, -0.03625856, 0.006309805, -0.009901031, 0.05672254, -0.004266859, 0.007710417, -0.009989414
 202506347, 0.006135775, 0.004970102, 0.006243994, -0.009196015, -0.001575159, -0.03625856, 0.006309805, -0.009901031
 202556352, -0.0005602904, 0.006217281, 0.006162878, -0.009087544, 0.006135775, 0.004970102, 0.006243994, -0.009196015
 202606364, 0.01091916, -0.04582156, 0.006403396, -0.01012278, -0.0005602904, 0.006217281, 0.006162878, -0.009087544
 202662682, 0.01537254, -0.02591321, 0.006691238, -0.009895088, 0.01091916, -0.04582156, 0.006403396, -0.01012278
 202711757, -0.02573559, 0.03435604, 0.007066265, -0.01032234, 0.01537254, -0.02591321, 0.006691238, -0.009895088
 202761751, -0.01234237, -0.01394644, 0.006887782, -0.01020024, -0.02573559, 0.03435604, 0.007066265, -0.01032234
 202816464, -0.0006577542, 0.00693683, 0.006914996, -0.01018574, -0.01234237, -0.01394644, 0.006887782, -0.01020024
 202866475, 0.0173281, -0.01961534, 0.006983341, -0.01019577, -0.0006577542, 0.00693683, 0.006914996, -0.01018574
 202916361, 0.01262181, -0.003322291, 0.006887063, -0.01005339, 0.0173281, -0.01961534, 0.006983341, -0.01019577
 202971359, 0.1031321, 0.03278354, 0.009308574, -0.0113698, 0.01262181, -0.003322291, 0.006887063, -0.01005339
 203021368, 0.0817512, -0.03920328, 0.009069472, -0.01060381, 0.1031321, 0.03278354, 0.009308574, -0.0113698
 203071364, -0.0006697028, 0.006818192, 0.006773405, -0.009974482, 0.0817512, -0.03920328, 0.009069472, -0.01060381
 203121370, -0.0006591029, 0.00679083, 0.006767345, -0.009964767, -0.0006697028, 0.006818192, 0.006773405, -0.009974482
 203176476, 0.02161912, -0.03517871, 0.006966192, -0.01030601, -0.0006591029, 0.00679083, 0.006767345, -0.009964767
 203226478, -0.00699865, 0.05379806, 0.006747232, -0.0108932, 0.02161912, -0.03517871, 0.006966192, -0.01030601
 203276491, -0.04447788, 0.06181413, 0.007718512, -0.01122678, -0.00699865, 0.05379806, 0.006747232, -0.0108932
 203331368, -0.0006040625, 0.006950493, 0.006907833, -0.01016704, -0.04447788, 0.06181413, 0.007718512, -0.01122678
 203381539, -0.01704463, 0.002234771, 0.006967817, -0.01011222, -0.0006040625, 0.006950493, 0.006907833, -0.01016704
 203431374, -0.007469569, 0.09348293, 0.006679764, -0.01258008, -0.01704463, 0.002234771, 0.006967817, -0.01011222
 203487132, -0.006751257, 0.01603462, 0.007024485, -0.01036707, -0.007469569, 0.09348293, 0.006679764, -0.01258008
 203536765, -0.04175743, 0.1148257, 0.007505873, -0.01344978, -0.006751257, 0.01603462, 0.007024485, -0.01036707
 203586937, -0.01915689, 0.02475241, 0.006726542, -0.009824468, -0.04175743, 0.1148257, 0.007505873, -0.01344978
 203641462, -0.0006035496, 0.006563785, 0.00651079, -0.009580323, -0.01915689, 0.02475241, 0.006726542, -0.009824468
 203691382, -0.01145023, -0.05031788, 0.006424751, -0.01061115, -0.0006035496, 0.006563785, 0.00651079, -0.009580323
 203741363, -0.04252625, 0.0591756, 0.007425286, -0.01079305, -0.01145023, -0.05031788, 0.006424751, -0.01061115
 203796361, -0.01048965, -0.006252945, 0.006704549, -0.009837799, -0.04252625, 0.0591756, 0.007425286, -0.01079305
 203846625, 0.05631006, 0.02645886, 0.007549565, -0.01059595, -0.01048965, -0.006252945, 0.006704549, -0.009837799
 203896458, -0.0007145474, 0.007031609, 0.00689295, -0.01013905, 0.05631006, 0.02645886, 0.007549565, -0.01059595
 203951476, -0.01591372, 0.00989992, 0.007081933, -0.01029079, -0.0007145474, 0.007031609, 0.00689295, -0.01013905
 204001497, 0.0163465, -0.02756904, 0.007136837, -0.01052841, -0.01591372, 0.00989992, 0.007081933, -0.01029079
 204051479, 0.01892842, 0.027209, 0.007077376, -0.01067802, 0.0163465, -0.02756904, 0.007136837, -0.01052841
 204106368, -0.08962695, 0.03986726, 0.009565651, -0.01105361, 0.01892842, 0.027209, 0.007077376, -0.01067802
 204156342, -0.0006951485, 0.007156365, 0.007114961, -0.01045866, -0.08962695, 0.03986726, 0.009565651, -0.01105361
 204206606, 0.0007222478, 0.01500996, 0.007119347, -0.01053187, -0.0006951485, 0.007156365, 0.007114961, -0.01045866
 204262718, 0.06720407, -0.01359503, 0.008487622, -0.01072814, 0.0007222478, 0.01500996, 0.007119347, -0.01053187
 204311815, 0.01552851, -0.0757113, 0.00713076, -0.01198848, 0.06720407, -0.01359503, 0.008487622, -0.01072814
 204362056, 0.01281403, 0.03661334, 0.007074988, -0.01093024, 0.01552851, -0.0757113, 0.00713076, -0.01198848
 204416523, -0.0007030342, 0.007233018, 0.007150968, -0.01050502, 0.01281403, 0.03661334, 0.007074988, -0.01093024
 204466600, 0.0085757, 0.01343411, 0.007153375, -0.01056155, -0.0007030342, 0.007233018, 0.007150968, -0.01050502
 204516349, -0.0133267, 0.02573154, 0.007224682, -0.01067049, 0.0085757, 0.01343411, 0.007153375, -0.01056155
 204571639, -0.01570066, -0.02993005, 0.00712902, -0.01081569, -0.0133267, 0.02573154, 0.007224682, -0.01067049
 204621499, 0.01982663, 0.1154922, 0.006496038, -0.01401582, -0.01570066, -0.02993005, 0.00712902, -0.01081569
 204671367, -0.01313478, 0.02560736, 0.007226479, -0.0106703, 0.01982663, 0.1154922, 0.006496038, -0.01401582
 204726481, -0.0006379418, 0.007249274, 0.007159621, -0.01051045, -0.01313478, 0.02560736, 0.007226479, -0.0106703
 204776487, -0.02801489, -0.0521814, 0.007083572, -0.01144512, -0.0006379418, 0.007249274, 0.007159621, -0.01051045
 204826505, -0.00061273, 0.007203591, 0.007161262, -0.01050977, -0.02801489, -0.0521814, 0.007083572, -0.01144512
 204876495, 0.04180088, 0.02274431, 0.007429684, -0.01070888, -0.00061273, 0.007203591, 0.007161262, -0.01050977
 204931366, 0.1189063, 0.02330178, 0.01028738, -0.0114803, 0.04180088, 0.02274431, 0.007429684, -0.01070888
 204981364, -0.0006744849, 0.006703505, 0.006706692, -0.009840929, 0.1189063, 0.02330178, 0.01028738, -0.0114803
 205031365, 0.006799887, -0.03113399, 0.006445519, -0.009779523, -0.0006744849, 0.006703505, 0.006706692, -0.009840929
 205086898, 0.03794589, 0.06210702, 0.006224533, -0.01095541, 0.006799887, -0.03113399, 0.006445519, -0.009779523
 205136738, 0.004009157, -0.04306501, 0.0061296, -0.009788954, 0.03794589, 0.06210702, 0.006224533, -0.01095541
 205186932, 0.003333481, 0.02723397, 0.006369643, -0.009691153, 0.004009157, -0.04306501, 0.0061296, -0.009788954
 205241616, -0.0005497923, 0.006694877, 0.006609275, -0.009694856, 0.003333481, 0.02723397, 0.006369643, -0.009691153
 205291376, 0.006763744, 0.005399016, 0.006816584, -0.009984159, -0.0005497923, 0.006694877, 0.006609275, -0.009694856
 205341373, 0.03646298, -7.238095E-05, 0.007315467, -0.01019335, 0.006763744, 0.005399016, 0.006816584, -0.009984159
 205396373, -0.006200625, -0.02279292, 0.006861495, -0.01027433, 0.03646298, -7.238095E-05, 0.007315467, -0.01019335
 205446375, 0.132506, -0.05633245, 0.01192954, -0.01130881, -0.006200625, -0.02279292, 0.006861495, -0.01027433
 205496498, -0.000652559, 0.006943251, 0.00693128, -0.01015791, 0.132506, -0.05633245, 0.01192954, -0.01130881
 205551463, -0.000549913, 0.007075947, 0.007016307, -0.01028069, -0.000652559, 0.006943251, 0.00693128, -0.01015791
 205601614, -0.02302245, 0.01121414, 0.00715207, -0.0102262, -0.000549913, 0.007075947, 0.007016307, -0.01028069
 205651473, -0.0006128239, 0.006871413, 0.006891084, -0.01009372, -0.02302245, 0.01121414, 0.00715207, -0.0102262
 205706372, -0.06553473, 0.03475119, 0.008461658, -0.01066153, -0.0006128239, 0.006871413, 0.006891084, -0.01009372
 205756465, -0.05136071, 0.03236216, 0.007975814, -0.01062995, -0.06553473, 0.03475119, 0.008461658, -0.01066153
 205806377, -0.0005818069, 0.006927045, 0.006944545, -0.01016843, -0.05136071, 0.03236216, 0.007975814, -0.01062995
 205862723, 0.02998873, 0.04731011, 0.006885005, -0.01097734, -0.0005818069, 0.006927045, 0.006944545, -0.01016843
 205911757, -0.03714192, -0.06369249, 0.006885833, -0.01166751, 0.02998873, 0.04731011, 0.006885005, -0.01097734
 205961902, -0.01536107, -0.02924907, 0.006986411, -0.01057276, -0.03714192, -0.06369249, 0.006885833, -0.01166751
 206016365, 0.006407211, 0.04486686, 0.006852366, -0.01083318, -0.01536107, -0.02924907, 0.006986411, -0.01057276
 206066361, -0.0006352245, 0.006908739, 0.006902572, -0.01010093, 0.006407211, 0.04486686, 0.006852366, -0.01083318
 206116352, -0.02453428, 0.003741265, 0.007172809, -0.01022417, -0.0006352245, 0.006908739, 0.006902572, -0.01010093
 206171459, -0.008277112, 0.008424385, 0.007074457, -0.01031223, -0.02453428, 0.003741265, 0.007172809, -0.01022417
 206221463, -0.02508149, 0.04270944, 0.007235506, -0.01070093, -0.008277112, 0.008424385, 0.007074457, -0.01031223
 206271462, 0.1035838, -0.01255673, 0.009973427, -0.01067799, -0.02508149, 0.04270944, 0.007235506, -0.01070093
 206326507, -0.000610881, 0.006835176, 0.006863244, -0.01003766, 0.1035838, -0.01255673, 0.009973427, -0.01067799
 206376491, 0.00073273, 0.01414699, 0.006832823, -0.01005894, -0.000610881, 0.006835176, 0.006863244, -0.01003766
 206426476, 0.01191258, 0.07436857, 0.006648552, -0.01186022, 0.00073273, 0.01414699, 0.006832823, -0.01005894
 206476488, 0.0008680933, -0.02455851, 0.006976096, -0.0104437, 0.01191258, 0.07436857, 0.006648552, -0.01186022
 206531461, -0.04353689, 0.03027399, 0.00775936, -0.01061422, 0.0008680933, -0.02455851, 0.006976096, -0.0104437
 206581526, -0.002278767, -0.0004977484, 0.007102356, -0.01037107, -0.04353689, 0.03027399, 0.00775936, -0.01061422
 206631360, -0.000915801, 0.007044825, 0.007130805, -0.01042343, -0.002278767, -0.0004977484, 0.007102356, -0.01037107
 206686925, 0.06019047, 0.03539721, 0.007852115, -0.01122133, -0.000915801, 0.007044825, 0.007130805, -0.01042343
 206736763, -0.02230401, -0.02096784, 0.007222031, -0.01065448, 0.06019047, 0.03539721, 0.007852115, -0.01122133
 206786973, -0.1475748, 0.07449455, 0.01289492, -0.01218834, -0.02230401, -0.02096784, 0.007222031, -0.01065448
 206841488, -0.01906263, -0.005436168, 0.007261442, -0.01050913, -0.1475748, 0.07449455, 0.01289492, -0.01218834
 206891347, -0.0007109671, 0.007285444, 0.007172366, -0.01048835, -0.01906263, -0.005436168, 0.007261442, -0.01050913
 206941373, -0.01738457, -0.03766556, 0.00711764, -0.01096632, -0.0007109671, 0.007285444, 0.007172366, -0.01048835
 206996613, 0.03535948, -0.01574721, 0.007599866, -0.01058299, -0.01738457, -0.03766556, 0.00711764, -0.01096632
 207046377, 0.04941527, 0.05641789, 0.007253787, -0.01161122, 0.03535948, -0.01574721, 0.007599866, -0.01058299
 207096375, 0.05852041, 0.04162329, 0.007585022, -0.01116631, 0.04941527, 0.05641789, 0.007253787, -0.01161122
 207151471, -0.004975915, 0.009996747, 0.007061798, -0.01031101, 0.05852041, 0.04162329, 0.007585022, -0.01116631
 207201494, 0.01942444, 0.004057858, 0.007177251, -0.01037873, -0.004975915, 0.009996747, 0.007061798, -0.01031101
 207251473, -0.010633, 0.01009245, 0.007013076, -0.01021747, 0.01942444, 0.004057858, 0.007177251, -0.01037873
 207306377, -0.04326295, 0.02215449, 0.007586863, -0.01028054, -0.010633, 0.01009245, 0.007013076, -0.01021747
 207356635, -0.1006096, 0.002681572, 0.009703047, -0.01066326, -0.04326295, 0.02215449, 0.007586863, -0.01028054
 207406636, -0.0008058398, 0.006516845, 0.006837562, -0.01000495, -0.1006096, 0.002681572, 0.009703047, -0.01066326
 207462694, -0.00749321, 0.008073256, 0.006648479, -0.009694626, -0.0008058398, 0.006516845, 0.006837562, -0.01000495
 207511924, -0.02571409, 0.06089703, 0.006699461, -0.01055531, -0.00749321, 0.008073256, 0.006648479, -0.009694626
 207561751, 0.007054738, 0.04843988, 0.006337532, -0.01034789, -0.02571409, 0.06089703, 0.006699461, -0.01055531
 207616661, 0.06887624, -0.01398947, 0.008253636, -0.009939054, 0.007054738, 0.04843988, 0.006337532, -0.01034789
 207666359, 0.01335608, 0.004418213, 0.006853809, -0.009958537, 0.06887624, -0.01398947, 0.008253636, -0.009939054
 207716617, -0.0001887782, 0.006934911, 0.00689916, -0.01008685, 0.01335608, 0.004418213, 0.006853809, -0.009958537
 207771375, 0.002773353, -0.0549862, 0.00674385, -0.01094312, -0.0001887782, 0.006934911, 0.00689916, -0.01008685
 207821493, 0.01977904, 0.03302981, 0.00682222, -0.01042687, 0.002773353, -0.0549862, 0.00674385, -0.01094312
 207871369, 0.09326533, 0.005448469, 0.009305226, -0.01076827, 0.01977904, 0.03302981, 0.00682222, -0.01042687
 207926486, 0.03755994, 0.04667464, 0.007083681, -0.01110892, 0.09326533, 0.005448469, 0.009305226, -0.01076827
 207976474, -0.0004847359, 0.006569263, 0.006937303, -0.01013228, 0.03755994, 0.04667464, 0.007083681, -0.01110892
 208026499, 0.001990712, 0.02161466, 0.006912325, -0.01027338, -0.0004847359, 0.006569263, 0.006937303, -0.01013228
 208081459, -0.08290347, -0.01628754, 0.008757015, -0.01086036, 0.001990712, 0.02161466, 0.006912325, -0.01027338
 208131359, 0.02994631, -0.08604694, 0.00736087, -0.01222961, -0.08290347, -0.01628754, 0.008757015, -0.01086036
 208181465, -0.08656786, 0.05413657, 0.009515805, -0.01124353, 0.02994631, -0.08604694, 0.00736087, -0.01222961
 208231366, -0.0006628539, 0.007178828, 0.00713103, -0.01041027, -0.08656786, 0.05413657, 0.009515805, -0.01124353
 208286948, 0.000795469, 0.0150886, 0.007141804, -0.01049418, -0.0006628539, 0.007178828, 0.00713103, -0.01041027
 208336750, -0.01146617, -0.006766186, 0.007190982, -0.01046678, 0.000795469, 0.0150886, 0.007141804, -0.01049418
 208386934, -0.08361899, -0.009169284, 0.008960731, -0.01096863, -0.01146617, -0.006766186, 0.007190982, -0.01046678
 208441358, -0.03497045, -0.05030336, 0.007205595, -0.01140775, -0.08361899, -0.009169284, 0.008960731, -0.01096863
 208491468, -0.01801172, 0.002314749, 0.007283941, -0.01048433, -0.03497045, -0.05030336, 0.007205595, -0.01140775
 208541369, -0.0009575396, 0.007000484, 0.007186062, -0.01048138, -0.01801172, 0.002314749, 0.007283941, -0.01048433
 208596382, 0.06143631, -0.004063065, 0.00827474, -0.01068539, -0.0009575396, 0.007000484, 0.007186062, -0.01048138
 208646547, -0.0005284891, 0.007659149, 0.007193068, -0.01048681, 0.06143631, -0.004063065, 0.00827474, -0.01068539
 208696374, -0.09438913, -0.02387174, 0.009250709, -0.01136472, -0.0005284891, 0.007659149, 0.007193068, -0.01048681
 208751643, -0.05157485, -0.007594078, 0.007900313, -0.01069168, -0.09438913, -0.02387174, 0.009250709, -0.01136472
 208801506, -0.0002251335, 0.007411675, 0.007194996, -0.01048787, -0.05157485, -0.007594078, 0.007900313, -0.01069168
 208851494, -0.03267178, 0.005114823, 0.007479257, -0.01045483, -0.0002251335, 0.007411675, 0.007194996, -0.01048787
 208906373, -0.02627238, -0.003865269, 0.007221199, -0.01027482, -0.03267178, 0.005114823, 0.007479257, -0.01045483
 208956369, 0.0571621, 0.02693699, 0.007716272, -0.01072131, -0.02627238, -0.003865269, 0.007221199, -0.01027482
 209006375, -0.06268816, 0.003206243, 0.008118469, -0.01029288, 0.0571621, 0.02693699, 0.007716272, -0.01072131
 209062688, -0.0009363386, 0.007099059, 0.00688221, -0.01002005, -0.06268816, 0.003206243, 0.008118469, -0.01029288
 209111894, 0.01417022, 0.003754116, 0.006912489, -0.009987015, -0.0009363386, 0.007099059, 0.00688221, -0.01002005
 209161761, 0.02504154, 0.1464262, 0.005797503, -0.01560932, 0.01417022, 0.003754116, 0.006912489, -0.009987015
 209216376, 0.1087584, 0.02484142, 0.009771192, -0.01113564, 0.02504154, 0.1464262, 0.005797503, -0.01560932
 209266466, -0.09259734, -0.006110327, 0.009193927, -0.01039921, 0.1087584, 0.02484142, 0.009771192, -0.01113564
 209316479, -0.0008213676, 0.006392369, 0.006533023, -0.009505026, -0.09259734, -0.006110327, 0.009193927, -0.01039921
 209371393, -0.0004479081, 0.006476147, 0.006454435, -0.00939097, -0.0008213676, 0.006392369, 0.006533023, -0.009505026
 209421465, 0.02707122, 0.03803384, 0.006572003, -0.01018236, -0.0004479081, 0.006476147, 0.006454435, -0.00939097
 209471614, 0.08391889, -0.01702826, 0.009010674, -0.01014538, 0.02707122, 0.03803384, 0.006572003, -0.01018236
 209526490, 0.09950898, 0.05041702, 0.008966112, -0.01184761, 0.08391889, -0.01702826, 0.009010674, -0.01014538
 209576487, -0.008269623, 0.008388563, 0.006938553, -0.01004372, 0.09950898, 0.05041702, 0.008966112, -0.01184761
 209626497, -0.000819413, 0.007000265, 0.006874335, -0.009987853, -0.008269623, 0.008388563, 0.006938553, -0.01004372
 209681373, -0.01667145, 0.001778856, 0.007009323, -0.01004452, -0.000819413, 0.007000265, 0.006874335, -0.009987853
 209731376, 0.06239377, -0.02768735, 0.008340346, -0.01050744, -0.01667145, 0.001778856, 0.007009323, -0.01004452
 209781601, 0.006560455, -0.04108445, 0.007045773, -0.01074266, 0.06239377, -0.02768735, 0.008340346, -0.01050744
 209831636, 0.01676449, -0.02809767, 0.007237175, -0.01053916, 0.006560455, -0.04108445, 0.007045773, -0.01074266
 209886945, -0.0005821502, 0.007110811, 0.007103143, -0.01030707, 0.01676449, -0.02809767, 0.007237175, -0.01053916
 209936776, -0.03114927, 0.01262413, 0.00737679, -0.01026397, -0.0005821502, 0.007110811, 0.007103143, -0.01030707
 209991478, -0.03412224, 0.03671725, 0.007473937, -0.01053726, -0.03114927, 0.01262413, 0.00737679, -0.01026397
 210041474, 0.002359933, 0.02157538, 0.007040133, -0.01037984, -0.03412224, 0.03671725, 0.007473937, -0.01053726
 210091371, 0.02228498, 0.002951107, 0.007262688, -0.01035152, 0.002359933, 0.02157538, 0.007040133, -0.01037984
 210141459, -0.0007007168, 0.007289594, 0.007147068, -0.01036151, 0.02228498, 0.002951107, 0.007262688, -0.01035152
 210196374, 0.021968, 0.00262101, 0.007259576, -0.01034409, -0.0007007168, 0.007289594, 0.007147068, -0.01036151
 210246472, 0.0005924318, 0.01469073, 0.00700471, -0.01022093, 0.021968, 0.00262101, 0.007259576, -0.01034409
 210296510, -0.06353308, 0.04160675, 0.00841183, -0.01063958, 0.0005924318, 0.01469073, 0.00700471, -0.01022093
 210351522, -0.1143989, 0.0123111, 0.01056881, -0.01070055, -0.06353308, 0.04160675, 0.00841183, -0.01063958
 210401497, -0.0008096448, 0.007128622, 0.006889198, -0.009990868, -0.1143989, 0.0123111, 0.01056881, -0.01070055
 210451661, -0.0006337078, 0.006955565, 0.006867901, -0.009952416, -0.0008096448, 0.007128622, 0.006889198, -0.009990868
 210506676, -0.002274007, -0.0002913684, 0.006854147, -0.009915056, -0.0006337078, 0.006955565, 0.006867901, -0.009952416
 210556631, -0.03963654, -0.03869742, 0.007074832, -0.01064174, -0.002274007, -0.0002913684, 0.006854147, -0.009915056
 210606367, -0.02262726, 0.09447208, 0.006923972, -0.01237722, -0.03963654, -0.03869742, 0.007074832, -0.01064174
 210662964, -0.1045721, 0.02610193, 0.01017657, -0.01051293, -0.02262726, 0.09447208, 0.006923972, -0.01237722
 210711770, -0.001262758, 0.007311098, 0.006828822, -0.00990133, -0.1045721, 0.02610193, 0.01017657, -0.01051293
 210761799, 0.001751727, 0.02235517, 0.00680254, -0.01005056, -0.001262758, 0.007311098, 0.006828822, -0.00990133
 210816484, -0.01515459, 0.01011331, 0.00681233, -0.009760113, 0.001751727, 0.02235517, 0.00680254, -0.01005056
 210866633, -0.04920276, 0.01651182, 0.007441944, -0.009560498, -0.01515459, 0.01011331, 0.00681233, -0.009760113
 210916382, -0.04146474, -0.05646132, 0.006567631, -0.01084634, -0.04920276, 0.01651182, 0.007441944, -0.009560498
 210971468, -0.0002086663, 0.007059207, 0.006597584, -0.009554958, -0.04146474, -0.05646132, 0.006567631, -0.01084634
 211021382, -0.009316623, 0.003693319, 0.00657742, -0.009478598, -0.0002086663, 0.007059207, 0.006597584, -0.009554958
 211071460, -0.000505012, 0.02490502, 0.006329305, -0.009439782, -0.009316623, 0.003693319, 0.00657742, -0.009478598
 211126495, 0.02525647, -0.004368671, 0.006700599, -0.009369739, -0.000505012, 0.02490502, 0.006329305, -0.009439782
 211176513, 0.05786134, 0.05384445, 0.007090618, -0.01102425, 0.02525647, -0.004368671, 0.006700599, -0.009369739
 211226666, -0.002259167, 0.01512441, 0.00663927, -0.009692629, 0.05786134, 0.05384445, 0.007090618, -0.01102425
 211281495, 0.0004205016, 0.01778486, 0.006655088, -0.009808811, -0.002259167, 0.01512441, 0.00663927, -0.009692629
 211331482, 0.04271474, 0.02278879, 0.007206358, -0.01025479, 0.0004205016, 0.01778486, 0.006655088, -0.009808811
 211381589, -0.01264353, -0.1329453, 0.006055687, -0.01471483, 0.04271474, 0.02278879, 0.007206358, -0.01025479
 211436752, 0.008630026, -0.2163737, 0.005895702, -0.01975206, -0.01264353, -0.1329453, 0.006055687, -0.01471483
 211491517, -0.007244531, -0.2760099, 0.004921807, -0.02395887, 0.008630026, -0.2163737, 0.005895702, -0.01975206
 211541650, 0.07773806, -0.569625, 0.00818451, -0.04498953, -0.007244531, -0.2760099, 0.004921807, -0.02395887
 211596478, 0.01679094, -0.3531975, 0.005349274, -0.02912259, 0.07773806, -0.569625, 0.00818451, -0.04498953
