TimeUS,CAN,CAE,CAD,CAe
 68534261, -0.01881081, 0.004910422, 0.0002904397, 0.01022863
 69576168, -0.01684253, 0.004677266, 0.0009409643, 0.009298193
 69682385, -0.01720113, 0.004996825, 0.0006326594, 0.009300055
 69841009, -0.01906015, 0.005811029, 0.0009189979, 0.01022826
 69891186, -0.01704205, 0.005136898, 0.000896612, 0.009298939
 69941014, -0.01740976, 0.005404266, 0.0006002554, 0.009298009
 69996211, -0.01892165, 0.004882047, 0.0006015947, 0.01022863
 70046041, -0.01690039, 0.004781586, -0.0002973907, 0.009298753
 70101195, -0.01895622, 0.005605486, 0.001246575, 0.01022863
 70151197, -0.01687024, 0.004323349, 0.0003874172, 0.009299497
 70207213, -0.01865806, 0.005750285, 0.0002104575, 0.01022788
 70256351, -0.01667707, 0.004203606, 0.001031285, 0.009298753
 70306355, -0.01725578, 0.004207223, 0.0003200179, 0.009299497
 70361017, -0.01949367, 0.004956358, 0.0004703902, 0.01023216
 70413444, -0.0175377, 0.005109407, 0.0005801183, 0.009759413
 70463496, -0.01688815, 0.004826437, 0.0003155707, 0.009299869
 70519387, -0.01855948, 0.005036199, 0.000574515, 0.01022751
 70569838, -0.01697025, 0.003969295, 0.001432319, 0.009298752
 70623520, -0.01904279, 0.005031025, 0.001012677, 0.01022881
 70673512, -0.01727962, 0.004829325, 0.0004572872, 0.009298567
 70728463, -0.0192787, 0.00515327, 0.0002911513, 0.01022937
 70778452, -0.01676685, 0.004803329, 0.0009035839, 0.009298567
 70828469, -0.0169825, 0.004119353, 0.0003507361, 0.009298195
 70883468, -0.01854252, 0.005618657, 0.0006164417, 0.01022844
 70933501, -0.01714297, 0.004351598, 0.0008142632, 0.009299496
 70988484, -0.01878392, 0.004961948, 0.0005891302, 0.01022844
 71038498, -0.01718362, 0.004155082, 0.0006605391, 0.009301357
 71094368, -0.01874413, 0.0052798, 0.0004888028, 0.01022565
 71143922, -0.0174703, 0.004493119, 0.0007681947, 0.009300055
 71198474, -0.0183785, 0.004917957, 0.0006447805, 0.01022733
 71248511, -0.01730402, 0.004491353, 0.0004147573, 0.0093021
 71303497, -0.0191998, 0.004983657, 0.0007382213, 0.0102264
 71353494, -0.01694682, 0.00421106, 0.0003414395, 0.009297451
 71403491, -0.016872, 0.004508574, 0.000113048, 0.009298939
 71458484, -0.01854571, 0.005094563, 0.0007147145, 0.01022863
 71508491, -0.017311, 0.004550422, 0.0003827042, 0.00930024
 71563464, -0.01894635, 0.005137582, 0.0002672965, 0.01022714
 71613516, -0.01757794, 0.004490889, 0.0003441985, 0.009299311
 71663495, -0.01746869, 0.004335673, 0.0008007451, 0.009298196
 71718931, -0.01902894, 0.004796532, 0.0006984787, 0.01022863
 71769879, -0.01685827, 0.004891543, 0.0005702894, 0.009298753
 71823470, -0.0195353, 0.004893811, 0.0009868293, 0.01022919
 71873478, -0.017321, 0.004320122, 0.0002763644, 0.009298195
 71928522, -0.01920135, 0.005209018, 0.0004183268, 0.01022863
 71978459, -0.01714244, 0.004638224, 0.0004802592, 0.009299312
 72033481, -0.01887579, 0.005567644, -0.0003306285, 0.01022826
 72083481, -0.01735792, 0.004558062, 0.0003163976, 0.009298566
 72133498, -0.01663706, 0.004389751, 0.0002239966, 0.009299126
 72188469, -0.01925551, 0.005074669, 0.0008101532, 0.01022826
 72238457, -0.01751002, 0.004876348, 0.001058149, 0.009300055
 72294394, -0.01893896, 0.004993706, 0.0006029072, 0.0102277
 72343923, -0.01762202, 0.004642963, 0.0002966413, 0.009299496
 72398497, -0.01990619, 0.005105944, 0.0008817717, 0.01022956
 72448462, -0.01754455, 0.004352418, 0.0001833732, 0.009297266
 72498444, -0.01725373, 0.004386634, 0.0006764308, 0.009299497
 72553490, -0.01931101, 0.005323757, 0.0005486317, 0.01022733
 72603549, -0.01755319, 0.004521248, -0.0001017716, 0.009298753
 72658492, -0.01894487, 0.004517123, 0.0004075228, 0.01022974
 72708485, -0.01723131, 0.004264805, 0.0007670966, 0.009298381
 72763464, -0.01894234, 0.005247019, 0.0006078797, 0.01022844
 72813464, -0.01744101, 0.004845545, -0.00017931, 0.009299869
 72869356, -0.01947379, 0.004905183, 0.0001833042, 0.01022695
 72919070, -0.01737103, 0.004836876, 0.0009111591, 0.009298939
 72969843, -0.01766668, 0.004638978, 0.001002999, 0.009299125
 73023467, -0.01930353, 0.004983885, 0.0003467938, 0.01022826
 73073526, -0.01713132, 0.004364721, 0.0001999844, 0.009298753
 73128444, -0.01967823, 0.004806385, 0.0008778021, 0.01022844
 73178464, -0.01690773, 0.004614105, 0.0002522219, 0.009298753
 73233713, -0.01949366, 0.004707987, 0.0002397991, 0.01022919
 73283516, -0.01744707, 0.00457798, -1.172858E-05, 0.009300614
 73333476, -0.01694599, 0.004550769, 0.0001944709, 0.009296335
 73388510, -0.01949623, 0.004220132, 0.0001507376, 0.01022974
 73444343, -0.01889049, 0.00485153, 0.0004209221, 0.01022751
 73494408, -0.01665756, 0.004492568, 0.0006545178, 0.009298753
