TimeUS,CGpN,CGpE,CGpD,CGpe,PGpN,PGpE,PGpD,PGpe
 222311188, 0.042, 0.039, -0.032, 1.222, 0.026, -0.052, -0.06900001, 1.221
 222511163, -0.012, 0.001, 0.005, 1.223, 0.042, 0.039, -0.032, 1.222
 222711166, -0.004, -0.002, 0.016, 1.224, -0.012, 0.001, 0.005, 1.223
 222911145, 0.02, -0.034, 0.019, 1.225, -0.004, -0.002, 0.016, 1.224
 223111168, -0.02, 0.001, -0.055, 1.224, 0.02, -0.034, 0.019, 1.225
 223311185, 0.022, 0.041, -0.025, 1.224, -0.02, 0.001, -0.055, 1.224
 223511424, 0.005, 0.047, -0.016, 1.224, 0.022, 0.041, -0.025, 1.224
 223711176, 0.04, -0.021, -0.031, 1.224, 0.005, 0.047, -0.016, 1.224
 223911177, -0.042, -0.018, -0.014, 1.224, 0.04, -0.021, -0.031, 1.224
 224111140, -0.014, 0.034, -0.012, 1.224, -0.042, -0.018, -0.014, 1.224
 224291647, -0.054, 0.045, 0.011, 1.223, -0.014, 0.034, -0.012, 1.224
 224511137, 0.033, 0.022, 0.009000001, 1.223, -0.054, 0.045, 0.011, 1.223
 224711178, -0.018, 0.033, -0.024, 1.222, 0.033, 0.022, 0.009000001, 1.223
 224911187, 0.005, 0.014, 0.017, 1.222, -0.018, 0.033, -0.024, 1.222
 225111178, -0.023, 0.029, 0.007, 1.221, 0.005, 0.014, 0.017, 1.222
 225311427, -0.031, -0.043, -0.086, 1.221, -0.023, 0.029, 0.007, 1.221
 225531200, 0.022, 0.054, -0.054, 1.22, -0.031, -0.043, -0.086, 1.221
 225711166, -0.033, -0.012, -0.055, 1.219, 0.022, 0.054, -0.054, 1.22
 225911183, -0.008, -0.039, 0.027, 1.219, -0.033, -0.012, -0.055, 1.219
 226111184, -0.047, -0.017, -0.087, 1.219, -0.008, -0.039, 0.027, 1.219
 226311179, 0.018, -0.052, -0.032, 1.218, -0.047, -0.017, -0.087, 1.219
 226511171, 0.053, -0.008, -0.093, 1.218, 0.018, -0.052, -0.032, 1.218
 226711189, 0.013, 0.008, 0.035, 1.218, 0.053, -0.008, -0.093, 1.218
 226891588, 0.015, 0.018, -0.043, 1.218, 0.013, 0.008, 0.035, 1.218
 227111418, -0.019, -0.047, 0.011, 1.218, 0.015, 0.018, -0.043, 1.218
 227311207, -0.024, -0.01, 0.035, 1.218, -0.019, -0.047, 0.011, 1.218
 227511184, 0.014, -0.017, 0.047, 1.218, -0.024, -0.01, 0.035, 1.218
 227711177, 0.03, 0.033, -0.002, 1.218, 0.014, -0.017, 0.047, 1.218
 227911173, -0.021, -0.013, 0.046, 1.218, 0.03, 0.033, -0.002, 1.218
 228111184, -0.045, 0.094, 0.017, 1.218, -0.021, -0.013, 0.046, 1.218
 228311194, 0.025, -0.019, 0.048, 1.217, -0.045, 0.094, 0.017, 1.218
 228511164, -0.056, 0.002, 0.016, 1.217, 0.025, -0.019, 0.048, 1.217
 228711186, -0.04, 0.048, -0.035, 1.216, -0.056, 0.002, 0.016, 1.217
 228911400, -0.06, -0.003, 0.018, 1.216, -0.04, 0.048, -0.035, 1.216
 229111188, -0.001, 0.013, -0.03, 1.216, -0.06, -0.003, 0.018, 1.216
 229311238, -0.03, -0.022, -0.058, 1.216, -0.001, 0.013, -0.03, 1.216
